 

stn;time;brefard0
UEB;20050601;0
UEB;20050602;0
UEB;20050603;361
UEB;20050604;0
UEB;20050605;0
UEB;20050606;1
UEB;20050607;0
UEB;20050608;0
UEB;20050609;0
UEB;20050610;0
UEB;20050611;0
UEB;20050612;0
UEB;20050613;270
UEB;20050614;37
UEB;20050615;0
UEB;20050616;0
UEB;20050617;0
UEB;20050618;0
UEB;20050619;0
UEB;20050620;0
UEB;20050621;0
UEB;20050622;0
UEB;20050623;1
UEB;20050624;473
UEB;20050625;84
UEB;20050626;1
UEB;20050627;21
UEB;20050628;1
UEB;20050629;85
UEB;20050630;11
UEB;20050701;3
UEB;20050702;0
UEB;20050703;0
UEB;20050704;300
UEB;20050705;113
UEB;20050706;0
UEB;20050707;0
UEB;20050708;5
UEB;20050709;0
UEB;20050710;6
UEB;20050711;5
UEB;20050712;2
UEB;20050713;0
UEB;20050714;0
UEB;20050715;0
UEB;20050716;295
UEB;20050717;0
UEB;20050718;676
UEB;20050719;68
UEB;20050720;0
UEB;20050721;0
UEB;20050722;1
UEB;20050723;0
UEB;20050724;12
UEB;20050725;394
UEB;20050726;0
UEB;20050727;0
UEB;20050728;4
UEB;20050729;168
UEB;20050730;1
UEB;20050731;0
UEB;20050801;7
UEB;20050802;0
UEB;20050803;0
UEB;20050804;0
UEB;20050805;0
UEB;20050806;0
UEB;20050807;48
UEB;20050808;0
UEB;20050809;0
UEB;20050810;0
UEB;20050811;0
UEB;20050812;0
UEB;20050813;0
UEB;20050814;34
UEB;20050815;0
UEB;20050816;0
UEB;20050817;0
UEB;20050818;9
UEB;20050819;59
UEB;20050820;16
UEB;20050821;0
UEB;20050822;0
UEB;20050823;0
UEB;20050824;0
UEB;20050825;0
UEB;20050826;0
UEB;20050827;0
UEB;20050828;0
UEB;20050829;0
UEB;20050830;0
UEB;20050831;0
UEB;20050901;4
UEB;20050902;6
UEB;20050903;0
UEB;20050904;0
UEB;20050905;10
UEB;20050906;0
UEB;20050907;0
UEB;20050908;0
UEB;20050909;113
UEB;20050910;7
UEB;20050911;0
UEB;20050912;1
UEB;20050913;0
UEB;20050914;0
UEB;20050915;0
UEB;20050916;0
UEB;20050917;0
UEB;20050918;0
UEB;20050919;0
UEB;20050920;0
UEB;20050921;0
UEB;20050922;0
UEB;20050923;0
UEB;20050924;0
UEB;20050925;0
UEB;20050926;0
UEB;20050927;0
UEB;20050928;0
UEB;20050929;0
UEB;20050930;0
UEB;20051001;0
UEB;20051002;0
UEB;20051003;0
UEB;20051004;0
UEB;20051005;0
UEB;20051006;0
UEB;20051007;0
UEB;20051008;0
UEB;20051009;0
UEB;20051010;0
UEB;20051011;0
UEB;20051012;0
UEB;20051013;0
UEB;20051014;0
UEB;20051015;0
UEB;20051016;0
UEB;20051017;0
UEB;20051018;0
UEB;20051019;0
UEB;20051020;0
UEB;20051021;0
UEB;20051022;4
UEB;20051023;0
UEB;20051024;0
UEB;20051025;0
UEB;20051026;0
UEB;20051027;0
UEB;20051028;0
UEB;20051029;0
UEB;20051030;0
UEB;20051031;0
UEB;20051101;0
UEB;20051102;0
UEB;20051103;0
UEB;20051104;0
UEB;20051105;0
UEB;20051106;0
UEB;20051107;0
UEB;20051108;0
UEB;20051109;0
UEB;20051110;0
UEB;20051111;0
UEB;20051112;0
UEB;20051113;0
UEB;20051114;0
UEB;20051115;0
UEB;20051116;0
UEB;20051117;0
UEB;20051118;0
UEB;20051119;0
UEB;20051120;0
UEB;20051121;0
UEB;20051122;0
UEB;20051123;0
UEB;20051124;0
UEB;20051125;0
UEB;20051126;0
UEB;20051127;0
UEB;20051128;0
UEB;20051129;0
UEB;20051130;0
UEB;20051201;0
UEB;20051202;0
UEB;20051203;0
UEB;20051204;0
UEB;20051205;0
UEB;20051206;0
UEB;20051207;0
UEB;20051208;0
UEB;20051209;0
UEB;20051210;0
UEB;20051211;0
UEB;20051212;0
UEB;20051213;0
UEB;20051214;0
UEB;20051215;0
UEB;20051216;0
UEB;20051217;0
UEB;20051218;0
UEB;20051219;0
UEB;20051220;0
UEB;20051221;0
UEB;20051222;0
UEB;20051223;0
UEB;20051224;0
UEB;20051225;0
UEB;20051226;0
UEB;20051227;0
UEB;20051228;0
UEB;20051229;0
UEB;20051230;0
UEB;20051231;0
UEB;20060101;0
UEB;20060102;0
UEB;20060103;0
UEB;20060104;0
UEB;20060105;0
UEB;20060106;0
UEB;20060107;0
UEB;20060108;0
UEB;20060109;0
UEB;20060110;0
UEB;20060111;0
UEB;20060112;0
UEB;20060113;0
UEB;20060114;0
UEB;20060115;0
UEB;20060116;0
UEB;20060117;0
UEB;20060118;0
UEB;20060119;0
UEB;20060120;0
UEB;20060121;0
UEB;20060122;0
UEB;20060123;0
UEB;20060124;0
UEB;20060125;0
UEB;20060126;0
UEB;20060127;0
UEB;20060128;0
UEB;20060129;0
UEB;20060130;0
UEB;20060131;0
UEB;20060201;0
UEB;20060202;0
UEB;20060203;0
UEB;20060204;0
UEB;20060205;0
UEB;20060206;0
UEB;20060207;0
UEB;20060208;0
UEB;20060209;1
UEB;20060210;0
UEB;20060211;0
UEB;20060212;0
UEB;20060213;0
UEB;20060214;0
UEB;20060215;0
UEB;20060216;0
UEB;20060217;0
UEB;20060218;0
UEB;20060219;0
