 

stn;time;breclod0
MBA;20050601;0
MBA;20050602;0
MBA;20050603;0
MBA;20050604;0
MBA;20050605;0
MBA;20050606;0
MBA;20050607;0
MBA;20050608;0
MBA;20050609;0
MBA;20050610;0
MBA;20050611;0
MBA;20050612;0
MBA;20050613;2
MBA;20050614;0
MBA;20050615;0
MBA;20050616;0
MBA;20050617;0
MBA;20050618;0
MBA;20050619;0
MBA;20050620;0
MBA;20050621;0
MBA;20050622;0
MBA;20050623;6
MBA;20050624;0
MBA;20050625;0
MBA;20050626;0
MBA;20050627;0
MBA;20050628;0
MBA;20050629;1
MBA;20050630;0
MBA;20050701;0
MBA;20050702;0
MBA;20050703;0
MBA;20050704;0
MBA;20050705;0
MBA;20050706;0
MBA;20050707;0
MBA;20050708;0
MBA;20050709;0
MBA;20050710;0
MBA;20050711;0
MBA;20050712;0
MBA;20050713;0
MBA;20050714;0
MBA;20050715;0
MBA;20050716;0
MBA;20050717;0
MBA;20050718;3
MBA;20050719;0
MBA;20050720;0
MBA;20050721;0
MBA;20050722;0
MBA;20050723;0
MBA;20050724;5
MBA;20050725;20
MBA;20050726;0
MBA;20050727;0
MBA;20050728;0
MBA;20050729;3
MBA;20050730;0
MBA;20050731;0
MBA;20050801;0
MBA;20050802;0
MBA;20050803;0
MBA;20050804;0
MBA;20050805;0
MBA;20050806;0
MBA;20050807;0
MBA;20050808;0
MBA;20050809;0
MBA;20050810;0
MBA;20050811;0
MBA;20050812;0
MBA;20050813;0
MBA;20050814;2
MBA;20050815;0
MBA;20050816;0
MBA;20050817;0
MBA;20050818;2
MBA;20050819;1
MBA;20050820;0
MBA;20050821;0
MBA;20050822;0
MBA;20050823;0
MBA;20050824;0
MBA;20050825;0
MBA;20050826;0
MBA;20050827;0
MBA;20050828;0
MBA;20050829;0
MBA;20050830;0
MBA;20050831;0
MBA;20050901;0
MBA;20050902;0
MBA;20050903;0
MBA;20050904;0
MBA;20050905;3
MBA;20050906;0
MBA;20050907;0
MBA;20050908;0
MBA;20050909;1
MBA;20050910;0
MBA;20050911;0
MBA;20050912;0
MBA;20050913;0
MBA;20050914;0
MBA;20050915;0
MBA;20050916;0
MBA;20050917;0
MBA;20050918;0
MBA;20050919;0
MBA;20050920;0
MBA;20050921;0
MBA;20050922;0
MBA;20050923;0
MBA;20050924;0
MBA;20050925;0
MBA;20050926;0
MBA;20050927;0
MBA;20050928;0
MBA;20050929;0
MBA;20050930;0
MBA;20051001;0
MBA;20051002;0
MBA;20051003;0
MBA;20051004;0
MBA;20051005;0
MBA;20051006;0
MBA;20051007;0
MBA;20051008;0
MBA;20051009;0
MBA;20051010;0
MBA;20051011;0
MBA;20051012;0
MBA;20051013;0
MBA;20051014;0
MBA;20051015;0
MBA;20051016;0
MBA;20051017;0
MBA;20051018;0
MBA;20051019;0
MBA;20051020;0
MBA;20051021;0
MBA;20051022;0
MBA;20051023;0
MBA;20051024;0
MBA;20051025;0
MBA;20051026;0
MBA;20051027;0
MBA;20051028;0
MBA;20051029;0
MBA;20051030;0
MBA;20051031;0
MBA;20051101;0
MBA;20051102;0
MBA;20051103;0
MBA;20051104;0
MBA;20051105;0
MBA;20051106;0
MBA;20051107;0
MBA;20051108;0
MBA;20051109;0
MBA;20051110;0
MBA;20051111;0
MBA;20051112;0
MBA;20051113;0
MBA;20051114;0
MBA;20051115;0
MBA;20051116;0
MBA;20051117;0
MBA;20051118;0
MBA;20051119;0
MBA;20051120;0
MBA;20051121;0
MBA;20051122;0
MBA;20051123;0
MBA;20051124;0
MBA;20051125;0
MBA;20051126;0
MBA;20051127;0
MBA;20051128;0
MBA;20051129;0
MBA;20051130;0
MBA;20051201;0
MBA;20051202;0
MBA;20051203;0
MBA;20051204;0
MBA;20051205;0
MBA;20051206;0
MBA;20051207;0
MBA;20051208;0
MBA;20051209;0
MBA;20051210;0
MBA;20051211;0
MBA;20051212;0
MBA;20051213;0
MBA;20051214;0
MBA;20051215;0
MBA;20051216;0
MBA;20051217;0
MBA;20051218;0
MBA;20051219;0
MBA;20051220;0
MBA;20051221;0
MBA;20051222;0
MBA;20051223;0
MBA;20051224;0
MBA;20051225;0
MBA;20051226;0
MBA;20051227;0
MBA;20051228;0
MBA;20051229;0
MBA;20051230;0
MBA;20051231;0
MBA;20060101;0
MBA;20060102;0
MBA;20060103;0
MBA;20060104;0
MBA;20060105;0
MBA;20060106;0
MBA;20060107;0
MBA;20060108;0
MBA;20060109;0
MBA;20060110;0
MBA;20060111;0
MBA;20060112;0
MBA;20060113;0
MBA;20060114;0
MBA;20060115;0
MBA;20060116;0
MBA;20060117;0
MBA;20060118;0
MBA;20060119;0
MBA;20060120;0
MBA;20060121;0
MBA;20060122;0
MBA;20060123;0
MBA;20060124;0
MBA;20060125;0
MBA;20060126;0
MBA;20060127;0
MBA;20060128;0
MBA;20060129;0
MBA;20060130;0
MBA;20060131;0
MBA;20060201;0
MBA;20060202;0
MBA;20060203;0
MBA;20060204;0
MBA;20060205;0
MBA;20060206;0
MBA;20060207;0
MBA;20060208;0
MBA;20060209;0
MBA;20060210;0
MBA;20060211;0
MBA;20060212;0
MBA;20060213;0
MBA;20060214;0
MBA;20060215;0
MBA;20060216;0
MBA;20060217;0
MBA;20060218;0
MBA;20060219;0
MBA;20060220;0
MBA;20060221;0
MBA;20060222;0
MBA;20060223;0
MBA;20060224;0
MBA;20060225;0
MBA;20060226;0
MBA;20060227;0
MBA;20060228;0
MBA;20060301;0
MBA;20060302;0
MBA;20060303;0
MBA;20060304;0
MBA;20060305;0
MBA;20060306;0
MBA;20060307;0
MBA;20060308;0
MBA;20060309;0
MBA;20060310;0
MBA;20060311;0
MBA;20060312;0
MBA;20060313;0
MBA;20060314;0
MBA;20060315;0
MBA;20060316;0
MBA;20060317;0
MBA;20060318;0
MBA;20060319;0
MBA;20060320;0
MBA;20060321;0
MBA;20060322;0
MBA;20060323;0
MBA;20060324;0
MBA;20060325;0
MBA;20060326;0
MBA;20060327;0
MBA;20060328;0
MBA;20060329;0
MBA;20060330;0
MBA;20060331;0
MBA;20060401;0
MBA;20060402;0
MBA;20060403;0
MBA;20060404;0
MBA;20060405;0
MBA;20060406;0
MBA;20060407;0
MBA;20060408;0
MBA;20060409;0
MBA;20060410;0
MBA;20060411;0
MBA;20060412;0
MBA;20060413;0
MBA;20060414;0
MBA;20060415;0
MBA;20060416;0
MBA;20060417;0
MBA;20060418;0
MBA;20060419;0
MBA;20060420;0
MBA;20060421;0
MBA;20060422;0
MBA;20060423;0
MBA;20060424;4
MBA;20060425;0
MBA;20060426;0
MBA;20060427;0
MBA;20060428;0
MBA;20060429;0
MBA;20060430;0
MBA;20060501;0
MBA;20060502;0
MBA;20060503;0
MBA;20060504;0
MBA;20060505;0
MBA;20060506;0
MBA;20060507;0
MBA;20060508;0
MBA;20060509;0
MBA;20060510;0
MBA;20060511;0
MBA;20060512;0
MBA;20060513;2
MBA;20060514;0
MBA;20060515;0
MBA;20060516;8
MBA;20060517;0
MBA;20060518;0
MBA;20060519;0
MBA;20060520;0
MBA;20060521;0
MBA;20060522;1
MBA;20060523;0
MBA;20060524;0
MBA;20060525;0
MBA;20060526;0
MBA;20060527;0
MBA;20060528;0
MBA;20060529;1
MBA;20060530;0
MBA;20060531;0
MBA;20060601;0
MBA;20060602;0
MBA;20060603;0
MBA;20060604;0
MBA;20060605;0
MBA;20060606;0
MBA;20060607;0
MBA;20060608;0
MBA;20060609;0
MBA;20060610;0
MBA;20060611;0
MBA;20060612;0
MBA;20060613;0
MBA;20060614;0
MBA;20060615;0
MBA;20060616;0
MBA;20060617;2
MBA;20060618;16
MBA;20060619;7
MBA;20060620;0
MBA;20060621;0
MBA;20060622;0
MBA;20060623;0
MBA;20060624;0
MBA;20060625;0
MBA;20060626;0
MBA;20060627;1
MBA;20060628;1
MBA;20060629;1
MBA;20060630;0
MBA;20060701;0
MBA;20060702;0
MBA;20060703;0
MBA;20060704;0
MBA;20060705;5
MBA;20060706;0
MBA;20060707;0
MBA;20060708;0
MBA;20060709;0
MBA;20060710;0
MBA;20060711;0
MBA;20060712;0
MBA;20060713;2
MBA;20060714;0
MBA;20060715;0
MBA;20060716;0
MBA;20060717;0
MBA;20060718;0
MBA;20060719;0
MBA;20060720;2
MBA;20060721;0
MBA;20060722;25
MBA;20060723;0
MBA;20060724;0
MBA;20060725;0
MBA;20060726;0
MBA;20060727;0
MBA;20060728;2
MBA;20060729;0
MBA;20060730;0
MBA;20060731;0
MBA;20060801;0
MBA;20060802;0
MBA;20060803;0
MBA;20060804;0
MBA;20060805;0
MBA;20060806;0
MBA;20060807;0
MBA;20060808;1
MBA;20060809;0
MBA;20060810;0
MBA;20060811;0
