 

stn;time;brefard0
PDM;20050601;0
PDM;20050602;0
PDM;20050603;57
PDM;20050604;0
PDM;20050605;0
PDM;20050606;0
PDM;20050607;0
PDM;20050608;0
PDM;20050609;0
PDM;20050610;0
PDM;20050611;0
PDM;20050612;7
PDM;20050613;155
PDM;20050614;0
PDM;20050615;0
PDM;20050616;0
PDM;20050617;0
PDM;20050618;0
PDM;20050619;0
PDM;20050620;0
PDM;20050621;0
PDM;20050622;38
PDM;20050623;28
PDM;20050624;427
PDM;20050625;54
PDM;20050626;0
PDM;20050627;45
PDM;20050628;257
PDM;20050629;138
PDM;20050630;7
PDM;20050701;0
PDM;20050702;0
PDM;20050703;0
PDM;20050704;131
PDM;20050705;0
PDM;20050706;0
PDM;20050707;0
PDM;20050708;0
PDM;20050709;12
PDM;20050710;0
PDM;20050711;0
PDM;20050712;0
PDM;20050713;0
PDM;20050714;0
PDM;20050715;1
PDM;20050716;51
PDM;20050717;44
PDM;20050718;157
PDM;20050719;0
PDM;20050720;0
PDM;20050721;0
PDM;20050722;0
PDM;20050723;1
PDM;20050724;36
PDM;20050725;85
PDM;20050726;0
PDM;20050727;0
PDM;20050728;9
PDM;20050729;170
PDM;20050730;0
PDM;20050731;0
PDM;20050801;0
PDM;20050802;0
PDM;20050803;0
PDM;20050804;0
PDM;20050805;0
PDM;20050806;0
PDM;20050807;0
PDM;20050808;0
PDM;20050809;0
PDM;20050810;0
PDM;20050811;2
PDM;20050812;0
PDM;20050813;0
PDM;20050814;32
PDM;20050815;0
PDM;20050816;0
PDM;20050817;0
PDM;20050818;34
PDM;20050819;2
PDM;20050820;0
PDM;20050821;0
PDM;20050822;0
PDM;20050823;0
PDM;20050824;0
PDM;20050825;0
PDM;20050826;0
PDM;20050827;0
PDM;20050828;0
PDM;20050829;0
PDM;20050830;0
PDM;20050831;0
PDM;20050901;320
PDM;20050902;13
PDM;20050903;0
PDM;20050904;0
PDM;20050905;803
PDM;20050906;31
PDM;20050907;1
PDM;20050908;0
PDM;20050909;9
PDM;20050910;11
PDM;20050911;0
PDM;20050912;0
PDM;20050913;0
PDM;20050914;0
PDM;20050915;0
PDM;20050916;0
PDM;20050917;0
PDM;20050918;0
PDM;20050919;0
PDM;20050920;0
PDM;20050921;0
PDM;20050922;0
PDM;20050923;0
PDM;20050924;0
PDM;20050925;91
PDM;20050926;0
PDM;20050927;0
PDM;20050928;0
PDM;20050929;0
PDM;20050930;0
PDM;20051001;0
PDM;20051002;0
PDM;20051003;0
PDM;20051004;0
PDM;20051005;0
PDM;20051006;0
PDM;20051007;0
PDM;20051008;0
PDM;20051009;0
PDM;20051010;0
PDM;20051011;0
PDM;20051012;0
PDM;20051013;0
PDM;20051014;0
PDM;20051015;0
PDM;20051016;0
PDM;20051017;0
PDM;20051018;0
PDM;20051019;0
PDM;20051020;0
PDM;20051021;0
PDM;20051022;33
PDM;20051023;1
PDM;20051024;0
PDM;20051025;0
PDM;20051026;0
PDM;20051027;0
PDM;20051028;0
PDM;20051029;0
PDM;20051030;0
PDM;20051031;0
PDM;20051101;0
PDM;20051102;0
PDM;20051103;0
PDM;20051104;0
PDM;20051105;0
PDM;20051106;0
PDM;20051107;0
PDM;20051108;0
PDM;20051109;0
PDM;20051110;0
PDM;20051111;0
PDM;20051112;0
PDM;20051113;0
PDM;20051114;0
PDM;20051115;0
PDM;20051116;0
PDM;20051117;0
PDM;20051118;0
PDM;20051119;0
PDM;20051120;0
PDM;20051121;0
PDM;20051122;0
PDM;20051123;0
PDM;20051124;0
PDM;20051125;0
PDM;20051126;0
PDM;20051127;0
PDM;20051128;0
PDM;20051129;0
PDM;20051130;0
PDM;20051201;0
PDM;20051202;0
PDM;20051203;0
PDM;20051204;0
PDM;20051205;0
PDM;20051206;0
PDM;20051207;0
PDM;20051208;0
PDM;20051209;0
PDM;20051210;0
PDM;20051211;0
PDM;20051212;0
PDM;20051213;0
PDM;20051214;0
PDM;20051215;0
PDM;20051216;0
PDM;20051217;0
PDM;20051218;0
PDM;20051219;0
PDM;20051220;1
PDM;20051221;0
PDM;20051222;0
PDM;20051223;0
PDM;20051224;0
PDM;20051225;0
PDM;20051226;0
PDM;20051227;0
PDM;20051228;0
PDM;20051229;0
PDM;20051230;0
PDM;20051231;0
PDM;20060101;0
PDM;20060102;0
PDM;20060103;0
PDM;20060104;0
PDM;20060105;0
PDM;20060106;0
PDM;20060107;0
PDM;20060108;0
PDM;20060109;0
PDM;20060110;0
PDM;20060111;0
PDM;20060112;0
PDM;20060113;0
PDM;20060114;0
PDM;20060115;0
PDM;20060116;0
PDM;20060117;0
PDM;20060118;0
PDM;20060119;0
PDM;20060120;0
PDM;20060121;0
PDM;20060122;0
PDM;20060123;0
PDM;20060124;0
PDM;20060125;0
PDM;20060126;0
PDM;20060127;0
PDM;20060128;0
PDM;20060129;0
PDM;20060130;0
PDM;20060131;0
PDM;20060201;0
PDM;20060202;0
PDM;20060203;0
PDM;20060204;0
PDM;20060205;0
PDM;20060206;0
PDM;20060207;0
PDM;20060208;0
PDM;20060209;0
PDM;20060210;0
PDM;20060211;0
PDM;20060212;0
PDM;20060213;0
PDM;20060214;0
PDM;20060215;0
PDM;20060216;34
PDM;20060217;0
PDM;20060218;0
PDM;20060219;0
PDM;20060220;0
PDM;20060221;0
PDM;20060222;0
PDM;20060223;0
PDM;20060224;0
PDM;20060225;0
PDM;20060226;0
PDM;20060227;0
PDM;20060228;0
PDM;20060301;0
PDM;20060302;0
PDM;20060303;0
PDM;20060304;0
PDM;20060305;0
PDM;20060306;0
PDM;20060307;0
PDM;20060308;0
PDM;20060309;4
PDM;20060310;0
PDM;20060311;0
PDM;20060312;0
PDM;20060313;0
PDM;20060314;0
PDM;20060315;0
PDM;20060316;0
PDM;20060317;0
PDM;20060318;0
PDM;20060319;0
PDM;20060320;0
PDM;20060321;0
PDM;20060322;0
PDM;20060323;0
PDM;20060324;0
PDM;20060325;0
PDM;20060326;0
PDM;20060327;3
PDM;20060328;0
PDM;20060329;0
PDM;20060330;0
PDM;20060331;0
PDM;20060401;0
PDM;20060402;0
PDM;20060403;0
PDM;20060404;0
PDM;20060405;0
PDM;20060406;0
PDM;20060407;0
PDM;20060408;0
PDM;20060409;0
PDM;20060410;0
PDM;20060411;0
PDM;20060412;0
PDM;20060413;0
PDM;20060414;0
PDM;20060415;0
PDM;20060416;0
PDM;20060417;0
PDM;20060418;0
PDM;20060419;0
PDM;20060420;0
PDM;20060421;0
PDM;20060422;11
PDM;20060423;5
PDM;20060424;37
PDM;20060425;1
PDM;20060426;22
PDM;20060427;0
PDM;20060428;0
PDM;20060429;0
PDM;20060430;0
PDM;20060501;0
PDM;20060502;0
PDM;20060503;0
PDM;20060504;0
PDM;20060505;134
PDM;20060506;10
PDM;20060507;1
PDM;20060508;10
PDM;20060509;0
PDM;20060510;0
PDM;20060511;0
PDM;20060512;0
PDM;20060513;33
PDM;20060514;0
PDM;20060515;0
PDM;20060516;86
PDM;20060517;0
PDM;20060518;2
PDM;20060519;0
PDM;20060520;0
PDM;20060521;0
PDM;20060522;0
PDM;20060523;0
PDM;20060524;0
PDM;20060525;0
PDM;20060526;0
PDM;20060527;0
PDM;20060528;0
PDM;20060529;3
PDM;20060530;0
PDM;20060531;0
PDM;20060601;0
PDM;20060602;0
PDM;20060603;0
PDM;20060604;0
PDM;20060605;0
PDM;20060606;0
PDM;20060607;0
PDM;20060608;0
PDM;20060609;0
PDM;20060610;0
PDM;20060611;0
PDM;20060612;0
PDM;20060613;0
PDM;20060614;0
PDM;20060615;0
PDM;20060616;81
PDM;20060617;440
PDM;20060618;152
PDM;20060619;94
PDM;20060620;0
PDM;20060621;0
PDM;20060622;0
PDM;20060623;0
PDM;20060624;333
PDM;20060625;356
PDM;20060626;1
PDM;20060627;153
PDM;20060628;205
PDM;20060629;29
PDM;20060630;0
PDM;20060701;0
PDM;20060702;0
PDM;20060703;1
PDM;20060704;2
PDM;20060705;598
PDM;20060706;11
PDM;20060707;2
PDM;20060708;0
PDM;20060709;0
PDM;20060710;0
PDM;20060711;0
PDM;20060712;40
PDM;20060713;511
PDM;20060714;1
PDM;20060715;0
PDM;20060716;0
PDM;20060717;0
PDM;20060718;0
PDM;20060719;8
PDM;20060720;150
PDM;20060721;2
PDM;20060722;3
PDM;20060723;0
PDM;20060724;0
PDM;20060725;56
PDM;20060726;27
PDM;20060727;3
PDM;20060728;117
PDM;20060729;10
PDM;20060730;1
PDM;20060731;5
PDM;20060801;0
PDM;20060802;0
PDM;20060803;32
PDM;20060804;0
PDM;20060805;0
PDM;20060806;0
PDM;20060807;0
PDM;20060808;0
PDM;20060809;0
PDM;20060810;0
PDM;20060811;0
PDM;20060812;29
PDM;20060813;0
PDM;20060814;0
PDM;20060815;0
PDM;20060816;65
PDM;20060817;24
PDM;20060818;75
PDM;20060819;20
PDM;20060820;0
PDM;20060821;0
PDM;20060822;0
PDM;20060823;0
