 

stn;time;tre200dx
BOU;20120822;29.5
BOU;20120823;27.0
BOU;20120824;25.1
BOU;20120825;24.4
BOU;20120826;20.8
BOU;20120827;21.7
BOU;20120828;23.1
BOU;20120829;23.7
BOU;20120830;20.3
BOU;20120831;15.9
BOU;20120901;16.6
BOU;20120902;19.7
BOU;20120903;20.8
BOU;20120904;22.6
BOU;20120905;21.8
BOU;20120906;22.5
BOU;20120907;21.6
BOU;20120908;22.4
BOU;20120909;23.5
BOU;20120910;22.7
BOU;20120911;22.7
BOU;20120912;19.4
BOU;20120913;17.0
BOU;20120914;19.2
BOU;20120915;19.3
BOU;20120916;18.9
BOU;20120917;20.3
BOU;20120918;18.6
BOU;20120919;15.9
BOU;20120920;15.6
BOU;20120921;19.0
BOU;20120922;18.4
BOU;20120923;18.5
BOU;20120924;18.2
BOU;20120925;18.3
BOU;20120926;18.9
BOU;20120927;17.1
BOU;20120928;15.5
BOU;20120929;14.9
BOU;20120930;14.8
BOU;20121001;16.4
BOU;20121002;16.6
BOU;20121003;17.9
BOU;20121004;17.3
BOU;20121005;19.0
BOU;20121006;19.1
BOU;20121007;17.0
BOU;20121008;15.8
BOU;20121009;18.9
BOU;20121010;17.4
BOU;20121011;16.0
BOU;20121012;15.7
BOU;20121013;13.1
BOU;20121014;14.7
BOU;20121015;12.9
BOU;20121016;11.5
BOU;20121017;15.4
BOU;20121018;15.0
BOU;20121019;16.5
BOU;20121020;16.6
BOU;20121021;16.4
BOU;20121022;17.1
BOU;20121023;14.7
BOU;20121024;13.8
BOU;20121025;14.5
BOU;20121026;13.5
BOU;20121027;12.3
BOU;20121028;4.9
BOU;20121029;5.4
BOU;20121030;7.4
BOU;20121031;7.7
BOU;20121101;13.2
BOU;20121102;16.9
BOU;20121103;15.9
BOU;20121104;15.1
BOU;20121105;11.4
BOU;20121106;8.5
BOU;20121107;9.0
BOU;20121108;8.8
BOU;20121109;10.2
BOU;20121110;12.6
BOU;20121111;10.6
BOU;20121112;11.4
BOU;20121113;10.0
BOU;20121114;8.6
BOU;20121115;7.8
BOU;20121116;7.1
BOU;20121117;7.3
BOU;20121118;7.9
BOU;20121119;7.0
BOU;20121120;6.3
BOU;20121121;7.4
BOU;20121122;9.3
BOU;20121123;10.4
BOU;20121124;10.0
BOU;20121125;11.1
BOU;20121126;10.4
BOU;20121127;8.5
BOU;20121128;8.5
BOU;20121129;7.1
BOU;20121130;4.7
BOU;20121201;2.5
BOU;20121202;3.4
BOU;20121203;1.3
BOU;20121204;9.4
BOU;20121205;3.5
BOU;20121206;4.6
BOU;20121207;0.2
