 

stn;time;tre200dx
TGFRA;20100828;17.1
TGFRA;20100829;18.6
TGFRA;20100830;13.0
TGFRA;20100831;18.4
TGFRA;20100901;19.1
TGFRA;20100902;21.4
TGFRA;20100903;22.2
TGFRA;20100904;22.6
TGFRA;20100905;20.8
TGFRA;20100906;20.0
TGFRA;20100907;19.2
TGFRA;20100908;16.6
TGFRA;20100909;21.2
TGFRA;20100910;22.2
TGFRA;20100911;22.3
TGFRA;20100912;24.2
TGFRA;20100913;18.7
TGFRA;20100914;20.2
TGFRA;20100915;19.8
TGFRA;20100916;16.4
TGFRA;20100917;18.1
TGFRA;20100918;17.2
TGFRA;20100919;18.6
TGFRA;20100920;21.9
TGFRA;20100921;22.5
TGFRA;20100922;22.6
TGFRA;20100923;24.1
TGFRA;20100924;19.4
TGFRA;20100925;11.7
TGFRA;20100926;12.5
TGFRA;20100927;13.9
TGFRA;20100928;12.8
TGFRA;20100929;16.8
TGFRA;20100930;15.4
TGFRA;20101001;17.8
TGFRA;20101002;21.2
TGFRA;20101003;22.4
TGFRA;20101004;23.6
TGFRA;20101005;18.6
TGFRA;20101006;18.7
TGFRA;20101007;16.4
TGFRA;20101008;18.0
TGFRA;20101009;14.7
TGFRA;20101010;12.4
TGFRA;20101011;15.1
TGFRA;20101012;15.1
TGFRA;20101013;10.1
TGFRA;20101014;12.6
TGFRA;20101015;9.7
TGFRA;20101016;8.1
TGFRA;20101017;9.1
TGFRA;20101018;8.8
TGFRA;20101019;10.8
TGFRA;20101020;9.0
TGFRA;20101021;-
TGFRA;20101022;-
TGFRA;20101023;13.9
TGFRA;20101024;9.7
TGFRA;20101025;7.1
TGFRA;20101026;9.1
TGFRA;20101027;-
TGFRA;20101028;14.7
TGFRA;20101029;15.4
TGFRA;20101030;16.1
TGFRA;20101031;13.3
TGFRA;20101101;16.0
TGFRA;20101102;11.7
TGFRA;20101103;14.6
TGFRA;20101104;18.6
TGFRA;20101105;15.8
TGFRA;20101106;15.2
TGFRA;20101107;13.4
TGFRA;20101108;6.9
TGFRA;20101109;10.7
TGFRA;20101110;11.9
TGFRA;20101111;9.8
TGFRA;20101112;14.8
TGFRA;20101113;17.6
TGFRA;20101114;17.9
TGFRA;20101115;12.4
TGFRA;20101116;6.6
TGFRA;20101117;5.4
TGFRA;20101118;5.0
TGFRA;20101119;8.8
TGFRA;20101120;6.1
TGFRA;20101121;4.8
TGFRA;20101122;5.0
TGFRA;20101123;4.1
TGFRA;20101124;4.1
TGFRA;20101125;-
TGFRA;20101126;1.1
TGFRA;20101127;-0.4
TGFRA;20101128;1.9
TGFRA;20101129;2.3
TGFRA;20101130;-0.8
TGFRA;20101201;-1.3
TGFRA;20101202;-0.6
TGFRA;20101203;-2.3
TGFRA;20101204;0.0
TGFRA;20101205;0.7
TGFRA;20101206;2.4
TGFRA;20101207;6.8
TGFRA;20101208;11.6
TGFRA;20101209;7.1
TGFRA;20101210;1.7
TGFRA;20101211;5.7
TGFRA;20101212;4.3
TGFRA;20101213;1.4
TGFRA;20101214;-1.7
TGFRA;20101215;-2.9
TGFRA;20101216;-2.1
TGFRA;20101217;0.9
TGFRA;20101218;-0.6
TGFRA;20101219;5.2
TGFRA;20101220;8.4
TGFRA;20101221;3.2
TGFRA;20101222;6.4
TGFRA;20101223;3.6
TGFRA;20101224;3.2
TGFRA;20101225;-0.5
TGFRA;20101226;-5.1
TGFRA;20101227;-5.0
TGFRA;20101228;-1.3
TGFRA;20101229;1.8
TGFRA;20101230;2.7
TGFRA;20101231;2.2
TGFRA;20110101;2.5
TGFRA;20110102;1.8
TGFRA;20110103;-1.0
TGFRA;20110104;-2.1
TGFRA;20110105;0.9
TGFRA;20110106;7.2
TGFRA;20110107;7.2
TGFRA;20110108;9.7
TGFRA;20110109;6.9
TGFRA;20110110;6.2
TGFRA;20110111;6.6
TGFRA;20110112;6.7
TGFRA;20110113;11.8
TGFRA;20110114;11.7
TGFRA;20110115;10.5
TGFRA;20110116;3.2
TGFRA;20110117;2.0
TGFRA;20110118;5.4
TGFRA;20110119;3.8
TGFRA;20110120;1.8
TGFRA;20110121;-0.2
TGFRA;20110122;-1.5
TGFRA;20110123;-2.3
TGFRA;20110124;-0.4
TGFRA;20110125;2.6
TGFRA;20110126;4.6
TGFRA;20110127;2.6
TGFRA;20110128;1.1
TGFRA;20110129;-0.2
TGFRA;20110130;-2.3
TGFRA;20110131;-2.6
TGFRA;20110201;-2.5
TGFRA;20110202;-0.7
TGFRA;20110203;2.7
TGFRA;20110204;9.3
TGFRA;20110205;11.2
TGFRA;20110206;14.1
TGFRA;20110207;11.9
TGFRA;20110208;12.7
TGFRA;20110209;6.4
TGFRA;20110210;8.2
TGFRA;20110211;14.3
TGFRA;20110212;13.9
TGFRA;20110213;11.7
TGFRA;20110214;12.6
TGFRA;20110215;5.6
TGFRA;20110216;6.9
TGFRA;20110217;6.6
TGFRA;20110218;5.7
TGFRA;20110219;8.4
TGFRA;20110220;3.0
TGFRA;20110221;1.3
TGFRA;20110222;0.7
TGFRA;20110223;0.3
TGFRA;20110224;3.8
TGFRA;20110225;5.7
TGFRA;20110226;4.7
TGFRA;20110227;7.7
TGFRA;20110228;5.8
TGFRA;20110301;9.3
TGFRA;20110302;7.6
TGFRA;20110303;5.4
TGFRA;20110304;7.4
TGFRA;20110305;6.2
