 

stn;time;tre200dx
BEINS;20140128;6.9
BEINS;20140129;5.1
BEINS;20140130;2.7
BEINS;20140131;6.8
BEINS;20140201;5.6
BEINS;20140202;6.1
BEINS;20140203;6.8
BEINS;20140204;7.2
BEINS;20140205;5.1
BEINS;20140206;10.8
BEINS;20140207;6.4
BEINS;20140208;6.1
BEINS;20140209;8.5
BEINS;20140210;7.7
BEINS;20140211;9.7
BEINS;20140212;11.3
BEINS;20140213;10.1
BEINS;20140214;7.6
BEINS;20140215;11.4
BEINS;20140216;7.6
BEINS;20140217;8.9
BEINS;20140218;8.0
BEINS;20140219;11.0
BEINS;20140220;12.3
BEINS;20140221;9.1
BEINS;20140222;9.2
BEINS;20140223;12.9
BEINS;20140224;11.2
