 

stn;time;tre200dx
CHU;19580101;1.2
CHU;19580102;1.6
CHU;19580103;5.0
CHU;19580104;3.2
CHU;19580105;9.6
CHU;19580106;7.2
CHU;19580107;5.5
CHU;19580108;2.0
CHU;19580109;2.6
CHU;19580110;3.1
CHU;19580111;5.4
CHU;19580112;2.1
CHU;19580113;0.8
CHU;19580114;3.0
CHU;19580115;2.2
CHU;19580116;2.2
CHU;19580117;5.1
CHU;19580118;5.3
CHU;19580119;2.4
CHU;19580120;5.3
CHU;19580121;0.0
CHU;19580122;3.3
CHU;19580123;0.2
CHU;19580124;0.0
CHU;19580125;1.7
CHU;19580126;7.1
CHU;19580127;10.0
CHU;19580128;8.5
CHU;19580129;8.7
CHU;19580130;3.0
CHU;19580131;-2.3
CHU;19580201;1.4
CHU;19580202;6.4
CHU;19580203;3.2
CHU;19580204;6.6
CHU;19580205;8.8
CHU;19580206;5.2
CHU;19580207;2.6
CHU;19580208;13.0
CHU;19580209;16.3
CHU;19580210;16.0
CHU;19580211;14.0
CHU;19580212;15.1
CHU;19580213;16.8
CHU;19580214;18.2
CHU;19580215;17.5
CHU;19580216;11.4
CHU;19580217;8.6
CHU;19580218;1.2
CHU;19580219;-1.0
CHU;19580220;-0.2
CHU;19580221;1.0
CHU;19580222;1.2
CHU;19580223;2.1
CHU;19580224;6.6
CHU;19580225;10.2
CHU;19580226;8.0
CHU;19580227;-3.0
CHU;19580228;-0.4
CHU;19580301;1.0
CHU;19580302;-0.7
CHU;19580303;1.7
CHU;19580304;6.0
CHU;19580305;10.1
CHU;19580306;10.4
CHU;19580307;4.6
CHU;19580308;2.5
CHU;19580309;3.3
CHU;19580310;-0.2
CHU;19580311;-1.1
CHU;19580312;-1.6
CHU;19580313;-1.6
CHU;19580314;4.6
CHU;19580315;3.2
CHU;19580316;4.2
CHU;19580317;3.2
CHU;19580318;0.6
CHU;19580319;6.0
CHU;19580320;2.6
CHU;19580321;-0.1
CHU;19580322;-0.2
CHU;19580323;-0.1
CHU;19580324;12.2
CHU;19580325;13.6
CHU;19580326;10.3
CHU;19580327;15.0
CHU;19580328;17.7
CHU;19580329;17.0
CHU;19580330;16.3
CHU;19580331;12.2
CHU;19580401;10.2
CHU;19580402;11.4
CHU;19580403;15.6
CHU;19580404;11.1
CHU;19580405;11.9
CHU;19580406;4.8
CHU;19580407;4.5
CHU;19580408;6.4
CHU;19580409;5.0
CHU;19580410;2.2
CHU;19580411;2.4
CHU;19580412;9.6
CHU;19580413;10.4
CHU;19580414;17.0
CHU;19580415;9.8
CHU;19580416;6.0
CHU;19580417;5.6
CHU;19580418;8.0
CHU;19580419;12.7
CHU;19580420;19.2
CHU;19580421;20.8
CHU;19580422;20.0
CHU;19580423;12.2
CHU;19580424;16.8
CHU;19580425;18.0
CHU;19580426;17.0
CHU;19580427;12.9
CHU;19580428;10.0
CHU;19580429;11.2
CHU;19580430;15.9
CHU;19580501;19.1
CHU;19580502;22.0
CHU;19580503;22.6
CHU;19580504;19.5
CHU;19580505;25.0
CHU;19580506;19.5
CHU;19580507;19.4
CHU;19580508;27.5
