 

stn;time;tre200dx
DLEBE;19780101;2.4
DLEBE;19780102;3.8
DLEBE;19780103;4.7
DLEBE;19780104;4.1
DLEBE;19780105;-2.4
DLEBE;19780106;-1.8
DLEBE;19780107;-0.6
DLEBE;19780108;0.9
DLEBE;19780109;-0.5
DLEBE;19780110;3.4
DLEBE;19780111;0.7
DLEBE;19780112;2.1
DLEBE;19780113;0.5
DLEBE;19780114;0.3
DLEBE;19780115;0.5
DLEBE;19780116;0.1
DLEBE;19780117;-0.6
DLEBE;19780118;0.5
DLEBE;19780119;-0.6
DLEBE;19780120;-1.2
DLEBE;19780121;-0.6
DLEBE;19780122;-1.5
DLEBE;19780123;2.2
DLEBE;19780124;5.6
DLEBE;19780125;5.6
DLEBE;19780126;3.4
DLEBE;19780127;3.0
DLEBE;19780128;7.6
DLEBE;19780129;6.0
DLEBE;19780130;3.9
DLEBE;19780131;0.7
DLEBE;19780201;-1.2
DLEBE;19780202;2.7
DLEBE;19780203;1.3
DLEBE;19780204;-1.5
DLEBE;19780205;-3.3
DLEBE;19780206;-0.6
DLEBE;19780207;-1.5
DLEBE;19780208;-3.8
DLEBE;19780209;-4.5
DLEBE;19780210;-4.9
DLEBE;19780211;-3.2
DLEBE;19780212;-1.8
DLEBE;19780213;-2.0
DLEBE;19780214;-1.3
DLEBE;19780215;-0.8
DLEBE;19780216;-3.6
DLEBE;19780217;-3.6
DLEBE;19780218;-3.2
DLEBE;19780219;-6.4
DLEBE;19780220;-4.4
DLEBE;19780221;0.2
DLEBE;19780222;8.5
DLEBE;19780223;6.8
DLEBE;19780224;8.3
DLEBE;19780225;11.0
DLEBE;19780226;7.5
DLEBE;19780227;9.8
DLEBE;19780228;11.3
DLEBE;19780301;7.0
DLEBE;19780302;7.2
DLEBE;19780303;11.3
DLEBE;19780304;7.3
DLEBE;19780305;3.7
DLEBE;19780306;1.4
DLEBE;19780307;3.0
DLEBE;19780308;8.2
DLEBE;19780309;7.7
DLEBE;19780310;11.1
DLEBE;19780311;7.1
DLEBE;19780312;9.0
DLEBE;19780313;6.4
DLEBE;19780314;10.9
DLEBE;19780315;9.2
DLEBE;19780316;14.6
DLEBE;19780317;6.3
DLEBE;19780318;2.3
DLEBE;19780319;3.1
DLEBE;19780320;6.3
DLEBE;19780321;4.3
DLEBE;19780322;2.0
DLEBE;19780323;4.8
DLEBE;19780324;5.3
DLEBE;19780325;8.1
DLEBE;19780326;5.7
DLEBE;19780327;4.7
DLEBE;19780328;16.1
DLEBE;19780329;19.3
DLEBE;19780330;21.1
DLEBE;19780331;17.8
DLEBE;19780401;13.0
DLEBE;19780402;14.6
DLEBE;19780403;10.5
DLEBE;19780404;11.4
DLEBE;19780405;11.0
DLEBE;19780406;5.5
DLEBE;19780407;9.6
DLEBE;19780408;12.5
DLEBE;19780409;12.5
DLEBE;19780410;14.7
DLEBE;19780411;7.6
DLEBE;19780412;5.5
DLEBE;19780413;3.5
DLEBE;19780414;6.8
DLEBE;19780415;4.7
DLEBE;19780416;6.9
DLEBE;19780417;5.0
DLEBE;19780418;9.1
DLEBE;19780419;12.5
DLEBE;19780420;15.2
DLEBE;19780421;11.7
DLEBE;19780422;12.6
DLEBE;19780423;14.8
DLEBE;19780424;17.5
DLEBE;19780425;16.8
DLEBE;19780426;17.9
DLEBE;19780427;16.5
DLEBE;19780428;12.4
DLEBE;19780429;18.3
DLEBE;19780430;18.3
DLEBE;19780501;14.1
DLEBE;19780502;10.2
DLEBE;19780503;13.8
DLEBE;19780504;18.4
DLEBE;19780505;20.3
DLEBE;19780506;21.3
DLEBE;19780507;11.0
DLEBE;19780508;7.1
DLEBE;19780509;9.6
DLEBE;19780510;12.3
DLEBE;19780511;5.9
DLEBE;19780512;5.7
DLEBE;19780513;9.3
DLEBE;19780514;12.8
DLEBE;19780515;12.6
DLEBE;19780516;13.6
DLEBE;19780517;15.6
DLEBE;19780518;18.4
DLEBE;19780519;15.7
DLEBE;19780520;17.9
DLEBE;19780521;18.7
DLEBE;19780522;20.6
DLEBE;19780523;13.2
DLEBE;19780524;10.1
DLEBE;19780525;14.3
DLEBE;19780526;17.5
DLEBE;19780527;16.3
DLEBE;19780528;18.3
DLEBE;19780529;19.7
DLEBE;19780530;19.4
DLEBE;19780531;22.5
DLEBE;19780601;24.2
DLEBE;19780602;24.8
DLEBE;19780603;26.3
DLEBE;19780604;25.9
DLEBE;19780605;25.4
DLEBE;19780606;26.3
DLEBE;19780607;27.3
DLEBE;19780608;20.2
DLEBE;19780609;22.7
DLEBE;19780610;19.5
DLEBE;19780611;16.2
DLEBE;19780612;19.3
DLEBE;19780613;14.2
DLEBE;19780614;17.1
DLEBE;19780615;20.2
DLEBE;19780616;18.0
DLEBE;19780617;21.7
DLEBE;19780618;17.0
DLEBE;19780619;20.6
DLEBE;19780620;20.2
DLEBE;19780621;20.2
DLEBE;19780622;21.9
DLEBE;19780623;22.8
DLEBE;19780624;11.8
DLEBE;19780625;13.6
DLEBE;19780626;15.4
DLEBE;19780627;12.7
DLEBE;19780628;13.1
DLEBE;19780629;16.9
DLEBE;19780630;24.0
DLEBE;19780701;18.6
DLEBE;19780702;20.4
DLEBE;19780703;23.7
