 

stn;time;tre200dx
SMA;18900927;20.0
SMA;18900928;21.5
SMA;18900929;22.5
SMA;18900930;24.0
SMA;18901001;24.0
SMA;18901002;17.5
SMA;18901003;16.5
SMA;18901004;20.0
SMA;18901005;20.0
SMA;18901006;20.5
SMA;18901007;19.5
SMA;18901008;16.0
SMA;18901009;13.5
SMA;18901010;13.0
SMA;18901011;13.5
SMA;18901012;17.0
SMA;18901013;18.0
SMA;18901014;18.0
SMA;18901015;16.0
SMA;18901016;13.0
SMA;18901017;8.5
SMA;18901018;8.0
SMA;18901019;6.0
SMA;18901020;10.5
SMA;18901021;8.5
SMA;18901022;5.5
SMA;18901023;5.0
SMA;18901024;2.5
SMA;18901025;8.0
SMA;18901026;12.5
SMA;18901027;7.0
SMA;18901028;4.5
SMA;18901029;5.0
SMA;18901030;7.5
SMA;18901031;8.0
SMA;18901101;8.5
SMA;18901102;13.5
SMA;18901103;10.0
SMA;18901104;11.5
SMA;18901105;10.0
SMA;18901106;6.0
SMA;18901107;5.5
SMA;18901108;9.0
SMA;18901109;5.5
SMA;18901110;5.0
SMA;18901111;4.5
SMA;18901112;7.0
SMA;18901113;8.5
SMA;18901114;8.5
SMA;18901115;13.5
SMA;18901116;11.0
SMA;18901117;11.0
SMA;18901118;6.0
SMA;18901119;8.0
SMA;18901120;9.5
SMA;18901121;9.0
SMA;18901122;8.5
SMA;18901123;12.0
SMA;18901124;13.0
SMA;18901125;4.5
SMA;18901126;-5.5
SMA;18901127;-6.5
SMA;18901128;-7.0
SMA;18901129;-4.5
SMA;18901130;-3.0
SMA;18901201;-3.5
SMA;18901202;1.0
SMA;18901203;3.0
SMA;18901204;0.5
SMA;18901205;-0.5
SMA;18901206;-1.0
SMA;18901207;0.5
SMA;18901208;-1.0
SMA;18901209;-3.5
SMA;18901210;-4.5
SMA;18901211;-4.5
SMA;18901212;-4.5
SMA;18901213;-7.0
SMA;18901214;-8.0
SMA;18901215;-7.0
SMA;18901216;-6.0
SMA;18901217;-3.5
SMA;18901218;-4.5
SMA;18901219;2.0
SMA;18901220;5.0
SMA;18901221;-2.0
SMA;18901222;-6.0
SMA;18901223;-4.0
SMA;18901224;-2.0
SMA;18901225;-4.0
SMA;18901226;-5.0
SMA;18901227;-4.5
SMA;18901228;-6.5
SMA;18901229;-6.5
SMA;18901230;-4.0
SMA;18901231;-3.0
SMA;18910101;-6.5
SMA;18910102;-2.5
SMA;18910103;-0.5
SMA;18910104;1.2
SMA;18910105;1.5
SMA;18910106;-5.5
SMA;18910107;-5.0
SMA;18910108;-7.5
SMA;18910109;-8.5
SMA;18910110;-6.5
SMA;18910111;-4.0
SMA;18910112;-3.0
SMA;18910113;-1.0
SMA;18910114;-2.5
SMA;18910115;-3.0
SMA;18910116;-5.0
SMA;18910117;-11.0
SMA;18910118;-9.5
SMA;18910119;-10.0
SMA;18910120;-6.0
SMA;18910121;-2.5
SMA;18910122;3.0
SMA;18910123;4.5
SMA;18910124;9.0
SMA;18910125;7.0
SMA;18910126;2.5
SMA;18910127;3.0
SMA;18910128;5.0
SMA;18910129;4.5
SMA;18910130;4.0
SMA;18910131;7.0
SMA;18910201;6.5
SMA;18910202;5.0
SMA;18910203;5.5
