 

stn;time;tre200dx
TGWEI;20140101;6.3
TGWEI;20140102;4.8
TGWEI;20140103;7.2
TGWEI;20140104;5.7
TGWEI;20140105;7.2
TGWEI;20140106;8.0
TGWEI;20140107;12.6
TGWEI;20140108;12.4
TGWEI;20140109;13.6
TGWEI;20140110;9.3
TGWEI;20140111;6.1
TGWEI;20140112;6.5
TGWEI;20140113;6.3
TGWEI;20140114;4.4
TGWEI;20140115;6.4
TGWEI;20140116;6.6
TGWEI;20140117;7.2
TGWEI;20140118;2.7
TGWEI;20140119;2.7
TGWEI;20140120;5.9
TGWEI;20140121;4.9
TGWEI;20140122;5.3
TGWEI;20140123;5.0
TGWEI;20140124;4.1
TGWEI;20140125;3.3
TGWEI;20140126;6.7
TGWEI;20140127;5.2
TGWEI;20140128;6.7
TGWEI;20140129;3.2
TGWEI;20140130;0.8
TGWEI;20140131;5.9
TGWEI;20140201;3.2
TGWEI;20140202;4.4
TGWEI;20140203;4.3
TGWEI;20140204;7.0
TGWEI;20140205;5.2
TGWEI;20140206;11.7
TGWEI;20140207;10.4
TGWEI;20140208;5.9
TGWEI;20140209;7.4
TGWEI;20140210;10.5
TGWEI;20140211;8.4
TGWEI;20140212;9.0
TGWEI;20140213;8.3
TGWEI;20140214;7.7
TGWEI;20140215;14.3
TGWEI;20140216;7.4
TGWEI;20140217;9.8
TGWEI;20140218;8.9
TGWEI;20140219;8.3
TGWEI;20140220;12.0
TGWEI;20140221;6.9
TGWEI;20140222;9.6
TGWEI;20140223;11.2
TGWEI;20140224;11.9
TGWEI;20140225;12.2
TGWEI;20140226;11.8
TGWEI;20140227;8.4
TGWEI;20140228;10.1
TGWEI;20140301;7.2
TGWEI;20140302;5.3
TGWEI;20140303;7.6
TGWEI;20140304;4.2
TGWEI;20140305;10.9
TGWEI;20140306;10.3
TGWEI;20140307;12.8
TGWEI;20140308;15.2
TGWEI;20140309;16.5
TGWEI;20140310;14.1
TGWEI;20140311;13.4
TGWEI;20140312;15.7
TGWEI;20140313;17.2
TGWEI;20140314;18.3
TGWEI;20140315;13.4
TGWEI;20140316;17.0
TGWEI;20140317;20.2
TGWEI;20140318;20.7
TGWEI;20140319;15.1
TGWEI;20140320;21.7
TGWEI;20140321;21.2
TGWEI;20140322;12.3
TGWEI;20140323;5.3
TGWEI;20140324;7.7
TGWEI;20140325;9.1
TGWEI;20140326;8.2
TGWEI;20140327;13.9
TGWEI;20140328;16.3
TGWEI;20140329;19.3
TGWEI;20140330;20.9
TGWEI;20140331;20.7
TGWEI;20140401;20.3
TGWEI;20140402;22.2
TGWEI;20140403;18.3
TGWEI;20140404;17.0
TGWEI;20140405;14.8
TGWEI;20140406;18.8
TGWEI;20140407;21.4
TGWEI;20140408;14.8
TGWEI;20140409;15.6
TGWEI;20140410;15.9
TGWEI;20140411;20.6
TGWEI;20140412;19.7
TGWEI;20140413;19.7
TGWEI;20140414;17.4
TGWEI;20140415;11.7
TGWEI;20140416;12.3
TGWEI;20140417;16.6
TGWEI;20140418;10.7
TGWEI;20140419;9.3
TGWEI;20140420;16.3
TGWEI;20140421;15.9
TGWEI;20140422;20.2
TGWEI;20140423;22.1
TGWEI;20140424;22.6
TGWEI;20140425;23.0
TGWEI;20140426;20.6
TGWEI;20140427;12.4
TGWEI;20140428;11.3
TGWEI;20140429;15.3
TGWEI;20140430;10.2
TGWEI;20140501;16.8
TGWEI;20140502;15.4
TGWEI;20140503;10.4
TGWEI;20140504;13.8
TGWEI;20140505;20.7
TGWEI;20140506;21.2
TGWEI;20140507;16.4
TGWEI;20140508;20.9
TGWEI;20140509;20.0
TGWEI;20140510;22.6
TGWEI;20140511;18.1
TGWEI;20140512;13.6
TGWEI;20140513;14.2
TGWEI;20140514;15.7
TGWEI;20140515;13.1
TGWEI;20140516;-
TGWEI;20140517;-
TGWEI;20140518;-
TGWEI;20140519;-
TGWEI;20140520;-
TGWEI;20140521;28.1
TGWEI;20140522;29.1
TGWEI;20140523;21.6
TGWEI;20140524;20.8
TGWEI;20140525;23.7
TGWEI;20140526;21.2
TGWEI;20140527;16.4
TGWEI;20140528;20.2
TGWEI;20140529;21.2
TGWEI;20140530;14.0
TGWEI;20140531;19.8
TGWEI;20140601;22.4
TGWEI;20140602;22.2
TGWEI;20140603;22.3
TGWEI;20140604;21.8
TGWEI;20140605;21.4
TGWEI;20140606;27.9
TGWEI;20140607;30.8
TGWEI;20140608;33.0
TGWEI;20140609;33.8
TGWEI;20140610;32.7
TGWEI;20140611;29.2
TGWEI;20140612;29.8
TGWEI;20140613;26.8
TGWEI;20140614;22.9
TGWEI;20140615;22.2
TGWEI;20140616;23.2
TGWEI;20140617;22.5
TGWEI;20140618;25.1
TGWEI;20140619;25.5
TGWEI;20140620;22.4
TGWEI;20140621;25.6
TGWEI;20140622;28.9
TGWEI;20140623;27.7
TGWEI;20140624;22.8
TGWEI;20140625;23.2
TGWEI;20140626;24.6
TGWEI;20140627;26.9
TGWEI;20140628;27.0
TGWEI;20140629;16.1
TGWEI;20140630;19.6
TGWEI;20140701;23.5
TGWEI;20140702;18.4
TGWEI;20140703;27.3
TGWEI;20140704;26.6
TGWEI;20140705;22.8
TGWEI;20140706;30.2
TGWEI;20140707;25.2
TGWEI;20140708;16.8
TGWEI;20140709;15.6
TGWEI;20140710;14.4
TGWEI;20140711;21.9
TGWEI;20140712;22.6
TGWEI;20140713;22.5
TGWEI;20140714;24.6
TGWEI;20140715;26.4
TGWEI;20140716;29.1
TGWEI;20140717;29.8
TGWEI;20140718;31.2
