 

stn;time;tre200dx
DLREI;19450811;19.5
DLREI;19450812;20.7
DLREI;19450813;22.5
DLREI;19450814;17.6
DLREI;19450815;18.2
DLREI;19450816;17.2
DLREI;19450817;22.5
DLREI;19450818;24.2
DLREI;19450819;19.6
DLREI;19450820;16.2
DLREI;19450821;19.0
DLREI;19450822;23.5
DLREI;19450823;18.9
DLREI;19450824;19.0
DLREI;19450825;23.2
DLREI;19450826;23.2
DLREI;19450827;22.4
DLREI;19450828;27.0
DLREI;19450829;30.1
DLREI;19450830;31.0
DLREI;19450831;20.0
DLREI;19450901;25.6
DLREI;19450902;20.1
DLREI;19450903;21.8
DLREI;19450904;23.2
DLREI;19450905;24.0
DLREI;19450906;14.1
DLREI;19450907;18.5
DLREI;19450908;20.5
DLREI;19450909;21.5
DLREI;19450910;15.0
DLREI;19450911;13.8
DLREI;19450912;15.0
DLREI;19450913;21.0
DLREI;19450914;24.7
DLREI;19450915;21.7
DLREI;19450916;20.3
DLREI;19450917;24.5
DLREI;19450918;26.1
DLREI;19450919;19.5
DLREI;19450920;19.7
DLREI;19450921;23.5
DLREI;19450922;26.8
DLREI;19450923;18.0
DLREI;19450924;12.0
DLREI;19450925;9.8
DLREI;19450926;8.4
DLREI;19450927;6.5
DLREI;19450928;9.0
DLREI;19450929;7.5
DLREI;19450930;10.2
DLREI;19451001;8.0
DLREI;19451002;8.0
DLREI;19451003;5.8
DLREI;19451004;5.7
DLREI;19451005;2.0
DLREI;19451006;1.7
DLREI;19451007;5.8
DLREI;19451008;12.7
DLREI;19451009;16.5
DLREI;19451010;18.0
DLREI;19451011;19.2
DLREI;19451012;15.0
DLREI;19451013;12.4
DLREI;19451014;17.2
DLREI;19451015;10.1
DLREI;19451016;13.3
DLREI;19451017;16.0
DLREI;19451018;14.0
DLREI;19451019;13.8
DLREI;19451020;17.6
DLREI;19451021;17.5
DLREI;19451022;17.6
DLREI;19451023;10.5
DLREI;19451024;17.1
DLREI;19451025;12.0
DLREI;19451026;13.1
DLREI;19451027;12.7
DLREI;19451028;15.9
DLREI;19451029;18.7
DLREI;19451030;22.1
DLREI;19451031;17.8
DLREI;19451101;20.6
DLREI;19451102;18.8
DLREI;19451103;15.6
DLREI;19451104;13.4
DLREI;19451105;16.6
DLREI;19451106;8.8
DLREI;19451107;7.0
DLREI;19451108;6.7
DLREI;19451109;4.5
DLREI;19451110;1.1
DLREI;19451111;0.4
DLREI;19451112;-2.0
DLREI;19451113;5.1
DLREI;19451114;1.5
DLREI;19451115;0.2
DLREI;19451116;3.3
DLREI;19451117;3.5
DLREI;19451118;5.3
DLREI;19451119;5.5
DLREI;19451120;5.3
DLREI;19451121;5.7
DLREI;19451122;5.2
DLREI;19451123;0.2
DLREI;19451124;0.9
DLREI;19451125;1.5
DLREI;19451126;3.2
DLREI;19451127;0.0
DLREI;19451128;-0.8
DLREI;19451129;-0.3
DLREI;19451130;-1.3
DLREI;19451201;-0.7
DLREI;19451202;2.6
DLREI;19451203;2.2
DLREI;19451204;0.6
DLREI;19451205;0.0
DLREI;19451206;-0.8
DLREI;19451207;-1.2
DLREI;19451208;-3.0
DLREI;19451209;-4.8
DLREI;19451210;-7.4
DLREI;19451211;-6.0
DLREI;19451212;-1.8
DLREI;19451213;-0.5
DLREI;19451214;1.5
DLREI;19451215;-1.8
DLREI;19451216;-4.0
DLREI;19451217;-1.7
DLREI;19451218;2.0
DLREI;19451219;14.2
DLREI;19451220;7.7
DLREI;19451221;4.0
DLREI;19451222;2.5
DLREI;19451223;1.2
DLREI;19451224;0.4
DLREI;19451225;0.2
DLREI;19451226;1.0
DLREI;19451227;1.6
DLREI;19451228;2.8
DLREI;19451229;2.8
DLREI;19451230;0.9
DLREI;19451231;-0.8
DLREI;19460101;-4.0
DLREI;19460102;-9.8
DLREI;19460103;-8.3
DLREI;19460104;-11.0
DLREI;19460105;-5.3
DLREI;19460106;-5.4
DLREI;19460107;-4.4
DLREI;19460108;-2.7
DLREI;19460109;-2.8
DLREI;19460110;0.0
DLREI;19460111;4.2
DLREI;19460112;4.6
DLREI;19460113;4.6
DLREI;19460114;0.5
DLREI;19460115;-6.3
DLREI;19460116;-9.2
DLREI;19460117;-9.0
DLREI;19460118;4.8
DLREI;19460119;3.4
DLREI;19460120;3.0
DLREI;19460121;-0.2
DLREI;19460122;-3.0
DLREI;19460123;-2.5
DLREI;19460124;-0.3
DLREI;19460125;-0.3
DLREI;19460126;0.3
DLREI;19460127;2.0
DLREI;19460128;3.0
DLREI;19460129;-0.2
DLREI;19460130;4.0
DLREI;19460131;2.3
DLREI;19460201;4.5
DLREI;19460202;3.1
DLREI;19460203;5.4
DLREI;19460204;5.1
DLREI;19460205;6.0
DLREI;19460206;4.0
DLREI;19460207;5.1
DLREI;19460208;6.4
DLREI;19460209;3.5
DLREI;19460210;0.4
DLREI;19460211;0.6
DLREI;19460212;1.7
DLREI;19460213;-0.9
DLREI;19460214;0.2
DLREI;19460215;0.9
DLREI;19460216;3.7
DLREI;19460217;3.2
DLREI;19460218;1.8
DLREI;19460219;2.0
DLREI;19460220;4.8
DLREI;19460221;0.5
DLREI;19460222;-2.6
DLREI;19460223;2.0
DLREI;19460224;0.4
DLREI;19460225;-2.0
DLREI;19460226;1.1
DLREI;19460227;4.7
DLREI;19460228;7.0
DLREI;19460301;4.6
DLREI;19460302;2.7
DLREI;19460303;3.6
DLREI;19460304;4.2
DLREI;19460305;2.3
DLREI;19460306;6.0
DLREI;19460307;6.1
DLREI;19460308;6.2
DLREI;19460309;5.0
DLREI;19460310;7.7
DLREI;19460311;7.5
DLREI;19460312;7.6
DLREI;19460313;8.9
DLREI;19460314;6.3
DLREI;19460315;6.0
DLREI;19460316;3.9
DLREI;19460317;1.4
DLREI;19460318;2.8
DLREI;19460319;8.7
DLREI;19460320;11.6
DLREI;19460321;9.9
DLREI;19460322;13.0
DLREI;19460323;11.1
DLREI;19460324;6.0
DLREI;19460325;4.0
DLREI;19460326;8.4
DLREI;19460327;10.5
DLREI;19460328;14.5
DLREI;19460329;14.0
DLREI;19460330;15.0
DLREI;19460331;17.2
DLREI;19460401;17.5
DLREI;19460402;15.8
DLREI;19460403;17.9
DLREI;19460404;20.5
DLREI;19460405;20.3
DLREI;19460406;16.7
DLREI;19460407;11.6
DLREI;19460408;17.0
DLREI;19460409;17.1
DLREI;19460410;10.2
DLREI;19460411;8.1
DLREI;19460412;16.0
DLREI;19460413;17.7
DLREI;19460414;17.8
DLREI;19460415;20.0
DLREI;19460416;21.0
DLREI;19460417;19.9
DLREI;19460418;21.1
DLREI;19460419;9.8
DLREI;19460420;12.2
DLREI;19460421;18.7
DLREI;19460422;16.1
DLREI;19460423;10.1
DLREI;19460424;15.3
DLREI;19460425;18.1
DLREI;19460426;21.8
DLREI;19460427;20.0
DLREI;19460428;21.2
DLREI;19460429;18.7
DLREI;19460430;22.0
DLREI;19460501;21.5
DLREI;19460502;25.7
DLREI;19460503;23.7
DLREI;19460504;22.1
DLREI;19460505;19.3
DLREI;19460506;19.1
DLREI;19460507;21.0
DLREI;19460508;14.5
DLREI;19460509;18.0
DLREI;19460510;21.0
DLREI;19460511;20.0
DLREI;19460512;24.2
DLREI;19460513;24.4
DLREI;19460514;20.0
DLREI;19460515;10.4
DLREI;19460516;10.7
DLREI;19460517;11.3
DLREI;19460518;19.1
DLREI;19460519;22.0
DLREI;19460520;24.0
DLREI;19460521;20.2
DLREI;19460522;17.5
DLREI;19460523;17.3
DLREI;19460524;20.0
DLREI;19460525;22.6
DLREI;19460526;17.1
DLREI;19460527;13.0
DLREI;19460528;20.6
DLREI;19460529;21.7
DLREI;19460530;20.6
DLREI;19460531;20.5
DLREI;19460601;21.5
DLREI;19460602;17.7
DLREI;19460603;24.0
DLREI;19460604;16.2
DLREI;19460605;21.7
DLREI;19460606;24.0
DLREI;19460607;24.5
DLREI;19460608;26.6
DLREI;19460609;22.7
DLREI;19460610;27.5
DLREI;19460611;19.5
DLREI;19460612;16.0
DLREI;19460613;15.5
DLREI;19460614;12.7
DLREI;19460615;16.0
DLREI;19460616;17.7
DLREI;19460617;17.4
DLREI;19460618;19.0
DLREI;19460619;13.7
DLREI;19460620;14.1
DLREI;19460621;12.0
DLREI;19460622;13.5
DLREI;19460623;12.4
DLREI;19460624;14.5
DLREI;19460625;17.2
