 

stn;time;tre200dx
FLU;20150320;11.2
FLU;20150321;7.7
FLU;20150322;2.6
FLU;20150323;10.9
FLU;20150324;12.0
FLU;20150325;7.3
FLU;20150326;3.9
FLU;20150327;6.0
FLU;20150328;11.4
FLU;20150329;9.4
FLU;20150330;9.3
FLU;20150331;14.1
FLU;20150401;4.4
FLU;20150402;6.7
FLU;20150403;7.8
FLU;20150404;4.7
FLU;20150405;2.0
FLU;20150406;4.4
FLU;20150407;6.4
FLU;20150408;11.2
FLU;20150409;17.8
FLU;20150410;16.5
FLU;20150411;12.4
FLU;20150412;15.8
FLU;20150413;17.2
FLU;20150414;16.8
FLU;20150415;20.2
FLU;20150416;17.5
FLU;20150417;11.9
FLU;20150418;6.7
FLU;20150419;11.6
FLU;20150420;13.3
FLU;20150421;15.6
FLU;20150422;18.3
FLU;20150423;15.9
FLU;20150424;18.2
FLU;20150425;14.4
FLU;20150426;15.6
FLU;20150427;15.4
FLU;20150428;8.9
FLU;20150429;13.4
FLU;20150430;14.0
FLU;20150501;12.6
FLU;20150502;14.7
FLU;20150503;17.9
FLU;20150504;17.6
FLU;20150505;19.3
FLU;20150506;15.7
FLU;20150507;14.9
FLU;20150508;20.0
FLU;20150509;16.2
FLU;20150510;18.0
FLU;20150511;22.9
FLU;20150512;24.8
FLU;20150513;25.2
FLU;20150514;19.6
FLU;20150515;8.1
FLU;20150516;16.1
FLU;20150517;16.1
FLU;20150518;19.9
FLU;20150519;12.6
FLU;20150520;6.7
FLU;20150521;5.7
FLU;20150522;10.5
FLU;20150523;12.2
FLU;20150524;13.3
FLU;20150525;15.4
FLU;20150526;11.8
FLU;20150527;13.0
FLU;20150528;19.1
FLU;20150529;20.7
FLU;20150530;16.7
FLU;20150531;18.8
FLU;20150601;20.8
FLU;20150602;22.6
FLU;20150603;24.2
FLU;20150604;24.3
FLU;20150605;26.4
FLU;20150606;26.0
FLU;20150607;23.9
FLU;20150608;19.3
FLU;20150609;11.4
FLU;20150610;14.8
FLU;20150611;22.3
FLU;20150612;23.3
FLU;20150613;20.6
FLU;20150614;20.0
FLU;20150615;15.5
FLU;20150616;16.4
FLU;20150617;17.4
FLU;20150618;16.9
FLU;20150619;17.3
FLU;20150620;14.4
FLU;20150621;17.4
FLU;20150622;20.4
FLU;20150623;15.1
FLU;20150624;17.5
FLU;20150625;21.1
FLU;20150626;22.1
FLU;20150627;22.5
FLU;20150628;22.2
FLU;20150629;22.7
FLU;20150630;25.3
FLU;20150701;27.6
FLU;20150702;30.4
FLU;20150703;29.9
FLU;20150704;30.6
FLU;20150705;31.5
FLU;20150706;26.0
FLU;20150707;32.8
FLU;20150708;20.9
FLU;20150709;20.2
FLU;20150710;22.3
FLU;20150711;27.5
FLU;20150712;25.3
FLU;20150713;23.7
FLU;20150714;26.1
FLU;20150715;25.8
FLU;20150716;29.5
FLU;20150717;29.4
FLU;20150718;27.0
FLU;20150719;27.1
FLU;20150720;25.9
FLU;20150721;28.3
FLU;20150722;27.9
FLU;20150723;20.2
FLU;20150724;25.9
FLU;20150725;18.4
FLU;20150726;18.1
FLU;20150727;20.6
FLU;20150728;17.8
FLU;20150729;17.8
FLU;20150730;15.6
FLU;20150731;18.5
FLU;20150801;16.7
FLU;20150802;20.9
FLU;20150803;26.0
FLU;20150804;23.1
FLU;20150805;25.4
FLU;20150806;28.5
FLU;20150807;30.1
FLU;20150808;27.7
FLU;20150809;22.2
FLU;20150810;22.2
FLU;20150811;23.9
FLU;20150812;26.3
FLU;20150813;27.0
FLU;20150814;19.8
FLU;20150815;14.3
FLU;20150816;13.2
FLU;20150817;14.9
FLU;20150818;15.7
FLU;20150819;12.4
FLU;20150820;17.6
FLU;20150821;19.9
FLU;20150822;21.3
FLU;20150823;19.0
FLU;20150824;19.7
FLU;20150825;17.8
FLU;20150826;23.3
FLU;20150827;26.3
FLU;20150828;26.8
FLU;20150829;25.9
FLU;20150830;26.6
FLU;20150831;26.5
FLU;20150901;18.8
FLU;20150902;15.0
FLU;20150903;14.8
FLU;20150904;15.2
FLU;20150905;10.6
FLU;20150906;11.8
FLU;20150907;13.2
FLU;20150908;14.8
FLU;20150909;16.1
FLU;20150910;13.7
FLU;20150911;18.9
FLU;20150912;20.8
FLU;20150913;19.8
FLU;20150914;17.8
FLU;20150915;14.8
FLU;20150916;24.9
FLU;20150917;13.3
FLU;20150918;11.3
FLU;20150919;13.7
FLU;20150920;13.6
FLU;20150921;15.6
FLU;20150922;14.0
FLU;20150923;7.8
FLU;20150924;12.4
FLU;20150925;13.4
FLU;20150926;12.2
