 

stn;time;tre200dx
MEB;19740601;11.4
MEB;19740602;18.5
MEB;19740603;23.0
MEB;19740604;20.9
MEB;19740605;20.4
MEB;19740606;15.2
MEB;19740607;10.9
MEB;19740608;16.9
MEB;19740609;9.2
MEB;19740610;7.0
MEB;19740611;8.3
MEB;19740612;9.7
MEB;19740613;11.2
MEB;19740614;17.2
MEB;19740615;19.1
MEB;19740616;20.3
MEB;19740617;20.8
MEB;19740618;12.6
MEB;19740619;17.4
MEB;19740620;19.1
MEB;19740621;19.0
MEB;19740622;20.0
MEB;19740623;18.8
MEB;19740624;16.3
MEB;19740625;20.1
MEB;19740626;17.3
MEB;19740627;17.8
MEB;19740628;14.4
MEB;19740629;11.6
MEB;19740630;17.5
MEB;19740701;20.0
MEB;19740702;20.7
MEB;19740703;16.8
MEB;19740704;16.2
MEB;19740705;21.7
MEB;19740706;16.4
MEB;19740707;17.0
MEB;19740708;18.9
MEB;19740709;22.5
MEB;19740710;18.9
MEB;19740711;23.2
MEB;19740712;25.1
MEB;19740713;23.4
MEB;19740714;15.6
MEB;19740715;18.4
MEB;19740716;21.5
MEB;19740717;11.4
MEB;19740718;11.4
MEB;19740719;7.6
MEB;19740720;13.0
MEB;19740721;17.6
MEB;19740722;18.8
MEB;19740723;22.0
MEB;19740724;20.8
MEB;19740725;16.3
MEB;19740726;20.0
MEB;19740727;22.0
MEB;19740728;23.0
MEB;19740729;24.3
MEB;19740730;25.1
MEB;19740731;23.5
MEB;19740801;22.1
MEB;19740802;23.9
MEB;19740803;26.0
MEB;19740804;22.2
MEB;19740805;20.5
MEB;19740806;19.4
MEB;19740807;23.7
MEB;19740808;18.7
MEB;19740809;16.3
MEB;19740810;17.2
MEB;19740811;12.0
MEB;19740812;19.4
MEB;19740813;25.0
MEB;19740814;26.3
MEB;19740815;27.9
MEB;19740816;29.5
MEB;19740817;26.9
MEB;19740818;20.0
MEB;19740819;15.1
MEB;19740820;20.9
MEB;19740821;20.8
MEB;19740822;19.1
MEB;19740823;17.7
MEB;19740824;17.6
MEB;19740825;18.9
MEB;19740826;20.1
MEB;19740827;12.5
MEB;19740828;9.8
MEB;19740829;19.7
MEB;19740830;21.7
MEB;19740831;17.5
MEB;19740901;16.8
MEB;19740902;18.5
MEB;19740903;11.5
MEB;19740904;15.0
MEB;19740905;22.0
MEB;19740906;16.0
MEB;19740907;16.8
MEB;19740908;20.5
MEB;19740909;22.6
MEB;19740910;15.6
MEB;19740911;20.8
MEB;19740912;22.8
MEB;19740913;22.7
MEB;19740914;21.5
MEB;19740915;19.1
MEB;19740916;20.3
MEB;19740917;20.4
MEB;19740918;17.8
MEB;19740919;12.6
MEB;19740920;11.0
MEB;19740921;12.6
MEB;19740922;12.2
MEB;19740923;11.7
MEB;19740924;10.4
MEB;19740925;7.9
MEB;19740926;6.1
MEB;19740927;14.2
MEB;19740928;12.6
MEB;19740929;9.4
MEB;19740930;5.9
MEB;19741001;6.7
MEB;19741002;5.0
MEB;19741003;3.9
MEB;19741004;7.0
MEB;19741005;6.3
MEB;19741006;7.1
MEB;19741007;6.1
MEB;19741008;6.0
MEB;19741009;2.7
MEB;19741010;6.4
MEB;19741011;5.4
