 

stn;time;tre200dx
RAN;19670601;9.3
RAN;19670602;14.3
RAN;19670603;18.2
RAN;19670604;19.9
RAN;19670605;20.2
RAN;19670606;22.0
RAN;19670607;20.0
RAN;19670608;13.4
RAN;19670609;9.2
RAN;19670610;8.4
RAN;19670611;10.2
RAN;19670612;8.5
RAN;19670613;11.2
RAN;19670614;15.0
RAN;19670615;13.4
RAN;19670616;11.8
RAN;19670617;17.0
RAN;19670618;18.1
RAN;19670619;14.2
RAN;19670620;15.2
RAN;19670621;14.5
RAN;19670622;21.5
RAN;19670623;26.2
RAN;19670624;28.5
RAN;19670625;28.5
RAN;19670626;22.5
RAN;19670627;15.4
RAN;19670628;15.0
RAN;19670629;18.6
RAN;19670630;22.2
RAN;19670701;25.2
RAN;19670702;25.4
RAN;19670703;18.6
RAN;19670704;16.2
RAN;19670705;18.7
RAN;19670706;21.5
RAN;19670707;18.4
RAN;19670708;19.5
RAN;19670709;15.0
RAN;19670710;17.0
RAN;19670711;21.0
RAN;19670712;25.2
RAN;19670713;26.2
RAN;19670714;23.5
RAN;19670715;17.9
RAN;19670716;20.6
RAN;19670717;23.3
RAN;19670718;27.0
RAN;19670719;26.1
RAN;19670720;24.5
RAN;19670721;22.5
RAN;19670722;24.8
RAN;19670723;20.2
RAN;19670724;21.0
RAN;19670725;18.2
RAN;19670726;20.5
RAN;19670727;22.6
RAN;19670728;24.2
RAN;19670729;21.5
RAN;19670730;23.1
RAN;19670731;25.2
RAN;19670801;26.0
RAN;19670802;26.5
RAN;19670803;17.8
RAN;19670804;16.4
RAN;19670805;15.9
RAN;19670806;15.7
RAN;19670807;19.5
RAN;19670808;23.2
RAN;19670809;20.8
RAN;19670810;17.0
RAN;19670811;17.0
RAN;19670812;19.5
RAN;19670813;12.5
RAN;19670814;15.7
RAN;19670815;20.8
RAN;19670816;26.0
RAN;19670817;15.6
RAN;19670818;18.5
RAN;19670819;20.0
RAN;19670820;15.8
RAN;19670821;18.3
RAN;19670822;21.8
RAN;19670823;22.3
RAN;19670824;17.1
RAN;19670825;18.5
RAN;19670826;19.8
RAN;19670827;18.8
RAN;19670828;19.1
RAN;19670829;19.6
RAN;19670830;19.9
RAN;19670831;16.7
RAN;19670901;19.2
RAN;19670902;22.8
RAN;19670903;21.4
RAN;19670904;16.4
RAN;19670905;16.6
RAN;19670906;14.6
RAN;19670907;12.8
RAN;19670908;10.4
RAN;19670909;8.0
RAN;19670910;10.5
RAN;19670911;11.8
RAN;19670912;12.7
RAN;19670913;10.2
RAN;19670914;11.0
RAN;19670915;10.2
RAN;19670916;11.7
RAN;19670917;14.2
RAN;19670918;13.2
RAN;19670919;17.5
RAN;19670920;13.0
RAN;19670921;22.2
RAN;19670922;16.0
RAN;19670923;15.4
RAN;19670924;21.8
RAN;19670925;24.3
RAN;19670926;24.7
RAN;19670927;20.5
RAN;19670928;21.1
RAN;19670929;20.7
RAN;19670930;18.4
RAN;19671001;13.9
RAN;19671002;15.4
RAN;19671003;12.3
RAN;19671004;16.5
RAN;19671005;10.5
RAN;19671006;10.4
RAN;19671007;16.0
RAN;19671008;14.4
RAN;19671009;17.6
RAN;19671010;18.7
RAN;19671011;20.8
RAN;19671012;20.2
RAN;19671013;17.8
RAN;19671014;18.3
RAN;19671015;16.7
RAN;19671016;18.7
RAN;19671017;21.6
RAN;19671018;6.7
RAN;19671019;11.8
RAN;19671020;16.5
RAN;19671021;18.8
RAN;19671022;17.2
RAN;19671023;15.7
RAN;19671024;16.2
RAN;19671025;13.8
RAN;19671026;13.9
RAN;19671027;16.2
RAN;19671028;13.0
RAN;19671029;9.8
RAN;19671030;6.5
RAN;19671031;6.5
RAN;19671101;5.3
RAN;19671102;9.0
RAN;19671103;5.8
RAN;19671104;7.0
RAN;19671105;8.0
RAN;19671106;5.3
RAN;19671107;4.7
RAN;19671108;6.0
RAN;19671109;9.4
RAN;19671110;8.5
RAN;19671111;6.5
RAN;19671112;8.0
RAN;19671113;10.0
RAN;19671114;12.7
RAN;19671115;11.5
RAN;19671116;4.5
RAN;19671117;3.0
RAN;19671118;11.2
RAN;19671119;11.0
RAN;19671120;3.3
RAN;19671121;4.9
RAN;19671122;5.5
RAN;19671123;3.3
RAN;19671124;8.3
RAN;19671125;6.7
RAN;19671126;6.9
RAN;19671127;4.0
RAN;19671128;1.2
RAN;19671129;3.0
RAN;19671130;1.0
RAN;19671201;0.0
RAN;19671202;3.4
RAN;19671203;0.8
RAN;19671204;0.7
RAN;19671205;0.5
RAN;19671206;1.5
RAN;19671207;1.5
RAN;19671208;-5.0
RAN;19671209;-7.8
RAN;19671210;-9.0
RAN;19671211;-9.2
RAN;19671212;-9.0
RAN;19671213;-2.3
RAN;19671214;0.8
RAN;19671215;-1.4
RAN;19671216;0.8
RAN;19671217;1.0
RAN;19671218;-3.7
RAN;19671219;-0.2
RAN;19671220;-0.4
RAN;19671221;-1.3
RAN;19671222;5.4
RAN;19671223;8.3
RAN;19671224;7.4
RAN;19671225;4.0
RAN;19671226;2.6
RAN;19671227;1.5
RAN;19671228;2.9
RAN;19671229;2.8
RAN;19671230;-2.7
RAN;19671231;-2.6
RAN;19680101;-2.0
RAN;19680102;-1.2
RAN;19680103;-0.5
RAN;19680104;0.0
RAN;19680105;4.0
RAN;19680106;3.5
