 

stn;time;tre200dx
WSLVSB;20200306;8.2
WSLVSB;20200307;7.5
WSLVSB;20200308;10.4
WSLVSB;20200309;8.7
WSLVSB;20200310;1.3
WSLVSB;20200311;11.3
WSLVSB;20200312;15.7
WSLVSB;20200313;10.2
WSLVSB;20200314;11.2
WSLVSB;20200315;12.0
WSLVSB;20200316;13.8
WSLVSB;20200317;15.6
WSLVSB;20200318;17.4
WSLVSB;20200319;17.7
WSLVSB;20200320;18.2
WSLVSB;20200321;16.9
WSLVSB;20200322;14.6
WSLVSB;20200323;10.7
WSLVSB;20200324;9.9
WSLVSB;20200325;8.5
WSLVSB;20200326;12.0
WSLVSB;20200327;17.1
WSLVSB;20200328;18.2
WSLVSB;20200329;15.4
WSLVSB;20200330;9.9
WSLVSB;20200331;-
WSLVSB;20200401;-
WSLVSB;20200402;-
WSLVSB;20200403;-
WSLVSB;20200404;-
WSLVSB;20200405;-
WSLVSB;20200406;-
WSLVSB;20200407;-
WSLVSB;20200408;-
WSLVSB;20200409;-
WSLVSB;20200410;-
WSLVSB;20200411;-
WSLVSB;20200412;-
WSLVSB;20200413;-
WSLVSB;20200414;-
WSLVSB;20200415;-
WSLVSB;20200416;-
WSLVSB;20200417;-
WSLVSB;20200418;-
WSLVSB;20200419;-
WSLVSB;20200420;-
WSLVSB;20200421;-
WSLVSB;20200422;-
WSLVSB;20200423;-
WSLVSB;20200424;-
WSLVSB;20200425;-
WSLVSB;20200426;-
WSLVSB;20200427;-
WSLVSB;20200428;-
WSLVSB;20200429;-
WSLVSB;20200430;-
WSLVSB;20200501;-
WSLVSB;20200502;-
WSLVSB;20200503;-
WSLVSB;20200504;-
WSLVSB;20200505;-
WSLVSB;20200506;-
WSLVSB;20200507;-
WSLVSB;20200508;-
WSLVSB;20200509;-
WSLVSB;20200510;-
WSLVSB;20200511;-
WSLVSB;20200512;-
WSLVSB;20200513;-
WSLVSB;20200514;24.0
WSLVSB;20200515;18.5
WSLVSB;20200516;23.4
WSLVSB;20200517;24.7
WSLVSB;20200518;26.1
WSLVSB;20200519;27.8
WSLVSB;20200520;28.5
WSLVSB;20200521;28.3
WSLVSB;20200522;29.4
WSLVSB;20200523;27.4
WSLVSB;20200524;21.9
WSLVSB;20200525;24.8
WSLVSB;20200526;24.9
WSLVSB;20200527;25.6
WSLVSB;20200528;25.3
WSLVSB;20200529;24.9
WSLVSB;20200530;22.4
WSLVSB;20200531;24.8
WSLVSB;20200601;28.1
WSLVSB;20200602;28.7
WSLVSB;20200603;28.1
WSLVSB;20200604;17.4
WSLVSB;20200605;18.2
WSLVSB;20200606;22.5
WSLVSB;20200607;16.2
WSLVSB;20200608;18.0
WSLVSB;20200609;17.9
WSLVSB;20200610;15.9
WSLVSB;20200611;23.3
WSLVSB;20200612;21.6
WSLVSB;20200613;25.9
WSLVSB;20200614;21.6
WSLVSB;20200615;23.0
WSLVSB;20200616;25.1
WSLVSB;20200617;20.5
WSLVSB;20200618;23.1
WSLVSB;20200619;22.6
WSLVSB;20200620;25.9
WSLVSB;20200621;26.1
WSLVSB;20200622;28.9
WSLVSB;20200623;30.2
WSLVSB;20200624;31.1
WSLVSB;20200625;29.2
WSLVSB;20200626;31.0
WSLVSB;20200627;28.3
WSLVSB;20200628;25.5
WSLVSB;20200629;-
WSLVSB;20200630;27.9
WSLVSB;20200701;31.6
WSLVSB;20200702;28.8
WSLVSB;20200703;22.5
WSLVSB;20200704;27.2
