 

stn;time;tre200dx
IYMUW;19960101;1.0
IYMUW;19960102;-1.0
IYMUW;19960103;1.0
IYMUW;19960104;-2.0
IYMUW;19960105;-8.0
IYMUW;19960106;-3.0
IYMUW;19960107;1.0
IYMUW;19960108;4.0
IYMUW;19960109;-2.0
IYMUW;19960110;0.0
IYMUW;19960111;3.0
IYMUW;19960112;3.0
IYMUW;19960113;1.0
IYMUW;19960114;-3.0
IYMUW;19960115;-6.0
IYMUW;19960116;-8.0
IYMUW;19960117;-9.0
IYMUW;19960118;-3.0
IYMUW;19960119;-4.0
IYMUW;19960120;-9.0
IYMUW;19960121;-9.0
IYMUW;19960122;-8.0
IYMUW;19960123;-3.0
IYMUW;19960124;-3.0
IYMUW;19960125;-1.0
IYMUW;19960126;3.0
IYMUW;19960127;1.0
IYMUW;19960128;2.0
IYMUW;19960129;-2.0
IYMUW;19960130;-5.0
IYMUW;19960131;-7.0
IYMUW;19960201;-6.0
IYMUW;19960202;-2.0
IYMUW;19960203;2.0
IYMUW;19960204;3.0
IYMUW;19960205;-1.0
IYMUW;19960206;-10.0
IYMUW;19960207;-10.0
IYMUW;19960208;1.0
IYMUW;19960209;-3.0
IYMUW;19960210;-2.0
IYMUW;19960211;-1.0
IYMUW;19960212;0.0
IYMUW;19960213;2.0
IYMUW;19960214;1.0
IYMUW;19960215;-1.0
IYMUW;19960216;8.0
IYMUW;19960217;7.0
IYMUW;19960218;3.0
IYMUW;19960219;0.0
IYMUW;19960220;1.0
IYMUW;19960221;1.0
IYMUW;19960222;-1.0
IYMUW;19960223;-2.0
IYMUW;19960224;2.0
IYMUW;19960225;4.0
IYMUW;19960226;6.0
IYMUW;19960227;11.0
IYMUW;19960228;10.0
IYMUW;19960229;10.0
IYMUW;19960301;11.0
IYMUW;19960302;-1.0
IYMUW;19960303;0.0
IYMUW;19960304;0.0
IYMUW;19960305;6.0
IYMUW;19960306;10.0
IYMUW;19960307;6.0
IYMUW;19960308;7.0
IYMUW;19960309;9.0
IYMUW;19960310;8.0
IYMUW;19960311;7.0
IYMUW;19960312;-2.0
IYMUW;19960313;2.0
IYMUW;19960314;9.0
IYMUW;19960315;12.0
IYMUW;19960316;13.0
IYMUW;19960317;7.0
IYMUW;19960318;8.0
IYMUW;19960319;11.0
IYMUW;19960320;13.0
IYMUW;19960321;11.0
IYMUW;19960322;11.0
IYMUW;19960323;4.0
IYMUW;19960324;13.0
IYMUW;19960325;17.0
IYMUW;19960326;10.0
IYMUW;19960327;13.0
IYMUW;19960328;11.0
IYMUW;19960329;7.0
IYMUW;19960330;5.0
IYMUW;19960331;6.0
IYMUW;19960401;3.0
IYMUW;19960402;7.0
IYMUW;19960403;5.0
IYMUW;19960404;6.0
IYMUW;19960405;11.0
IYMUW;19960406;13.0
IYMUW;19960407;16.0
IYMUW;19960408;13.0
IYMUW;19960409;14.0
IYMUW;19960410;15.0
IYMUW;19960411;11.0
IYMUW;19960412;12.0
IYMUW;19960413;9.0
IYMUW;19960414;10.0
IYMUW;19960415;9.0
IYMUW;19960416;13.0
IYMUW;19960417;17.0
IYMUW;19960418;16.0
IYMUW;19960419;20.0
IYMUW;19960420;19.0
IYMUW;19960421;19.0
IYMUW;19960422;18.0
IYMUW;19960423;18.0
IYMUW;19960424;18.0
IYMUW;19960425;10.0
IYMUW;19960426;10.0
IYMUW;19960427;12.0
IYMUW;19960428;15.0
IYMUW;19960429;14.0
IYMUW;19960430;15.0
IYMUW;19960501;13.0
IYMUW;19960502;12.0
IYMUW;19960503;8.0
IYMUW;19960504;14.0
IYMUW;19960505;12.0
IYMUW;19960506;17.0
IYMUW;19960507;21.0
IYMUW;19960508;21.0
IYMUW;19960509;12.0
IYMUW;19960510;12.0
IYMUW;19960511;19.0
IYMUW;19960512;15.0
IYMUW;19960513;14.0
IYMUW;19960514;18.0
IYMUW;19960515;20.0
IYMUW;19960516;23.0
IYMUW;19960517;22.0
IYMUW;19960518;21.0
IYMUW;19960519;18.0
IYMUW;19960520;12.0
IYMUW;19960521;17.0
IYMUW;19960522;16.0
IYMUW;19960523;15.0
IYMUW;19960524;22.0
IYMUW;19960525;22.0
IYMUW;19960526;20.0
IYMUW;19960527;10.0
IYMUW;19960528;12.0
IYMUW;19960529;19.0
IYMUW;19960530;28.0
IYMUW;19960531;30.0
IYMUW;19960601;28.0
IYMUW;19960602;24.0
IYMUW;19960603;24.0
IYMUW;19960604;25.0
IYMUW;19960605;26.0
IYMUW;19960606;30.0
IYMUW;19960607;30.0
IYMUW;19960608;29.0
IYMUW;19960609;28.0
IYMUW;19960610;28.0
IYMUW;19960611;27.0
IYMUW;19960612;29.0
IYMUW;19960613;25.0
IYMUW;19960614;25.0
IYMUW;19960615;24.0
IYMUW;19960616;23.0
IYMUW;19960617;25.0
IYMUW;19960618;24.0
IYMUW;19960619;22.0
IYMUW;19960620;21.0
IYMUW;19960621;13.0
IYMUW;19960622;10.0
IYMUW;19960623;13.0
IYMUW;19960624;15.0
IYMUW;19960625;17.0
IYMUW;19960626;17.0
IYMUW;19960627;18.0
IYMUW;19960628;22.0
IYMUW;19960629;22.0
IYMUW;19960630;22.0
IYMUW;19960701;12.0
IYMUW;19960702;17.0
IYMUW;19960703;22.0
IYMUW;19960704;27.0
IYMUW;19960705;21.0
IYMUW;19960706;21.0
IYMUW;19960707;16.0
IYMUW;19960708;16.0
IYMUW;19960709;16.0
IYMUW;19960710;11.0
IYMUW;19960711;20.0
IYMUW;19960712;22.0
IYMUW;19960713;25.0
IYMUW;19960714;29.0
IYMUW;19960715;28.0
IYMUW;19960716;26.0
IYMUW;19960717;26.0
IYMUW;19960718;25.0
IYMUW;19960719;23.0
IYMUW;19960720;24.0
IYMUW;19960721;24.0
IYMUW;19960722;27.0
IYMUW;19960723;29.0
IYMUW;19960724;23.0
IYMUW;19960725;23.0
IYMUW;19960726;27.0
IYMUW;19960727;27.0
IYMUW;19960728;25.0
IYMUW;19960729;24.0
IYMUW;19960730;23.0
IYMUW;19960731;26.0
IYMUW;19960801;29.0
IYMUW;19960802;25.0
IYMUW;19960803;17.0
IYMUW;19960804;22.0
IYMUW;19960805;24.0
IYMUW;19960806;19.0
IYMUW;19960807;21.0
IYMUW;19960808;23.0
IYMUW;19960809;28.0
IYMUW;19960810;27.0
IYMUW;19960811;17.0
IYMUW;19960812;15.0
IYMUW;19960813;15.0
IYMUW;19960814;19.0
IYMUW;19960815;18.0
IYMUW;19960816;21.0
IYMUW;19960817;24.0
IYMUW;19960818;24.0
IYMUW;19960819;23.0
IYMUW;19960820;22.0
IYMUW;19960821;22.0
IYMUW;19960822;19.0
IYMUW;19960823;25.0
IYMUW;19960824;21.0
IYMUW;19960825;17.0
IYMUW;19960826;17.0
IYMUW;19960827;17.0
IYMUW;19960828;16.0
IYMUW;19960829;18.0
IYMUW;19960830;19.0
IYMUW;19960831;17.0
IYMUW;19960901;19.0
IYMUW;19960902;19.0
IYMUW;19960903;18.0
IYMUW;19960904;21.0
IYMUW;19960905;17.0
IYMUW;19960906;15.0
IYMUW;19960907;11.0
IYMUW;19960908;13.0
IYMUW;19960909;16.0
IYMUW;19960910;17.0
IYMUW;19960911;19.0
IYMUW;19960912;18.0
IYMUW;19960913;12.0
IYMUW;19960914;13.0
IYMUW;19960915;16.0
IYMUW;19960916;16.0
IYMUW;19960917;16.0
IYMUW;19960918;13.0
IYMUW;19960919;11.0
IYMUW;19960920;11.0
IYMUW;19960921;11.0
IYMUW;19960922;13.0
IYMUW;19960923;14.0
IYMUW;19960924;15.0
IYMUW;19960925;14.0
IYMUW;19960926;15.0
IYMUW;19960927;15.0
IYMUW;19960928;17.0
IYMUW;19960929;17.0
IYMUW;19960930;19.0
IYMUW;19961001;18.0
IYMUW;19961002;9.0
IYMUW;19961003;12.0
IYMUW;19961004;13.0
IYMUW;19961005;6.0
IYMUW;19961006;11.0
IYMUW;19961007;16.0
IYMUW;19961008;15.0
IYMUW;19961009;15.0
IYMUW;19961010;14.0
IYMUW;19961011;13.0
IYMUW;19961012;15.0
IYMUW;19961013;12.0
IYMUW;19961014;11.0
IYMUW;19961015;10.0
IYMUW;19961016;10.0
IYMUW;19961017;10.0
IYMUW;19961018;9.0
IYMUW;19961019;11.0
IYMUW;19961020;9.0
IYMUW;19961021;10.0
IYMUW;19961022;13.0
IYMUW;19961023;6.0
IYMUW;19961024;5.0
IYMUW;19961025;6.0
IYMUW;19961026;7.0
IYMUW;19961027;7.0
IYMUW;19961028;8.0
IYMUW;19961029;7.0
IYMUW;19961030;3.0
IYMUW;19961031;3.0
IYMUW;19961101;8.0
IYMUW;19961102;10.0
IYMUW;19961103;7.0
