 

stn;time;tre200dx
ULR;19810101;1.3
ULR;19810102;-3.4
ULR;19810103;0.7
ULR;19810104;0.5
ULR;19810105;-5.8
ULR;19810106;-4.2
ULR;19810107;-7.0
ULR;19810108;-8.7
ULR;19810109;-6.4
ULR;19810110;-3.2
ULR;19810111;0.3
ULR;19810112;-7.2
ULR;19810113;-3.2
ULR;19810114;-7.8
ULR;19810115;-2.0
ULR;19810116;-5.6
ULR;19810117;-2.7
ULR;19810118;-2.7
ULR;19810119;-1.2
ULR;19810120;-2.0
ULR;19810121;-6.1
ULR;19810122;-0.4
ULR;19810123;-6.9
ULR;19810124;-5.6
ULR;19810125;-4.6
ULR;19810126;-0.6
ULR;19810127;-5.1
ULR;19810128;-1.8
ULR;19810129;-3.6
ULR;19810130;-4.8
ULR;19810131;-3.0
ULR;19810201;-1.9
ULR;19810202;-0.6
ULR;19810203;2.1
ULR;19810204;0.7
ULR;19810205;-3.9
ULR;19810206;-1.0
ULR;19810207;1.2
ULR;19810208;3.0
ULR;19810209;6.2
ULR;19810210;0.0
ULR;19810211;-3.8
ULR;19810212;-4.9
ULR;19810213;-4.5
ULR;19810214;-3.1
ULR;19810215;-1.5
ULR;19810216;0.6
ULR;19810217;-3.6
ULR;19810218;-4.3
ULR;19810219;-3.3
ULR;19810220;-2.3
ULR;19810221;-6.3
ULR;19810222;-1.3
ULR;19810223;-0.7
ULR;19810224;0.5
ULR;19810225;2.5
ULR;19810226;1.7
ULR;19810227;0.5
ULR;19810228;-0.4
ULR;19810301;2.3
ULR;19810302;4.2
ULR;19810303;1.0
ULR;19810304;0.6
ULR;19810305;2.2
ULR;19810306;3.7
ULR;19810307;6.1
ULR;19810308;7.8
ULR;19810309;5.3
ULR;19810310;7.3
ULR;19810311;10.2
ULR;19810312;3.5
ULR;19810313;2.3
ULR;19810314;4.1
ULR;19810315;4.3
ULR;19810316;0.8
ULR;19810317;2.3
ULR;19810318;-2.4
ULR;19810319;3.6
ULR;19810320;9.7
ULR;19810321;8.0
ULR;19810322;6.5
ULR;19810323;7.0
ULR;19810324;11.2
ULR;19810325;10.6
ULR;19810326;4.9
ULR;19810327;12.0
ULR;19810328;9.9
ULR;19810329;8.7
ULR;19810330;2.3
ULR;19810331;1.9
ULR;19810401;4.2
ULR;19810402;12.8
ULR;19810403;13.6
ULR;19810404;12.7
ULR;19810405;9.4
ULR;19810406;9.6
ULR;19810407;13.2
ULR;19810408;12.6
ULR;19810409;14.2
ULR;19810410;15.0
ULR;19810411;15.9
ULR;19810412;13.2
ULR;19810413;15.2
ULR;19810414;16.8
ULR;19810415;16.1
ULR;19810416;14.1
ULR;19810417;11.6
ULR;19810418;5.1
ULR;19810419;5.6
ULR;19810420;5.4
ULR;19810421;9.8
ULR;19810422;13.5
ULR;19810423;10.8
ULR;19810424;12.0
ULR;19810425;10.1
ULR;19810426;4.5
ULR;19810427;-0.7
ULR;19810428;3.9
ULR;19810429;3.4
ULR;19810430;9.3
ULR;19810501;9.0
ULR;19810502;5.3
ULR;19810503;6.0
ULR;19810504;3.9
ULR;19810505;1.7
ULR;19810506;11.0
ULR;19810507;16.1
ULR;19810508;13.5
ULR;19810509;15.8
ULR;19810510;12.3
ULR;19810511;8.7
ULR;19810512;13.3
ULR;19810513;10.7
ULR;19810514;13.9
ULR;19810515;12.1
ULR;19810516;13.9
ULR;19810517;12.5
ULR;19810518;14.7
ULR;19810519;16.8
ULR;19810520;18.3
ULR;19810521;20.2
ULR;19810522;10.5
ULR;19810523;16.8
ULR;19810524;10.7
ULR;19810525;9.5
ULR;19810526;8.8
ULR;19810527;5.8
ULR;19810528;11.5
ULR;19810529;15.0
ULR;19810530;16.9
ULR;19810531;18.5
ULR;19810601;20.6
ULR;19810602;23.3
ULR;19810603;20.3
ULR;19810604;12.1
ULR;19810605;17.6
ULR;19810606;20.3
ULR;19810607;20.8
ULR;19810608;16.9
ULR;19810609;21.2
ULR;19810610;19.7
ULR;19810611;23.1
ULR;19810612;24.2
ULR;19810613;21.6
ULR;19810614;24.9
ULR;19810615;25.3
ULR;19810616;20.5
ULR;19810617;15.9
ULR;19810618;8.1
ULR;19810619;12.7
ULR;19810620;14.0
ULR;19810621;11.8
ULR;19810622;9.1
ULR;19810623;17.5
ULR;19810624;18.1
ULR;19810625;16.7
ULR;19810626;15.3
ULR;19810627;14.9
ULR;19810628;14.3
ULR;19810629;12.3
ULR;19810630;16.2
ULR;19810701;21.2
ULR;19810702;19.3
ULR;19810703;15.3
ULR;19810704;17.5
ULR;19810705;19.1
ULR;19810706;21.1
ULR;19810707;23.0
ULR;19810708;23.2
ULR;19810709;22.5
ULR;19810710;20.9
ULR;19810711;20.2
ULR;19810712;19.2
ULR;19810713;19.5
ULR;19810714;20.6
ULR;19810715;20.2
ULR;19810716;22.4
ULR;19810717;23.4
ULR;19810718;11.2
ULR;19810719;6.9
ULR;19810720;12.1
ULR;19810721;16.8
ULR;19810722;19.9
ULR;19810723;11.2
ULR;19810724;11.3
ULR;19810725;10.4
ULR;19810726;10.9
ULR;19810727;11.5
ULR;19810728;17.6
ULR;19810729;24.5
ULR;19810730;25.3
ULR;19810731;26.9
ULR;19810801;25.2
ULR;19810802;24.0
ULR;19810803;24.3
ULR;19810804;26.4
ULR;19810805;26.0
ULR;19810806;26.1
ULR;19810807;23.5
ULR;19810808;22.0
ULR;19810809;20.0
ULR;19810810;16.8
ULR;19810811;13.6
ULR;19810812;21.1
ULR;19810813;23.1
ULR;19810814;23.1
ULR;19810815;25.3
ULR;19810816;25.2
ULR;19810817;18.1
ULR;19810818;22.2
ULR;19810819;22.0
ULR;19810820;21.1
ULR;19810821;12.0
ULR;19810822;18.2
ULR;19810823;15.4
ULR;19810824;15.2
ULR;19810825;17.7
ULR;19810826;18.5
ULR;19810827;19.7
ULR;19810828;20.4
ULR;19810829;22.1
ULR;19810830;23.3
ULR;19810831;22.3
ULR;19810901;14.6
ULR;19810902;18.1
ULR;19810903;12.2
ULR;19810904;16.5
ULR;19810905;18.7
ULR;19810906;22.0
ULR;19810907;21.6
ULR;19810908;21.3
ULR;19810909;14.7
ULR;19810910;14.0
ULR;19810911;18.6
ULR;19810912;21.8
ULR;19810913;15.5
ULR;19810914;13.6
ULR;19810915;10.8
ULR;19810916;16.2
ULR;19810917;20.1
ULR;19810918;18.3
ULR;19810919;15.6
ULR;19810920;19.0
ULR;19810921;17.7
ULR;19810922;16.3
ULR;19810923;13.3
ULR;19810924;13.1
ULR;19810925;16.3
ULR;19810926;13.2
ULR;19810927;8.2
ULR;19810928;6.1
ULR;19810929;8.3
ULR;19810930;16.0
ULR;19811001;14.5
ULR;19811002;12.0
ULR;19811003;11.7
ULR;19811004;15.8
ULR;19811005;15.4
ULR;19811006;17.5
ULR;19811007;15.1
ULR;19811008;17.2
ULR;19811009;18.2
ULR;19811010;11.7
ULR;19811011;10.9
ULR;19811012;3.5
ULR;19811013;6.5
ULR;19811014;5.3
ULR;19811015;15.5
ULR;19811016;14.7
ULR;19811017;15.3
ULR;19811018;17.3
ULR;19811019;12.4
ULR;19811020;13.7
ULR;19811021;6.7
ULR;19811022;0.3
ULR;19811023;2.3
ULR;19811024;3.7
ULR;19811025;4.2
ULR;19811026;0.0
