 

stn;time;tre200dx
IYSIG;20140801;10.2
IYSIG;20140802;3.5
IYSIG;20140803;3.2
IYSIG;20140804;7.5
IYSIG;20140805;1.9
IYSIG;20140806;6.2
IYSIG;20140807;6.2
IYSIG;20140808;6.4
IYSIG;20140809;5.1
IYSIG;20140810;7.8
IYSIG;20140811;5.5
IYSIG;20140812;5.4
IYSIG;20140813;3.1
IYSIG;20140814;2.8
IYSIG;20140815;0.8
IYSIG;20140816;0.8
IYSIG;20140817;2.5
IYSIG;20140818;4.0
IYSIG;20140819;1.4
IYSIG;20140820;1.3
IYSIG;20140821;2.4
IYSIG;20140822;2.3
IYSIG;20140823;2.8
IYSIG;20140824;3.0
IYSIG;20140825;3.1
IYSIG;20140826;2.4
IYSIG;20140827;0.9
IYSIG;20140828;7.1
IYSIG;20140829;6.4
IYSIG;20140830;5.2
IYSIG;20140831;1.4
IYSIG;20140901;-3.0
IYSIG;20140902;-0.3
IYSIG;20140903;1.2
IYSIG;20140904;2.7
IYSIG;20140905;3.1
IYSIG;20140906;2.7
IYSIG;20140907;5.5
IYSIG;20140908;8.0
IYSIG;20140909;7.7
IYSIG;20140910;3.2
IYSIG;20140911;0.3
IYSIG;20140912;0.0
IYSIG;20140913;-0.3
IYSIG;20140914;1.8
IYSIG;20140915;4.0
IYSIG;20140916;5.0
IYSIG;20140917;5.6
IYSIG;20140918;3.0
IYSIG;20140919;4.5
IYSIG;20140920;5.6
IYSIG;20140921;2.8
IYSIG;20140922;-1.4
IYSIG;20140923;1.8
IYSIG;20140924;5.2
IYSIG;20140925;-1.9
IYSIG;20140926;0.1
IYSIG;20140927;7.5
IYSIG;20140928;6.2
IYSIG;20140929;6.9
IYSIG;20140930;6.8
IYSIG;20141001;1.9
IYSIG;20141002;4.0
IYSIG;20141003;2.1
IYSIG;20141004;3.7
IYSIG;20141005;0.0
IYSIG;20141006;-0.9
IYSIG;20141007;1.5
IYSIG;20141008;1.0
IYSIG;20141009;0.9
IYSIG;20141010;1.1
IYSIG;20141011;1.3
IYSIG;20141012;1.2
IYSIG;20141013;1.3
IYSIG;20141014;1.8
IYSIG;20141015;2.2
IYSIG;20141016;0.3
IYSIG;20141017;1.3
IYSIG;20141018;5.6
IYSIG;20141019;8.6
IYSIG;20141020;6.2
IYSIG;20141021;1.2
IYSIG;20141022;-10.8
IYSIG;20141023;-8.3
IYSIG;20141024;-4.7
IYSIG;20141025;-1.1
IYSIG;20141026;-0.6
IYSIG;20141027;2.1
IYSIG;20141028;0.6
IYSIG;20141029;-3.2
IYSIG;20141030;-2.9
IYSIG;20141031;-2.3
IYSIG;20141101;2.7
IYSIG;20141102;2.4
IYSIG;20141103;-2.8
IYSIG;20141104;-3.6
IYSIG;20141105;-3.0
IYSIG;20141106;-3.3
IYSIG;20141107;-1.3
IYSIG;20141108;-1.9
IYSIG;20141109;-2.3
IYSIG;20141110;-2.9
IYSIG;20141111;-3.2
IYSIG;20141112;-3.1
IYSIG;20141113;-2.0
IYSIG;20141114;-1.9
IYSIG;20141115;-3.9
IYSIG;20141116;-5.3
