 

stn;time;tre200dx
IYSUM;19980821;7.7
IYSUM;19980822;9.3
IYSUM;19980823;11.7
IYSUM;19980824;7.9
IYSUM;19980825;8.1
IYSUM;19980826;11.7
IYSUM;19980827;8.6
IYSUM;19980828;4.7
IYSUM;19980829;5.8
IYSUM;19980830;3.5
IYSUM;19980831;8.0
IYSUM;19980901;9.2
IYSUM;19980902;14.8
IYSUM;19980903;8.3
IYSUM;19980904;9.7
IYSUM;19980905;5.1
IYSUM;19980906;15.5
IYSUM;19980907;9.6
IYSUM;19980908;3.2
IYSUM;19980909;12.3
IYSUM;19980910;13.9
IYSUM;19980911;6.9
IYSUM;19980912;3.2
IYSUM;19980913;17.0
IYSUM;19980914;-0.5
IYSUM;19980915;4.9
IYSUM;19980916;11.0
IYSUM;19980917;2.4
IYSUM;19980918;8.8
IYSUM;19980919;9.3
IYSUM;19980920;9.3
IYSUM;19980921;10.0
IYSUM;19980922;4.5
IYSUM;19980923;8.5
IYSUM;19980924;9.7
IYSUM;19980925;2.9
IYSUM;19980926;5.9
IYSUM;19980927;9.7
IYSUM;19980928;7.9
IYSUM;19980929;7.6
IYSUM;19980930;3.8
IYSUM;19981001;3.5
IYSUM;19981002;10.8
IYSUM;19981003;8.4
IYSUM;19981004;0.6
IYSUM;19981005;2.1
IYSUM;19981006;2.1
IYSUM;19981007;9.2
IYSUM;19981008;8.3
IYSUM;19981009;5.7
IYSUM;19981010;1.4
IYSUM;19981011;13.4
IYSUM;19981012;7.9
IYSUM;19981013;4.3
IYSUM;19981014;12.3
IYSUM;19981015;13.4
IYSUM;19981016;9.2
IYSUM;19981017;9.1
IYSUM;19981018;5.1
IYSUM;19981019;5.0
IYSUM;19981020;1.5
IYSUM;19981021;23.0
IYSUM;19981022;13.9
IYSUM;19981023;16.1
IYSUM;19981024;8.6
IYSUM;19981025;1.3
IYSUM;19981026;0.7
IYSUM;19981027;0.2
IYSUM;19981028;7.7
IYSUM;19981029;6.5
IYSUM;19981030;-3.8
IYSUM;19981031;0.1
IYSUM;19981101;0.5
IYSUM;19981102;3.7
IYSUM;19981103;-0.9
IYSUM;19981104;1.0
IYSUM;19981105;2.7
IYSUM;19981106;2.1
IYSUM;19981107;4.7
IYSUM;19981108;8.6
IYSUM;19981109;4.4
IYSUM;19981110;4.9
IYSUM;19981111;0.0
IYSUM;19981112;1.1
IYSUM;19981113;0.1
IYSUM;19981114;-4.3
IYSUM;19981115;-5.6
IYSUM;19981116;-6.5
IYSUM;19981117;-7.8
IYSUM;19981118;-6.9
IYSUM;19981119;-9.6
IYSUM;19981120;-14.8
IYSUM;19981121;-10.3
IYSUM;19981122;-10.6
IYSUM;19981123;1.0
IYSUM;19981124;-1.5
IYSUM;19981125;3.7
IYSUM;19981126;-1.6
IYSUM;19981127;-5.1
IYSUM;19981128;1.1
IYSUM;19981129;0.8
IYSUM;19981130;-5.8
IYSUM;19981201;-0.1
IYSUM;19981202;-5.6
IYSUM;19981203;2.0
IYSUM;19981204;-6.0
IYSUM;19981205;-15.6
IYSUM;19981206;-17.8
IYSUM;19981207;-17.7
IYSUM;19981208;-8.0
IYSUM;19981209;-0.4
IYSUM;19981210;-1.9
IYSUM;19981211;-5.0
IYSUM;19981212;-1.5
IYSUM;19981213;0.6
IYSUM;19981214;-2.6
IYSUM;19981215;7.6
IYSUM;19981216;1.6
IYSUM;19981217;5.2
IYSUM;19981218;5.7
IYSUM;19981219;2.9
IYSUM;19981220;-7.3
IYSUM;19981221;-12.4
IYSUM;19981222;-7.4
IYSUM;19981223;-2.4
IYSUM;19981224;-5.1
IYSUM;19981225;-1.3
IYSUM;19981226;1.5
IYSUM;19981227;6.0
IYSUM;19981228;7.3
IYSUM;19981229;-0.5
IYSUM;19981230;4.8
IYSUM;19981231;-5.4
IYSUM;19990101;-2.0
