 

stn;time;tre200dx
PERSTO;20200816;7.2
PERSTO;20200817;6.5
PERSTO;20200818;5.3
PERSTO;20200819;9.6
PERSTO;20200820;11.9
PERSTO;20200821;13.1
PERSTO;20200822;9.6
PERSTO;20200823;6.3
PERSTO;20200824;5.4
PERSTO;20200825;8.8
PERSTO;20200826;9.7
PERSTO;20200827;9.8
PERSTO;20200828;5.7
PERSTO;20200829;2.1
PERSTO;20200830;0.4
PERSTO;20200831;0.2
PERSTO;20200901;1.0
PERSTO;20200902;1.8
PERSTO;20200903;5.8
PERSTO;20200904;10.5
PERSTO;20200905;8.4
PERSTO;20200906;6.2
PERSTO;20200907;4.8
PERSTO;20200908;7.3
PERSTO;20200909;8.0
PERSTO;20200910;7.2
PERSTO;20200911;7.6
PERSTO;20200912;8.3
PERSTO;20200913;10.0
PERSTO;20200914;8.7
PERSTO;20200915;8.3
PERSTO;20200916;7.3
PERSTO;20200917;7.5
PERSTO;20200918;7.7
PERSTO;20200919;5.6
PERSTO;20200920;4.9
PERSTO;20200921;3.4
PERSTO;20200922;4.1
PERSTO;20200923;3.2
PERSTO;20200924;2.7
PERSTO;20200925;-3.6
PERSTO;20200926;-10.4
PERSTO;20200927;-6.7
PERSTO;20200928;-4.4
PERSTO;20200929;1.2
PERSTO;20200930;2.7
PERSTO;20201001;1.7
PERSTO;20201002;-0.2
PERSTO;20201003;-0.2
PERSTO;20201004;-1.5
PERSTO;20201005;-6.0
PERSTO;20201006;-1.8
PERSTO;20201007;-4.7
PERSTO;20201008;2.5
PERSTO;20201009;3.6
PERSTO;20201010;-1.7
PERSTO;20201011;-9.0
PERSTO;20201012;-10.0
PERSTO;20201013;-6.8
PERSTO;20201014;-7.1
PERSTO;20201015;-5.7
PERSTO;20201016;-6.3
PERSTO;20201017;-4.2
PERSTO;20201018;-1.9
PERSTO;20201019;1.7
PERSTO;20201020;4.4
PERSTO;20201021;5.3
PERSTO;20201022;2.7
PERSTO;20201023;1.1
PERSTO;20201024;-1.1
PERSTO;20201025;1.2
PERSTO;20201026;-3.2
PERSTO;20201027;-1.5
PERSTO;20201028;-0.1
PERSTO;20201029;-2.6
PERSTO;20201030;3.1
PERSTO;20201031;6.6
PERSTO;20201101;1.9
PERSTO;20201102;7.1
PERSTO;20201103;4.9
PERSTO;20201104;-1.3
PERSTO;20201105;1.1
PERSTO;20201106;4.6
PERSTO;20201107;3.9
PERSTO;20201108;0.1
PERSTO;20201109;1.6
PERSTO;20201110;0.2
PERSTO;20201111;0.4
PERSTO;20201112;-0.6
PERSTO;20201113;2.9
PERSTO;20201114;1.7
PERSTO;20201115;1.9
PERSTO;20201116;-3.8
PERSTO;20201117;2.9
PERSTO;20201118;5.9
PERSTO;20201119;0.8
PERSTO;20201120;-6.3
PERSTO;20201121;1.3
PERSTO;20201122;5.8
PERSTO;20201123;-
PERSTO;20201124;0.8
PERSTO;20201125;-2.0
PERSTO;20201126;-1.4
PERSTO;20201127;0.4
PERSTO;20201128;-
PERSTO;20201129;-1.6
PERSTO;20201130;2.0
PERSTO;20201201;-
PERSTO;20201202;-9.8
PERSTO;20201203;-7.3
PERSTO;20201204;-12.0
PERSTO;20201205;-9.5
PERSTO;20201206;-9.8
PERSTO;20201207;-11.1
PERSTO;20201208;-10.6
PERSTO;20201209;-11.7
PERSTO;20201210;-4.6
PERSTO;20201211;-7.3
PERSTO;20201212;-8.9
PERSTO;20201213;-5.9
PERSTO;20201214;0.5
PERSTO;20201215;-2.7
PERSTO;20201216;-0.1
PERSTO;20201217;-0.7
PERSTO;20201218;-0.3
PERSTO;20201219;-2.9
PERSTO;20201220;-6.0
PERSTO;20201221;-2.9
PERSTO;20201222;-1.0
PERSTO;20201223;-2.7
PERSTO;20201224;-5.9
PERSTO;20201225;-15.1
PERSTO;20201226;-8.3
PERSTO;20201227;-6.3
PERSTO;20201228;-13.5
PERSTO;20201229;-14.8
PERSTO;20201230;-11.8
PERSTO;20201231;-12.4
PERSTO;20210101;-13.2
PERSTO;20210102;-12.7
PERSTO;20210103;-12.9
PERSTO;20210104;-15.1
PERSTO;20210105;-14.9
PERSTO;20210106;-13.2
PERSTO;20210107;-11.6
PERSTO;20210108;-10.1
PERSTO;20210109;-10.7
PERSTO;20210110;-9.2
PERSTO;20210111;-6.6
PERSTO;20210112;-9.3
PERSTO;20210113;-9.5
PERSTO;20210114;-9.0
PERSTO;20210115;-10.9
PERSTO;20210116;-8.4
PERSTO;20210117;-12.3
PERSTO;20210118;-10.9
PERSTO;20210119;-5.9
PERSTO;20210120;-4.0
PERSTO;20210121;-7.7
PERSTO;20210122;-8.4
PERSTO;20210123;-12.2
PERSTO;20210124;-16.2
PERSTO;20210125;-17.7
PERSTO;20210126;-14.3
PERSTO;20210127;-9.4
PERSTO;20210128;-5.9
PERSTO;20210129;-7.0
PERSTO;20210130;-3.8
PERSTO;20210131;-0.9
PERSTO;20210201;-8.9
PERSTO;20210202;-4.4
PERSTO;20210203;-3.1
PERSTO;20210204;-
PERSTO;20210205;-1.5
PERSTO;20210206;-4.8
PERSTO;20210207;-4.1
PERSTO;20210208;-8.2
PERSTO;20210209;-5.0
PERSTO;20210210;-5.2
PERSTO;20210211;-7.5
