 

stn;time;tre200dx
SLFBE2;20181024;6.5
SLFBE2;20181025;9.4
SLFBE2;20181026;4.1
SLFBE2;20181027;1.3
SLFBE2;20181028;0.6
SLFBE2;20181029;3.3
SLFBE2;20181030;-3.6
SLFBE2;20181031;-1.8
SLFBE2;20181101;-0.1
SLFBE2;20181102;-0.1
SLFBE2;20181103;3.6
SLFBE2;20181104;5.1
SLFBE2;20181105;1.0
SLFBE2;20181106;0.9
SLFBE2;20181107;0.1
SLFBE2;20181108;0.8
SLFBE2;20181109;0.3
SLFBE2;20181110;-0.3
SLFBE2;20181111;0.4
SLFBE2;20181112;1.8
SLFBE2;20181113;4.9
SLFBE2;20181114;7.2
SLFBE2;20181115;5.8
SLFBE2;20181116;4.7
SLFBE2;20181117;-5.8
SLFBE2;20181118;-3.9
SLFBE2;20181119;-8.7
SLFBE2;20181120;-4.2
SLFBE2;20181121;-1.5
SLFBE2;20181122;0.0
SLFBE2;20181123;-2.8
SLFBE2;20181124;-1.3
SLFBE2;20181125;-3.8
SLFBE2;20181126;-2.7
SLFBE2;20181127;-7.6
SLFBE2;20181128;-1.1
SLFBE2;20181129;0.0
SLFBE2;20181130;-2.1
SLFBE2;20181201;-1.1
SLFBE2;20181202;2.3
SLFBE2;20181203;3.1
SLFBE2;20181204;-0.9
SLFBE2;20181205;2.0
SLFBE2;20181206;0.7
SLFBE2;20181207;2.4
SLFBE2;20181208;-2.0
SLFBE2;20181209;-3.7
SLFBE2;20181210;-7.2
SLFBE2;20181211;-10.8
SLFBE2;20181212;-7.4
SLFBE2;20181213;-11.5
SLFBE2;20181214;-8.2
SLFBE2;20181215;-6.2
SLFBE2;20181216;-4.6
SLFBE2;20181217;-4.9
SLFBE2;20181218;-4.4
SLFBE2;20181219;-2.9
SLFBE2;20181220;-4.5
SLFBE2;20181221;2.2
SLFBE2;20181222;1.8
SLFBE2;20181223;2.1
SLFBE2;20181224;2.4
SLFBE2;20181225;-0.8
SLFBE2;20181226;2.4
SLFBE2;20181227;3.5
SLFBE2;20181228;3.0
SLFBE2;20181229;0.6
SLFBE2;20181230;-2.1
SLFBE2;20181231;-0.3
SLFBE2;20190101;2.2
SLFBE2;20190102;-7.5
SLFBE2;20190103;-14.2
SLFBE2;20190104;-8.7
SLFBE2;20190105;-6.7
SLFBE2;20190106;-7.1
SLFBE2;20190107;-4.9
SLFBE2;20190108;-3.0
SLFBE2;20190109;-10.6
SLFBE2;20190110;-13.7
