 

stn;time;tre200dx
SLFLAG;20190918;8.6
SLFLAG;20190919;6.5
SLFLAG;20190920;9.8
SLFLAG;20190921;9.4
SLFLAG;20190922;3.9
SLFLAG;20190923;3.2
SLFLAG;20190924;2.4
SLFLAG;20190925;2.4
SLFLAG;20190926;3.8
SLFLAG;20190927;6.0
SLFLAG;20190928;5.1
SLFLAG;20190929;7.3
SLFLAG;20190930;4.5
SLFLAG;20191001;4.4
SLFLAG;20191002;0.0
SLFLAG;20191003;-3.6
SLFLAG;20191004;-0.4
SLFLAG;20191005;-2.6
SLFLAG;20191006;-1.8
SLFLAG;20191007;0.6
SLFLAG;20191008;8.9
SLFLAG;20191009;4.5
SLFLAG;20191010;-1.6
SLFLAG;20191011;6.7
SLFLAG;20191012;7.3
SLFLAG;20191013;7.1
SLFLAG;20191014;7.2
SLFLAG;20191015;0.7
SLFLAG;20191016;0.5
SLFLAG;20191017;2.4
SLFLAG;20191018;0.7
SLFLAG;20191019;0.5
SLFLAG;20191020;2.5
SLFLAG;20191021;1.6
SLFLAG;20191022;4.2
SLFLAG;20191023;4.8
SLFLAG;20191024;2.1
SLFLAG;20191025;6.5
SLFLAG;20191026;8.5
SLFLAG;20191027;8.2
SLFLAG;20191028;6.7
SLFLAG;20191029;4.0
SLFLAG;20191030;3.9
SLFLAG;20191031;1.0
SLFLAG;20191101;0.4
SLFLAG;20191102;1.5
SLFLAG;20191103;-0.4
SLFLAG;20191104;-2.2
SLFLAG;20191105;-2.1
SLFLAG;20191106;-8.6
SLFLAG;20191107;-6.3
SLFLAG;20191108;-4.5
SLFLAG;20191109;-5.5
SLFLAG;20191110;-1.5
SLFLAG;20191111;-3.3
SLFLAG;20191112;-1.5
SLFLAG;20191113;-11.4
SLFLAG;20191114;-6.0
SLFLAG;20191115;-3.6
SLFLAG;20191116;-5.7
SLFLAG;20191117;-2.8
SLFLAG;20191118;-6.4
SLFLAG;20191119;-1.5
SLFLAG;20191120;0.6
SLFLAG;20191121;-0.9
SLFLAG;20191122;-3.4
SLFLAG;20191123;-1.9
SLFLAG;20191124;-0.7
SLFLAG;20191125;2.2
SLFLAG;20191126;0.3
SLFLAG;20191127;-1.5
SLFLAG;20191128;-3.6
SLFLAG;20191129;-2.0
SLFLAG;20191130;-6.6
SLFLAG;20191201;-5.6
SLFLAG;20191202;-4.7
SLFLAG;20191203;-0.1
SLFLAG;20191204;0.2
SLFLAG;20191205;1.9
SLFLAG;20191206;-1.8
SLFLAG;20191207;-2.0
SLFLAG;20191208;-0.6
SLFLAG;20191209;-5.7
SLFLAG;20191210;-5.0
SLFLAG;20191211;-0.7
SLFLAG;20191212;-
SLFLAG;20191213;-
SLFLAG;20191214;-
SLFLAG;20191215;-
SLFLAG;20191216;-
SLFLAG;20191217;-4.0
SLFLAG;20191218;-3.2
SLFLAG;20191219;-4.9
SLFLAG;20191220;-4.8
SLFLAG;20191221;-5.7
SLFLAG;20191222;-7.4
SLFLAG;20191223;-11.3
SLFLAG;20191224;-3.9
SLFLAG;20191225;-10.2
SLFLAG;20191226;-4.6
SLFLAG;20191227;-8.4
SLFLAG;20191228;-6.4
SLFLAG;20191229;-4.9
SLFLAG;20191230;0.0
SLFLAG;20191231;-1.9
SLFLAG;20200101;3.0
SLFLAG;20200102;-2.8
SLFLAG;20200103;-1.1
SLFLAG;20200104;-9.0
SLFLAG;20200105;-3.1
SLFLAG;20200106;0.5
SLFLAG;20200107;-2.9
SLFLAG;20200108;0.6
SLFLAG;20200109;-0.4
SLFLAG;20200110;-1.9
SLFLAG;20200111;-3.0
SLFLAG;20200112;4.4
SLFLAG;20200113;-0.9
SLFLAG;20200114;0.1
SLFLAG;20200115;0.5
SLFLAG;20200116;-0.3
SLFLAG;20200117;-3.4
SLFLAG;20200118;-10.0
SLFLAG;20200119;-16.2
SLFLAG;20200120;-9.1
