 

stn;time;tre200dx
SLFSTN;19990917;5.9
SLFSTN;19990918;2.5
SLFSTN;19990919;2.8
SLFSTN;19990920;6.1
SLFSTN;19990921;2.7
SLFSTN;19990922;7.9
SLFSTN;19990923;6.6
SLFSTN;19990924;8.4
SLFSTN;19990925;5.7
SLFSTN;19990926;3.5
SLFSTN;19990927;4.4
SLFSTN;19990928;0.6
SLFSTN;19990929;6.6
SLFSTN;19990930;6.5
SLFSTN;19991001;5.2
SLFSTN;19991002;5.5
SLFSTN;19991003;1.9
SLFSTN;19991004;-4.3
SLFSTN;19991005;-4.9
SLFSTN;19991006;-1.8
SLFSTN;19991007;2.3
SLFSTN;19991008;2.4
SLFSTN;19991009;3.2
SLFSTN;19991010;7.6
SLFSTN;19991011;6.9
SLFSTN;19991012;5.7
SLFSTN;19991013;3.6
SLFSTN;19991014;5.4
SLFSTN;19991015;5.5
SLFSTN;19991016;4.2
SLFSTN;19991017;3.5
SLFSTN;19991018;-2.0
SLFSTN;19991019;-1.8
SLFSTN;19991020;0.6
SLFSTN;19991021;0.5
SLFSTN;19991022;4.1
SLFSTN;19991023;1.9
SLFSTN;19991024;0.8
SLFSTN;19991025;2.5
SLFSTN;19991026;3.3
SLFSTN;19991027;5.2
SLFSTN;19991028;8.4
SLFSTN;19991029;8.0
SLFSTN;19991030;5.3
SLFSTN;19991031;3.8
SLFSTN;19991101;8.2
SLFSTN;19991102;8.4
SLFSTN;19991103;1.5
SLFSTN;19991104;0.0
SLFSTN;19991105;3.9
SLFSTN;19991106;-2.7
SLFSTN;19991107;0.1
SLFSTN;19991108;0.0
SLFSTN;19991109;-6.0
SLFSTN;19991110;-9.2
SLFSTN;19991111;-10.1
SLFSTN;19991112;-1.3
SLFSTN;19991113;3.1
SLFSTN;19991114;1.2
SLFSTN;19991115;-4.8
SLFSTN;19991116;-4.2
SLFSTN;19991117;-9.8
SLFSTN;19991118;-12.4
SLFSTN;19991119;-15.1
SLFSTN;19991120;-13.1
SLFSTN;19991121;-10.5
SLFSTN;19991122;-11.8
SLFSTN;19991123;-9.0
SLFSTN;19991124;-2.9
SLFSTN;19991125;0.4
SLFSTN;19991126;0.0
SLFSTN;19991127;-0.6
SLFSTN;19991128;2.0
SLFSTN;19991129;2.1
