 

stn;time;tre200d0
DLAUG;19470101;-2.3
DLAUG;19470102;-4.6
DLAUG;19470103;-2.8
DLAUG;19470104;-9.4
DLAUG;19470105;-15.6
DLAUG;19470106;-16.6
DLAUG;19470107;-11.6
DLAUG;19470108;-5.4
DLAUG;19470109;0.1
DLAUG;19470110;0.6
DLAUG;19470111;0.8
DLAUG;19470112;3.2
DLAUG;19470113;3.7
DLAUG;19470114;2.6
DLAUG;19470115;4.1
DLAUG;19470116;1.0
DLAUG;19470117;4.4
DLAUG;19470118;1.4
DLAUG;19470119;0.1
DLAUG;19470120;-4.2
DLAUG;19470121;-4.3
DLAUG;19470122;-7.5
DLAUG;19470123;-10.1
DLAUG;19470124;-13.4
DLAUG;19470125;-14.2
DLAUG;19470126;-10.2
DLAUG;19470127;-13.0
DLAUG;19470128;-12.3
DLAUG;19470129;-13.0
DLAUG;19470130;-10.6
DLAUG;19470131;-12.2
DLAUG;19470201;-12.5
DLAUG;19470202;-11.6
DLAUG;19470203;-6.7
DLAUG;19470204;-5.8
DLAUG;19470205;-5.6
DLAUG;19470206;-7.0
DLAUG;19470207;-7.7
DLAUG;19470208;-6.2
DLAUG;19470209;0.5
DLAUG;19470210;-1.6
DLAUG;19470211;-0.3
DLAUG;19470212;-4.3
DLAUG;19470213;-4.3
DLAUG;19470214;-3.8
DLAUG;19470215;-6.2
DLAUG;19470216;-6.5
DLAUG;19470217;-7.1
DLAUG;19470218;-7.1
DLAUG;19470219;-6.0
DLAUG;19470220;-5.3
DLAUG;19470221;0.5
DLAUG;19470222;6.2
DLAUG;19470223;-1.5
DLAUG;19470224;-4.5
DLAUG;19470225;-6.6
DLAUG;19470226;-6.2
DLAUG;19470227;-5.8
DLAUG;19470228;-1.3
DLAUG;19470301;-3.3
DLAUG;19470302;-4.1
DLAUG;19470303;-4.6
DLAUG;19470304;-1.2
DLAUG;19470305;4.2
DLAUG;19470306;5.9
DLAUG;19470307;2.4
DLAUG;19470308;-2.3
DLAUG;19470309;0.1
DLAUG;19470310;0.2
DLAUG;19470311;6.8
DLAUG;19470312;1.8
DLAUG;19470313;7.4
DLAUG;19470314;9.0
DLAUG;19470315;-1.0
DLAUG;19470316;2.4
DLAUG;19470317;10.8
DLAUG;19470318;12.6
DLAUG;19470319;6.8
DLAUG;19470320;6.0
DLAUG;19470321;10.1
DLAUG;19470322;10.6
DLAUG;19470323;9.0
DLAUG;19470324;8.2
DLAUG;19470325;2.0
DLAUG;19470326;2.7
DLAUG;19470327;7.0
DLAUG;19470328;11.1
DLAUG;19470329;11.8
DLAUG;19470330;5.8
DLAUG;19470331;6.9
DLAUG;19470401;7.4
DLAUG;19470402;4.4
DLAUG;19470403;7.2
DLAUG;19470404;6.9
DLAUG;19470405;4.5
DLAUG;19470406;9.8
DLAUG;19470407;13.3
DLAUG;19470408;13.7
DLAUG;19470409;4.6
DLAUG;19470410;4.4
DLAUG;19470411;4.7
DLAUG;19470412;7.4
DLAUG;19470413;7.5
DLAUG;19470414;10.6
DLAUG;19470415;14.0
DLAUG;19470416;14.0
DLAUG;19470417;14.9
DLAUG;19470418;12.7
DLAUG;19470419;12.1
DLAUG;19470420;12.6
DLAUG;19470421;10.0
DLAUG;19470422;13.6
DLAUG;19470423;8.9
DLAUG;19470424;11.6
DLAUG;19470425;13.4
DLAUG;19470426;15.7
DLAUG;19470427;16.3
DLAUG;19470428;14.9
DLAUG;19470429;9.4
DLAUG;19470430;11.8
DLAUG;19470501;9.9
DLAUG;19470502;13.7
DLAUG;19470503;16.6
DLAUG;19470504;11.4
DLAUG;19470505;6.7
DLAUG;19470506;9.1
DLAUG;19470507;13.0
DLAUG;19470508;14.6
DLAUG;19470509;16.5
DLAUG;19470510;13.8
DLAUG;19470511;15.4
DLAUG;19470512;17.2
DLAUG;19470513;18.1
DLAUG;19470514;16.4
DLAUG;19470515;15.5
DLAUG;19470516;7.9
DLAUG;19470517;11.0
DLAUG;19470518;11.1
DLAUG;19470519;12.7
DLAUG;19470520;13.5
DLAUG;19470521;13.3
DLAUG;19470522;14.6
DLAUG;19470523;16.6
DLAUG;19470524;16.4
DLAUG;19470525;18.8
DLAUG;19470526;20.4
DLAUG;19470527;19.2
DLAUG;19470528;19.0
DLAUG;19470529;18.7
DLAUG;19470530;18.8
DLAUG;19470531;20.7
DLAUG;19470601;22.6
DLAUG;19470602;23.9
DLAUG;19470603;24.1
DLAUG;19470604;24.4
DLAUG;19470605;18.0
DLAUG;19470606;10.0
DLAUG;19470607;11.8
DLAUG;19470608;14.0
DLAUG;19470609;11.8
DLAUG;19470610;11.9
DLAUG;19470611;13.6
DLAUG;19470612;14.3
DLAUG;19470613;15.9
DLAUG;19470614;18.4
DLAUG;19470615;14.0
DLAUG;19470616;13.8
DLAUG;19470617;15.6
DLAUG;19470618;17.8
DLAUG;19470619;18.4
DLAUG;19470620;19.2
DLAUG;19470621;20.8
DLAUG;19470622;14.4
DLAUG;19470623;14.3
DLAUG;19470624;16.4
DLAUG;19470625;21.8
DLAUG;19470626;24.4
DLAUG;19470627;25.6
DLAUG;19470628;23.3
DLAUG;19470629;22.7
DLAUG;19470630;20.0
DLAUG;19470701;18.9
DLAUG;19470702;17.4
DLAUG;19470703;21.2
DLAUG;19470704;21.1
DLAUG;19470705;20.3
DLAUG;19470706;17.8
DLAUG;19470707;25.8
DLAUG;19470708;17.7
DLAUG;19470709;11.8
DLAUG;19470710;13.7
DLAUG;19470711;15.9
DLAUG;19470712;14.1
DLAUG;19470713;15.7
DLAUG;19470714;17.5
DLAUG;19470715;19.2
DLAUG;19470716;18.4
DLAUG;19470717;18.1
DLAUG;19470718;15.9
DLAUG;19470719;17.2
DLAUG;19470720;16.3
DLAUG;19470721;17.2
DLAUG;19470722;19.1
DLAUG;19470723;21.4
DLAUG;19470724;22.5
DLAUG;19470725;23.8
DLAUG;19470726;25.2
DLAUG;19470727;25.5
DLAUG;19470728;25.3
DLAUG;19470729;26.6
DLAUG;19470730;25.4
DLAUG;19470731;21.2
DLAUG;19470801;22.8
DLAUG;19470802;23.4
DLAUG;19470803;24.9
DLAUG;19470804;25.8
DLAUG;19470805;19.6
DLAUG;19470806;17.1
DLAUG;19470807;18.0
DLAUG;19470808;16.4
DLAUG;19470809;17.4
DLAUG;19470810;19.1
DLAUG;19470811;19.9
DLAUG;19470812;19.1
DLAUG;19470813;20.4
DLAUG;19470814;22.7
DLAUG;19470815;23.4
DLAUG;19470816;22.9
DLAUG;19470817;22.1
