 

stn;time;tre200d0
TGEGN;20100827;20.8
TGEGN;20100828;14.1
TGEGN;20100829;14.2
TGEGN;20100830;11.8
TGEGN;20100831;12.6
TGEGN;20100901;12.7
TGEGN;20100902;13.5
TGEGN;20100903;15.4
TGEGN;20100904;15.0
TGEGN;20100905;13.8
TGEGN;20100906;14.2
TGEGN;20100907;15.1
TGEGN;20100908;14.8
TGEGN;20100909;14.5
TGEGN;20100910;14.5
TGEGN;20100911;14.6
TGEGN;20100912;14.9
TGEGN;20100913;13.6
TGEGN;20100914;12.8
TGEGN;20100915;14.9
TGEGN;20100916;14.0
TGEGN;20100917;13.7
TGEGN;20100918;12.5
TGEGN;20100919;10.8
TGEGN;20100920;10.9
TGEGN;20100921;12.8
TGEGN;20100922;13.2
TGEGN;20100923;13.7
TGEGN;20100924;13.5
TGEGN;20100925;10.3
TGEGN;20100926;9.3
TGEGN;20100927;10.1
TGEGN;20100928;10.0
TGEGN;20100929;11.3
TGEGN;20100930;11.1
TGEGN;20101001;12.0
TGEGN;20101002;12.3
TGEGN;20101003;13.1
TGEGN;20101004;15.0
TGEGN;20101005;14.2
TGEGN;20101006;12.0
TGEGN;20101007;13.9
TGEGN;20101008;14.7
TGEGN;20101009;13.2
TGEGN;20101010;10.6
TGEGN;20101011;9.4
TGEGN;20101012;8.0
TGEGN;20101013;8.6
TGEGN;20101014;9.2
TGEGN;20101015;7.1
TGEGN;20101016;7.1
TGEGN;20101017;7.4
TGEGN;20101018;6.9
TGEGN;20101019;7.5
TGEGN;20101020;6.1
TGEGN;20101021;-
TGEGN;20101022;-
TGEGN;20101023;9.0
TGEGN;20101024;7.4
TGEGN;20101025;5.6
TGEGN;20101026;5.4
TGEGN;20101027;-
TGEGN;20101028;6.7
TGEGN;20101029;5.8
TGEGN;20101030;7.5
TGEGN;20101031;8.9
TGEGN;20101101;9.2
TGEGN;20101102;8.9
TGEGN;20101103;10.0
TGEGN;20101104;13.6
TGEGN;20101105;12.9
TGEGN;20101106;12.7
TGEGN;20101107;9.3
TGEGN;20101108;4.9
TGEGN;20101109;4.7
TGEGN;20101110;6.6
TGEGN;20101111;6.9
TGEGN;20101112;12.1
TGEGN;20101113;13.5
TGEGN;20101114;9.2
TGEGN;20101115;8.2
TGEGN;20101116;4.0
TGEGN;20101117;4.0
TGEGN;20101118;3.2
TGEGN;20101119;4.9
TGEGN;20101120;3.3
TGEGN;20101121;3.8
TGEGN;20101122;3.9
TGEGN;20101123;2.8
TGEGN;20101124;2.9
TGEGN;20101125;2.2
TGEGN;20101126;0.3
TGEGN;20101127;-1.8
TGEGN;20101128;0.1
TGEGN;20101129;-0.9
TGEGN;20101130;-3.8
TGEGN;20101201;-1.9
TGEGN;20101202;-2.3
TGEGN;20101203;-3.5
TGEGN;20101204;-4.3
TGEGN;20101205;-2.5
TGEGN;20101206;2.3
TGEGN;20101207;6.0
TGEGN;20101208;7.6
TGEGN;20101209;0.5
TGEGN;20101210;0.5
TGEGN;20101211;-
TGEGN;20101212;2.7
TGEGN;20101213;-1.9
TGEGN;20101214;-
TGEGN;20101215;-
TGEGN;20101216;-4.8
TGEGN;20101217;-
TGEGN;20101218;-5.7
TGEGN;20101219;-1.8
TGEGN;20101220;4.9
TGEGN;20101221;2.6
TGEGN;20101222;3.1
TGEGN;20101223;-
TGEGN;20101224;-
TGEGN;20101225;-
TGEGN;20101226;-6.1
TGEGN;20101227;-6.6
TGEGN;20101228;-2.3
TGEGN;20101229;-
TGEGN;20101230;-
TGEGN;20101231;1.6
TGEGN;20110101;1.7
TGEGN;20110102;0.2
TGEGN;20110103;-2.5
TGEGN;20110104;-2.8
TGEGN;20110105;-1.7
TGEGN;20110106;2.2
TGEGN;20110107;5.3
TGEGN;20110108;4.9
TGEGN;20110109;4.4
TGEGN;20110110;-
TGEGN;20110111;-
TGEGN;20110112;-
TGEGN;20110113;-
TGEGN;20110114;-
TGEGN;20110115;7.3
TGEGN;20110116;1.1
TGEGN;20110117;-
TGEGN;20110118;-
TGEGN;20110119;-
TGEGN;20110120;-
TGEGN;20110121;-
TGEGN;20110122;-
TGEGN;20110123;-
TGEGN;20110124;-
TGEGN;20110125;-
TGEGN;20110126;2.5
TGEGN;20110127;1.6
TGEGN;20110128;0.6
TGEGN;20110129;-1.2
TGEGN;20110130;-3.6
TGEGN;20110131;-3.3
TGEGN;20110201;-2.8
TGEGN;20110202;-2.7
TGEGN;20110203;-2.0
TGEGN;20110204;4.1
TGEGN;20110205;5.5
TGEGN;20110206;2.5
TGEGN;20110207;1.5
TGEGN;20110208;2.1
TGEGN;20110209;0.1
TGEGN;20110210;0.9
TGEGN;20110211;7.7
TGEGN;20110212;5.6
TGEGN;20110213;4.7
TGEGN;20110214;2.5
TGEGN;20110215;2.7
TGEGN;20110216;3.6
TGEGN;20110217;3.3
TGEGN;20110218;3.7
TGEGN;20110219;4.1
TGEGN;20110220;1.8
TGEGN;20110221;0.4
TGEGN;20110222;-1.4
TGEGN;20110223;-5.4
TGEGN;20110224;-0.6
TGEGN;20110225;2.5
TGEGN;20110226;2.3
TGEGN;20110227;4.5
TGEGN;20110228;4.1
TGEGN;20110301;3.9
TGEGN;20110302;3.5
TGEGN;20110303;1.7
TGEGN;20110304;1.7
TGEGN;20110305;0.6
TGEGN;20110306;1.5
TGEGN;20110307;3.0
TGEGN;20110308;1.5
TGEGN;20110309;5.4
TGEGN;20110310;8.8
TGEGN;20110311;6.8
TGEGN;20110312;4.9
TGEGN;20110313;8.1
TGEGN;20110314;9.5
TGEGN;20110315;8.1
TGEGN;20110316;9.0
TGEGN;20110317;8.4
TGEGN;20110318;7.8
TGEGN;20110319;4.8
TGEGN;20110320;4.4
TGEGN;20110321;4.6
TGEGN;20110322;5.4
TGEGN;20110323;7.4
TGEGN;20110324;7.3
TGEGN;20110325;10.2
TGEGN;20110326;11.7
TGEGN;20110327;9.0
TGEGN;20110328;8.7
TGEGN;20110329;8.3
TGEGN;20110330;9.1
TGEGN;20110331;11.2
TGEGN;20110401;13.1
TGEGN;20110402;12.2
TGEGN;20110403;13.8
TGEGN;20110404;10.0
TGEGN;20110405;10.2
TGEGN;20110406;12.5
TGEGN;20110407;14.8
TGEGN;20110408;13.9
TGEGN;20110409;13.2
TGEGN;20110410;12.0
TGEGN;20110411;12.9
TGEGN;20110412;10.6
TGEGN;20110413;6.3
TGEGN;20110414;7.0
TGEGN;20110415;7.7
TGEGN;20110416;7.8
TGEGN;20110417;8.5
TGEGN;20110418;9.5
TGEGN;20110419;11.4
TGEGN;20110420;12.8
TGEGN;20110421;13.9
TGEGN;20110422;15.1
TGEGN;20110423;15.1
TGEGN;20110424;15.6
TGEGN;20110425;14.2
TGEGN;20110426;12.4
TGEGN;20110427;9.9
TGEGN;20110428;11.4
TGEGN;20110429;11.7
TGEGN;20110430;11.1
TGEGN;20110501;10.9
TGEGN;20110502;12.7
