 

stn;time;tre200d0
MAR;20150826;16.6
MAR;20150827;19.8
MAR;20150828;20.8
MAR;20150829;21.7
MAR;20150830;21.9
MAR;20150831;21.4
MAR;20150901;17.0
MAR;20150902;14.1
MAR;20150903;13.4
MAR;20150904;13.2
MAR;20150905;9.4
MAR;20150906;10.3
MAR;20150907;10.5
MAR;20150908;11.9
MAR;20150909;13.5
MAR;20150910;11.9
MAR;20150911;13.2
MAR;20150912;15.6
MAR;20150913;14.7
MAR;20150914;12.3
MAR;20150915;12.6
MAR;20150916;17.3
MAR;20150917;12.0
MAR;20150918;10.0
MAR;20150919;10.4
MAR;20150920;10.8
MAR;20150921;11.1
MAR;20150922;11.7
MAR;20150923;6.2
MAR;20150924;8.0
MAR;20150925;10.0
MAR;20150926;10.9
MAR;20150927;10.7
MAR;20150928;9.2
MAR;20150929;8.5
MAR;20150930;9.5
MAR;20151001;10.7
MAR;20151002;12.3
MAR;20151003;12.0
MAR;20151004;10.1
MAR;20151005;12.8
MAR;20151006;11.4
MAR;20151007;9.2
MAR;20151008;9.3
MAR;20151009;9.9
MAR;20151010;9.1
MAR;20151011;9.6
MAR;20151012;9.9
MAR;20151013;8.0
MAR;20151014;3.6
MAR;20151015;2.0
MAR;20151016;2.7
MAR;20151017;4.2
MAR;20151018;5.9
MAR;20151019;6.2
MAR;20151020;5.5
MAR;20151021;5.3
MAR;20151022;5.7
MAR;20151023;7.6
MAR;20151024;11.6
MAR;20151025;10.8
MAR;20151026;13.1
MAR;20151027;13.0
MAR;20151028;10.2
MAR;20151029;6.6
MAR;20151030;9.1
MAR;20151031;13.5
MAR;20151101;12.9
MAR;20151102;13.6
MAR;20151103;14.3
MAR;20151104;10.5
MAR;20151105;9.8
MAR;20151106;11.4
MAR;20151107;12.5
MAR;20151108;14.4
MAR;20151109;13.3
MAR;20151110;11.6
MAR;20151111;9.9
MAR;20151112;10.2
MAR;20151113;9.3
MAR;20151114;8.2
MAR;20151115;11.6
MAR;20151116;10.7
MAR;20151117;10.2
MAR;20151118;9.6
MAR;20151119;9.3
MAR;20151120;9.4
MAR;20151121;0.2
MAR;20151122;-2.3
MAR;20151123;-3.1
MAR;20151124;-2.6
MAR;20151125;-0.8
MAR;20151126;-1.1
MAR;20151127;-3.0
MAR;20151128;-1.6
MAR;20151129;1.0
MAR;20151130;3.5
MAR;20151201;3.4
MAR;20151202;5.8
MAR;20151203;7.0
MAR;20151204;6.2
MAR;20151205;5.5
MAR;20151206;5.9
MAR;20151207;6.3
MAR;20151208;5.9
MAR;20151209;3.9
MAR;20151210;3.8
MAR;20151211;4.0
MAR;20151212;3.1
MAR;20151213;3.7
MAR;20151214;3.1
MAR;20151215;4.9
MAR;20151216;5.7
MAR;20151217;7.4
MAR;20151218;8.4
MAR;20151219;9.7
MAR;20151220;10.3
MAR;20151221;6.4
MAR;20151222;6.9
MAR;20151223;6.0
MAR;20151224;7.3
MAR;20151225;7.2
MAR;20151226;7.8
MAR;20151227;8.2
MAR;20151228;9.1
MAR;20151229;5.9
MAR;20151230;5.2
MAR;20151231;5.1
MAR;20160101;4.7
MAR;20160102;3.8
MAR;20160103;1.5
MAR;20160104;0.6
MAR;20160105;0.7
MAR;20160106;-0.1
MAR;20160107;0.3
MAR;20160108;1.9
MAR;20160109;3.0
MAR;20160110;2.6
MAR;20160111;2.1
MAR;20160112;0.6
MAR;20160113;-2.1
MAR;20160114;-2.9
MAR;20160115;-2.9
MAR;20160116;-4.0
MAR;20160117;-5.2
MAR;20160118;-6.3
MAR;20160119;-2.8
MAR;20160120;-0.2
MAR;20160121;-1.2
MAR;20160122;-0.5
MAR;20160123;2.4
MAR;20160124;2.9
MAR;20160125;5.5
MAR;20160126;6.0
MAR;20160127;6.6
MAR;20160128;5.8
MAR;20160129;4.9
MAR;20160130;5.8
MAR;20160131;5.5
MAR;20160201;7.4
MAR;20160202;6.0
MAR;20160203;1.3
MAR;20160204;-0.4
MAR;20160205;2.4
MAR;20160206;6.1
MAR;20160207;4.1
MAR;20160208;4.1
MAR;20160209;3.9
MAR;20160210;-1.5
MAR;20160211;-1.8
MAR;20160212;-1.9
MAR;20160213;0.6
MAR;20160214;1.7
MAR;20160215;-0.5
MAR;20160216;-0.5
MAR;20160217;-0.8
MAR;20160218;0.9
MAR;20160219;-1.5
MAR;20160220;-0.8
MAR;20160221;6.1
MAR;20160222;6.8
MAR;20160223;3.7
MAR;20160224;0.1
MAR;20160225;1.3
MAR;20160226;0.8
MAR;20160227;5.0
MAR;20160228;4.3
MAR;20160229;0.0
MAR;20160301;1.3
MAR;20160302;1.8
MAR;20160303;-2.0
MAR;20160304;-0.6
MAR;20160305;0.3
MAR;20160306;-1.3
MAR;20160307;-1.9
MAR;20160308;-3.0
MAR;20160309;-1.0
MAR;20160310;0.7
MAR;20160311;1.5
MAR;20160312;2.0
MAR;20160313;2.9
MAR;20160314;2.4
MAR;20160315;2.8
MAR;20160316;2.8
MAR;20160317;5.3
MAR;20160318;5.0
MAR;20160319;5.9
MAR;20160320;6.5
MAR;20160321;5.5
MAR;20160322;4.3
MAR;20160323;3.2
MAR;20160324;4.1
MAR;20160325;3.4
MAR;20160326;7.5
MAR;20160327;4.9
MAR;20160328;6.5
MAR;20160329;7.2
MAR;20160330;9.9
MAR;20160331;12.6
MAR;20160401;8.9
MAR;20160402;14.1
MAR;20160403;14.1
MAR;20160404;12.4
MAR;20160405;11.0
MAR;20160406;7.4
MAR;20160407;6.4
MAR;20160408;2.4
MAR;20160409;2.9
MAR;20160410;7.4
MAR;20160411;10.2
MAR;20160412;11.1
MAR;20160413;7.0
MAR;20160414;7.6
MAR;20160415;10.1
MAR;20160416;11.5
MAR;20160417;7.7
MAR;20160418;2.6
MAR;20160419;6.3
MAR;20160420;10.6
MAR;20160421;13.6
MAR;20160422;10.9
MAR;20160423;6.9
MAR;20160424;1.1
MAR;20160425;1.4
MAR;20160426;4.3
MAR;20160427;1.4
MAR;20160428;3.9
MAR;20160429;6.6
MAR;20160430;6.6
MAR;20160501;1.9
MAR;20160502;6.4
MAR;20160503;6.6
MAR;20160504;7.2
MAR;20160505;10.9
MAR;20160506;13.5
MAR;20160507;13.9
MAR;20160508;14.5
MAR;20160509;14.3
MAR;20160510;15.6
MAR;20160511;13.4
MAR;20160512;8.3
MAR;20160513;8.5
MAR;20160514;8.6
MAR;20160515;6.8
MAR;20160516;7.0
MAR;20160517;9.4
MAR;20160518;11.5
MAR;20160519;6.2
MAR;20160520;9.5
MAR;20160521;14.7
MAR;20160522;15.9
MAR;20160523;5.0
MAR;20160524;7.9
MAR;20160525;11.0
MAR;20160526;14.6
MAR;20160527;17.6
MAR;20160528;16.6
MAR;20160529;11.6
MAR;20160530;12.3
MAR;20160531;11.4
MAR;20160601;11.7
MAR;20160602;10.7
MAR;20160603;11.3
MAR;20160604;12.1
MAR;20160605;13.6
MAR;20160606;15.6
MAR;20160607;16.2
MAR;20160608;13.9
MAR;20160609;12.6
MAR;20160610;15.2
MAR;20160611;12.2
MAR;20160612;11.9
MAR;20160613;11.9
MAR;20160614;11.3
MAR;20160615;12.8
MAR;20160616;10.1
MAR;20160617;10.7
MAR;20160618;11.2
MAR;20160619;10.2
MAR;20160620;13.0
MAR;20160621;14.5
MAR;20160622;19.3
MAR;20160623;22.0
MAR;20160624;21.9
MAR;20160625;15.9
MAR;20160626;14.2
MAR;20160627;14.6
MAR;20160628;16.4
MAR;20160629;18.4
MAR;20160630;15.9
MAR;20160701;18.3
MAR;20160702;14.7
MAR;20160703;14.1
MAR;20160704;16.7
MAR;20160705;17.5
MAR;20160706;17.8
MAR;20160707;18.4
MAR;20160708;19.6
MAR;20160709;20.6
MAR;20160710;22.2
MAR;20160711;21.4
MAR;20160712;14.7
MAR;20160713;11.1
MAR;20160714;8.4
MAR;20160715;11.0
MAR;20160716;13.2
MAR;20160717;16.9
MAR;20160718;20.1
MAR;20160719;21.3
MAR;20160720;22.7
MAR;20160721;20.8
MAR;20160722;17.5
MAR;20160723;16.0
MAR;20160724;17.4
MAR;20160725;18.6
MAR;20160726;19.1
MAR;20160727;18.4
MAR;20160728;17.4
MAR;20160729;18.8
MAR;20160730;19.5
MAR;20160731;15.8
MAR;20160801;15.7
MAR;20160802;16.3
MAR;20160803;18.9
MAR;20160804;18.7
MAR;20160805;11.8
MAR;20160806;13.5
MAR;20160807;16.1
MAR;20160808;18.4
MAR;20160809;14.8
MAR;20160810;11.5
MAR;20160811;11.9
MAR;20160812;14.8
MAR;20160813;17.9
MAR;20160814;20.0
MAR;20160815;20.3
MAR;20160816;19.2
MAR;20160817;17.6
MAR;20160818;15.8
MAR;20160819;17.6
MAR;20160820;15.6
MAR;20160821;13.5
MAR;20160822;14.5
MAR;20160823;18.5
MAR;20160824;21.0
MAR;20160825;22.3
MAR;20160826;22.7
MAR;20160827;21.9
MAR;20160828;20.7
MAR;20160829;18.3
MAR;20160830;17.8
MAR;20160831;19.0
MAR;20160901;19.1
MAR;20160902;19.1
MAR;20160903;19.3
MAR;20160904;16.9
MAR;20160905;13.7
MAR;20160906;14.6
MAR;20160907;16.9
MAR;20160908;18.4
MAR;20160909;18.5
MAR;20160910;18.9
MAR;20160911;19.0
MAR;20160912;19.5
MAR;20160913;19.9
MAR;20160914;20.9
MAR;20160915;15.8
MAR;20160916;11.3
MAR;20160917;9.4
MAR;20160918;9.9
MAR;20160919;12.0
MAR;20160920;11.7
MAR;20160921;11.1
MAR;20160922;12.7
MAR;20160923;13.5
MAR;20160924;14.1
MAR;20160925;14.3
MAR;20160926;14.1
MAR;20160927;12.7
MAR;20160928;13.7
MAR;20160929;14.9
MAR;20160930;14.6
MAR;20161001;13.2
MAR;20161002;10.1
MAR;20161003;8.6
MAR;20161004;9.0
MAR;20161005;7.9
MAR;20161006;6.3
MAR;20161007;6.4
MAR;20161008;7.5
MAR;20161009;5.3
MAR;20161010;4.6
MAR;20161011;4.2
MAR;20161012;4.3
MAR;20161013;8.4
MAR;20161014;9.5
MAR;20161015;9.9
MAR;20161016;10.7
MAR;20161017;9.6
MAR;20161018;8.5
MAR;20161019;7.0
MAR;20161020;5.2
MAR;20161021;4.8
MAR;20161022;5.5
MAR;20161023;9.7
MAR;20161024;14.1
MAR;20161025;11.0
MAR;20161026;9.3
MAR;20161027;8.6
MAR;20161028;9.1
MAR;20161029;9.2
MAR;20161030;8.0
MAR;20161031;8.3
MAR;20161101;9.5
MAR;20161102;8.0
MAR;20161103;5.7
MAR;20161104;8.1
