 

stn;time;tre200d0
TGALL;20160204;-1.2
TGALL;20160205;3.2
TGALL;20160206;8.0
TGALL;20160207;5.8
TGALL;20160208;5.1
TGALL;20160209;5.3
TGALL;20160210;-1.7
TGALL;20160211;-0.7
TGALL;20160212;-0.2
TGALL;20160213;2.2
TGALL;20160214;2.3
TGALL;20160215;0.0
TGALL;20160216;-1.7
TGALL;20160217;-
TGALL;20160218;-
TGALL;20160219;-1.2
TGALL;20160220;0.2
TGALL;20160221;8.5
TGALL;20160222;9.8
TGALL;20160223;2.7
TGALL;20160224;-1.3
TGALL;20160225;-0.7
TGALL;20160226;-2.4
TGALL;20160227;-1.7
TGALL;20160228;-0.7
TGALL;20160229;-1.0
TGALL;20160301;-1.5
TGALL;20160302;1.4
TGALL;20160303;-1.9
TGALL;20160304;0.5
TGALL;20160305;0.3
TGALL;20160306;-1.6
TGALL;20160307;-1.3
TGALL;20160308;-2.5
TGALL;20160309;-1.1
TGALL;20160310;1.6
TGALL;20160311;0.4
TGALL;20160312;0.4
TGALL;20160313;0.7
TGALL;20160314;0.1
TGALL;20160315;-0.3
TGALL;20160316;-1.2
TGALL;20160317;3.0
TGALL;20160318;6.6
TGALL;20160319;7.1
TGALL;20160320;3.2
TGALL;20160321;1.1
TGALL;20160322;2.4
TGALL;20160323;1.3
TGALL;20160324;3.0
TGALL;20160325;2.5
TGALL;20160326;6.6
TGALL;20160327;6.7
TGALL;20160328;7.2
TGALL;20160329;6.9
TGALL;20160330;10.7
TGALL;20160331;15.0
TGALL;20160401;7.9
TGALL;20160402;9.2
TGALL;20160403;16.0
TGALL;20160404;13.2
TGALL;20160405;10.9
TGALL;20160406;7.4
TGALL;20160407;4.4
TGALL;20160408;1.8
TGALL;20160409;2.8
TGALL;20160410;7.5
TGALL;20160411;10.9
TGALL;20160412;10.1
TGALL;20160413;6.8
TGALL;20160414;6.9
TGALL;20160415;8.8
TGALL;20160416;9.4
TGALL;20160417;6.0
TGALL;20160418;1.8
TGALL;20160419;5.5
TGALL;20160420;7.7
TGALL;20160421;12.0
TGALL;20160422;12.2
TGALL;20160423;5.8
TGALL;20160424;-0.4
TGALL;20160425;-0.5
TGALL;20160426;1.9
TGALL;20160427;-0.9
TGALL;20160428;3.3
TGALL;20160429;8.0
TGALL;20160430;8.5
TGALL;20160501;2.3
TGALL;20160502;6.6
TGALL;20160503;7.1
TGALL;20160504;6.6
TGALL;20160505;9.1
TGALL;20160506;14.9
TGALL;20160507;15.2
TGALL;20160508;16.0
TGALL;20160509;16.1
TGALL;20160510;15.3
TGALL;20160511;14.3
TGALL;20160512;7.7
TGALL;20160513;7.8
TGALL;20160514;7.6
TGALL;20160515;4.7
TGALL;20160516;4.4
TGALL;20160517;7.9
TGALL;20160518;11.7
TGALL;20160519;6.1
TGALL;20160520;10.2
TGALL;20160521;16.3
TGALL;20160522;17.8
TGALL;20160523;4.4
TGALL;20160524;7.2
TGALL;20160525;12.2
TGALL;20160526;17.2
TGALL;20160527;18.9
TGALL;20160528;15.5
TGALL;20160529;12.6
TGALL;20160530;11.8
TGALL;20160531;11.6
TGALL;20160601;12.5
TGALL;20160602;11.7
TGALL;20160603;12.1
TGALL;20160604;12.5
TGALL;20160605;13.2
TGALL;20160606;16.0
TGALL;20160607;16.9
TGALL;20160608;13.0
TGALL;20160609;12.7
TGALL;20160610;16.7
TGALL;20160611;12.8
TGALL;20160612;11.9
TGALL;20160613;11.0
TGALL;20160614;10.9
TGALL;20160615;11.4
TGALL;20160616;10.3
TGALL;20160617;10.6
TGALL;20160618;12.3
TGALL;20160619;10.5
TGALL;20160620;13.5
TGALL;20160621;13.8
TGALL;20160622;21.1
TGALL;20160623;24.2
TGALL;20160624;23.3
TGALL;20160625;16.0
TGALL;20160626;12.9
TGALL;20160627;14.6
TGALL;20160628;17.7
TGALL;20160629;18.4
TGALL;20160630;16.1
TGALL;20160701;19.3
TGALL;20160702;13.5
TGALL;20160703;13.8
TGALL;20160704;17.9
TGALL;20160705;17.8
TGALL;20160706;16.9
TGALL;20160707;18.0
