 

stn;time;tre200d0
IYRIT;20140728;8.2
IYRIT;20140729;8.2
IYRIT;20140730;9.3
IYRIT;20140731;11.4
IYRIT;20140801;11.7
IYRIT;20140802;10.2
IYRIT;20140803;9.5
IYRIT;20140804;10.9
IYRIT;20140805;8.0
IYRIT;20140806;9.9
IYRIT;20140807;10.2
IYRIT;20140808;10.7
IYRIT;20140809;10.3
IYRIT;20140810;11.4
IYRIT;20140811;11.6
IYRIT;20140812;10.9
IYRIT;20140813;9.2
IYRIT;20140814;5.9
IYRIT;20140815;4.7
IYRIT;20140816;4.9
IYRIT;20140817;5.6
IYRIT;20140818;6.2
IYRIT;20140819;6.4
IYRIT;20140820;6.3
IYRIT;20140821;6.0
IYRIT;20140822;6.5
IYRIT;20140823;5.5
IYRIT;20140824;5.9
IYRIT;20140825;5.0
IYRIT;20140826;7.4
IYRIT;20140827;8.9
IYRIT;20140828;9.5
IYRIT;20140829;10.5
IYRIT;20140830;9.3
IYRIT;20140831;7.4
IYRIT;20140901;3.1
IYRIT;20140902;3.8
IYRIT;20140903;7.3
IYRIT;20140904;9.4
IYRIT;20140905;9.0
IYRIT;20140906;9.4
IYRIT;20140907;9.9
IYRIT;20140908;11.2
IYRIT;20140909;10.6
IYRIT;20140910;8.4
IYRIT;20140911;5.7
IYRIT;20140912;3.8
IYRIT;20140913;5.5
IYRIT;20140914;7.3
IYRIT;20140915;8.0
IYRIT;20140916;7.5
IYRIT;20140917;6.8
IYRIT;20140918;6.5
IYRIT;20140919;7.2
IYRIT;20140920;8.6
IYRIT;20140921;9.0
IYRIT;20140922;4.1
IYRIT;20140923;3.2
IYRIT;20140924;2.1
IYRIT;20140925;3.5
IYRIT;20140926;6.8
IYRIT;20140927;10.1
IYRIT;20140928;10.6
IYRIT;20140929;8.8
IYRIT;20140930;8.9
IYRIT;20141001;7.0
IYRIT;20141002;6.9
IYRIT;20141003;6.1
IYRIT;20141004;4.7
IYRIT;20141005;4.4
IYRIT;20141006;3.6
IYRIT;20141007;3.1
IYRIT;20141008;6.5
IYRIT;20141009;6.9
IYRIT;20141010;7.6
IYRIT;20141011;7.2
IYRIT;20141012;6.6
IYRIT;20141013;6.5
IYRIT;20141014;4.6
IYRIT;20141015;5.3
IYRIT;20141016;5.8
IYRIT;20141017;7.5
IYRIT;20141018;9.5
IYRIT;20141019;11.9
IYRIT;20141020;11.3
IYRIT;20141021;6.5
IYRIT;20141022;-4.5
IYRIT;20141023;-3.2
IYRIT;20141024;3.3
IYRIT;20141025;4.5
IYRIT;20141026;3.2
IYRIT;20141027;4.4
IYRIT;20141028;3.1
IYRIT;20141029;3.5
IYRIT;20141030;3.8
IYRIT;20141031;5.5
IYRIT;20141101;6.4
IYRIT;20141102;4.3
IYRIT;20141103;1.2
IYRIT;20141104;1.2
IYRIT;20141105;2.3
IYRIT;20141106;1.4
IYRIT;20141107;3.6
IYRIT;20141108;3.6
IYRIT;20141109;2.3
IYRIT;20141110;2.2
IYRIT;20141111;2.2
IYRIT;20141112;2.3
IYRIT;20141113;2.8
IYRIT;20141114;1.8
IYRIT;20141115;1.1
IYRIT;20141116;-0.9
IYRIT;20141117;-2.0
IYRIT;20141118;-2.7
IYRIT;20141119;-3.9
IYRIT;20141120;-0.3
IYRIT;20141121;4.8
IYRIT;20141122;5.4
IYRIT;20141123;5.3
IYRIT;20141124;8.5
IYRIT;20141125;5.2
IYRIT;20141126;1.7
IYRIT;20141127;0.7
IYRIT;20141128;0.9
IYRIT;20141129;2.0
IYRIT;20141130;2.1
IYRIT;20141201;1.1
IYRIT;20141202;0.1
IYRIT;20141203;-0.3
IYRIT;20141204;-0.3
IYRIT;20141205;-0.9
IYRIT;20141206;-1.3
IYRIT;20141207;-2.2
IYRIT;20141208;-3.7
IYRIT;20141209;-7.0
IYRIT;20141210;-2.6
IYRIT;20141211;-2.7
IYRIT;20141212;-4.3
IYRIT;20141213;-3.0
IYRIT;20141214;-1.5
IYRIT;20141215;-0.7
IYRIT;20141216;-1.2
IYRIT;20141217;-3.9
IYRIT;20141218;0.5
IYRIT;20141219;4.1
IYRIT;20141220;-0.2
IYRIT;20141221;-3.9
IYRIT;20141222;2.8
IYRIT;20141223;5.7
IYRIT;20141224;4.0
IYRIT;20141225;-0.7
IYRIT;20141226;-9.7
IYRIT;20141227;-11.0
IYRIT;20141228;-10.6
IYRIT;20141229;-13.1
IYRIT;20141230;-12.4
IYRIT;20141231;-7.4
IYRIT;20150101;1.1
IYRIT;20150102;4.3
IYRIT;20150103;1.0
IYRIT;20150104;-6.2
IYRIT;20150105;-6.0
IYRIT;20150106;-0.6
IYRIT;20150107;-0.6
IYRIT;20150108;0.4
IYRIT;20150109;-0.3
IYRIT;20150110;5.6
IYRIT;20150111;-2.3
IYRIT;20150112;-3.4
IYRIT;20150113;-2.0
IYRIT;20150114;-4.7
IYRIT;20150115;-4.3
IYRIT;20150116;-2.1
IYRIT;20150117;-2.9
IYRIT;20150118;-6.4
IYRIT;20150119;-8.3
IYRIT;20150120;-7.4
IYRIT;20150121;-5.4
IYRIT;20150122;-3.7
IYRIT;20150123;-5.0
IYRIT;20150124;-7.5
IYRIT;20150125;-10.9
IYRIT;20150126;-10.2
IYRIT;20150127;-9.1
IYRIT;20150128;-9.8
IYRIT;20150129;-9.7
IYRIT;20150130;-10.0
IYRIT;20150131;-10.1
IYRIT;20150201;-9.8
IYRIT;20150202;-10.5
IYRIT;20150203;-10.7
IYRIT;20150204;-8.0
IYRIT;20150205;-7.9
IYRIT;20150206;-5.5
IYRIT;20150207;-3.8
IYRIT;20150208;-9.7
IYRIT;20150209;-7.4
IYRIT;20150210;0.3
IYRIT;20150211;2.3
IYRIT;20150212;0.3
IYRIT;20150213;-2.0
IYRIT;20150214;-5.4
IYRIT;20150215;-4.5
IYRIT;20150216;-5.2
IYRIT;20150217;-3.1
IYRIT;20150218;-2.0
IYRIT;20150219;1.0
IYRIT;20150220;-2.5
IYRIT;20150221;-6.7
