 

stn;time;tre200d0
KAROT;20181127;-3.4
KAROT;20181128;-
KAROT;20181129;-
KAROT;20181130;-
KAROT;20181201;-
KAROT;20181202;3.7
KAROT;20181203;3.4
KAROT;20181204;0.4
KAROT;20181205;4.8
KAROT;20181206;-
KAROT;20181207;-
KAROT;20181208;-
KAROT;20181209;-
KAROT;20181210;-3.7
KAROT;20181211;-5.3
KAROT;20181212;-8.0
KAROT;20181213;-6.7
KAROT;20181214;-
KAROT;20181215;-
KAROT;20181216;-
KAROT;20181217;-2.9
KAROT;20181218;1.1
KAROT;20181219;0.4
KAROT;20181220;-1.6
KAROT;20181221;-
KAROT;20181222;-
KAROT;20181223;-
KAROT;20181224;-
KAROT;20181225;-
KAROT;20181226;-
KAROT;20181227;-
KAROT;20181228;-
KAROT;20181229;-
KAROT;20181230;-1.6
KAROT;20181231;-0.6
KAROT;20190101;-1.2
KAROT;20190102;-6.4
KAROT;20190103;-
KAROT;20190104;-
KAROT;20190105;-
KAROT;20190106;-
KAROT;20190107;-4.3
KAROT;20190108;-3.5
KAROT;20190109;-6.9
KAROT;20190110;-7.5
KAROT;20190111;-
KAROT;20190112;-
KAROT;20190113;-
KAROT;20190114;-
KAROT;20190115;-3.9
KAROT;20190116;2.4
KAROT;20190117;-3.1
KAROT;20190118;-8.7
KAROT;20190119;-5.6
KAROT;20190120;-3.5
KAROT;20190121;-5.5
KAROT;20190122;-
KAROT;20190123;-
KAROT;20190124;-
KAROT;20190125;-
KAROT;20190126;-3.0
KAROT;20190127;-3.5
KAROT;20190128;-7.7
KAROT;20190129;-6.9
KAROT;20190130;-
KAROT;20190131;-
KAROT;20190201;-
KAROT;20190202;-
KAROT;20190203;-5.9
KAROT;20190204;-5.5
KAROT;20190205;0.5
KAROT;20190206;2.8
KAROT;20190207;-
KAROT;20190208;-
KAROT;20190209;-
KAROT;20190210;-
KAROT;20190211;-6.0
KAROT;20190212;-5.2
KAROT;20190213;2.1
KAROT;20190214;5.6
KAROT;20190215;-
KAROT;20190216;-
KAROT;20190217;-
KAROT;20190218;5.6
KAROT;20190219;2.3
KAROT;20190220;2.7
KAROT;20190221;3.9
KAROT;20190222;-
KAROT;20190223;-
KAROT;20190224;-
KAROT;20190225;7.6
KAROT;20190226;9.2
KAROT;20190227;9.5
KAROT;20190228;6.0
KAROT;20190301;-
KAROT;20190302;-
KAROT;20190303;-
KAROT;20190304;1.2
KAROT;20190305;-1.0
KAROT;20190306;4.7
KAROT;20190307;0.8
KAROT;20190308;-
KAROT;20190309;-
KAROT;20190310;-
KAROT;20190311;-
KAROT;20190312;-
KAROT;20190313;-3.9
KAROT;20190314;-3.4
KAROT;20190315;0.5
KAROT;20190316;-
KAROT;20190317;-
KAROT;20190318;-
KAROT;20190319;-
KAROT;20190320;-
KAROT;20190321;-
KAROT;20190322;-
KAROT;20190323;-
KAROT;20190324;-
KAROT;20190325;-
KAROT;20190326;-
KAROT;20190327;-2.5
KAROT;20190328;-0.3
KAROT;20190329;5.0
KAROT;20190330;5.5
KAROT;20190331;-
KAROT;20190401;-
KAROT;20190402;-
KAROT;20190403;-
KAROT;20190404;-
KAROT;20190405;-
KAROT;20190406;-
KAROT;20190407;-
KAROT;20190408;-
KAROT;20190409;-
KAROT;20190410;-
KAROT;20190411;-
KAROT;20190412;-
KAROT;20190413;-
KAROT;20190414;-
KAROT;20190415;-
KAROT;20190416;-
KAROT;20190417;-
KAROT;20190418;8.6
KAROT;20190419;8.8
KAROT;20190420;9.9
KAROT;20190421;11.0
KAROT;20190422;-
KAROT;20190423;-
KAROT;20190424;-
KAROT;20190425;8.4
KAROT;20190426;-0.3
KAROT;20190427;-0.1
KAROT;20190428;-3.3
KAROT;20190429;-1.9
KAROT;20190430;0.6
KAROT;20190501;4.9
KAROT;20190502;4.6
KAROT;20190503;-
KAROT;20190504;-
KAROT;20190505;-
KAROT;20190506;-
KAROT;20190507;-
KAROT;20190508;4.3
KAROT;20190509;3.0
KAROT;20190510;4.5
KAROT;20190511;-
KAROT;20190512;-
KAROT;20190513;-
KAROT;20190514;-
KAROT;20190515;-
KAROT;20190516;2.4
KAROT;20190517;7.4
KAROT;20190518;5.4
KAROT;20190519;-
KAROT;20190520;-
KAROT;20190521;-
KAROT;20190522;-
KAROT;20190523;8.3
KAROT;20190524;10.4
KAROT;20190525;7.2
KAROT;20190526;-
KAROT;20190527;-
KAROT;20190528;-
KAROT;20190529;-
KAROT;20190530;5.8
KAROT;20190531;10.1
KAROT;20190601;13.7
KAROT;20190602;-
KAROT;20190603;-
KAROT;20190604;-
KAROT;20190605;-
KAROT;20190606;6.2
KAROT;20190607;11.9
KAROT;20190608;7.9
KAROT;20190609;-
KAROT;20190610;-
KAROT;20190611;-
KAROT;20190612;-
KAROT;20190613;10.3
KAROT;20190614;15.7
KAROT;20190615;10.9
KAROT;20190616;-
KAROT;20190617;-
KAROT;20190618;-
KAROT;20190619;16.1
KAROT;20190620;11.7
KAROT;20190621;11.4
KAROT;20190622;-
KAROT;20190623;-
KAROT;20190624;-
KAROT;20190625;-
KAROT;20190626;-
KAROT;20190627;23.4
KAROT;20190628;19.1
KAROT;20190629;20.8
KAROT;20190630;-
KAROT;20190701;-
KAROT;20190702;-
KAROT;20190703;-
KAROT;20190704;15.0
KAROT;20190705;17.1
KAROT;20190706;16.6
KAROT;20190707;-
KAROT;20190708;-
KAROT;20190709;-
KAROT;20190710;-
KAROT;20190711;-
KAROT;20190712;11.7
KAROT;20190713;9.4
KAROT;20190714;9.1
KAROT;20190715;-
KAROT;20190716;-
KAROT;20190717;-
KAROT;20190718;-
KAROT;20190719;-
KAROT;20190720;-
KAROT;20190721;-
KAROT;20190722;-
KAROT;20190723;-
KAROT;20190724;-
KAROT;20190725;-
KAROT;20190726;-
KAROT;20190727;13.1
KAROT;20190728;9.6
KAROT;20190729;10.1
KAROT;20190730;-
KAROT;20190731;-
KAROT;20190801;-
KAROT;20190802;-
KAROT;20190803;12.4
KAROT;20190804;14.9
KAROT;20190805;17.5
KAROT;20190806;15.0
KAROT;20190807;-
KAROT;20190808;-
KAROT;20190809;-
KAROT;20190810;-
KAROT;20190811;14.8
KAROT;20190812;9.4
KAROT;20190813;7.0
KAROT;20190814;9.3
KAROT;20190815;10.4
KAROT;20190816;10.9
KAROT;20190817;16.1
KAROT;20190818;19.1
KAROT;20190819;11.8
KAROT;20190820;8.2
KAROT;20190821;7.8
KAROT;20190822;13.0
KAROT;20190823;-
KAROT;20190824;-
KAROT;20190825;-
KAROT;20190826;-
KAROT;20190827;-
KAROT;20190828;-
KAROT;20190829;-
KAROT;20190830;-
KAROT;20190831;-
KAROT;20190901;-
KAROT;20190902;-
KAROT;20190903;10.0
KAROT;20190904;13.9
KAROT;20190905;6.3
KAROT;20190906;4.2
KAROT;20190907;-
KAROT;20190908;-
KAROT;20190909;-
KAROT;20190910;-
KAROT;20190911;9.6
KAROT;20190912;12.7
KAROT;20190913;14.4
KAROT;20190914;-
KAROT;20190915;-
KAROT;20190916;-
KAROT;20190917;-
KAROT;20190918;7.1
KAROT;20190919;5.2
KAROT;20190920;10.2
KAROT;20190921;-
KAROT;20190922;-
KAROT;20190923;-
KAROT;20190924;-
KAROT;20190925;-
KAROT;20190926;8.2
KAROT;20190927;10.7
KAROT;20190928;7.1
KAROT;20190929;-
KAROT;20190930;-
KAROT;20191001;-
KAROT;20191002;-
KAROT;20191003;1.5
KAROT;20191004;4.1
KAROT;20191005;4.0
KAROT;20191006;-
KAROT;20191007;-
KAROT;20191008;-
KAROT;20191009;-
KAROT;20191010;-
KAROT;20191011;10.2
KAROT;20191012;13.6
KAROT;20191013;15.9
KAROT;20191014;14.5
KAROT;20191015;8.5
KAROT;20191016;6.2
KAROT;20191017;7.9
KAROT;20191018;8.2
KAROT;20191019;8.7
KAROT;20191020;13.3
KAROT;20191021;-
KAROT;20191022;11.8
KAROT;20191023;15.1
KAROT;20191024;9.2
KAROT;20191025;6.9
KAROT;20191026;12.9
KAROT;20191027;10.4
KAROT;20191028;6.4
KAROT;20191029;5.5
KAROT;20191030;5.2
KAROT;20191031;5.9
KAROT;20191101;5.8
KAROT;20191102;7.3
KAROT;20191103;4.1
KAROT;20191104;3.8
KAROT;20191105;0.8
