 

stn;time;tre200d0
SLFROA;20150916;8.8
SLFROA;20150917;4.2
SLFROA;20150918;1.7
SLFROA;20150919;0.9
SLFROA;20150920;1.1
SLFROA;20150921;6.5
SLFROA;20150922;2.4
SLFROA;20150923;-2.7
SLFROA;20150924;-1.2
SLFROA;20150925;3.9
SLFROA;20150926;5.0
SLFROA;20150927;5.4
SLFROA;20150928;1.2
SLFROA;20150929;1.4
SLFROA;20150930;0.9
SLFROA;20151001;0.1
SLFROA;20151002;4.7
SLFROA;20151003;3.4
SLFROA;20151004;1.6
SLFROA;20151005;6.2
SLFROA;20151006;5.1
SLFROA;20151007;1.3
SLFROA;20151008;0.0
SLFROA;20151009;3.7
SLFROA;20151010;2.7
SLFROA;20151011;4.2
SLFROA;20151012;3.7
SLFROA;20151013;-0.3
SLFROA;20151014;-5.4
SLFROA;20151015;-5.2
SLFROA;20151016;-5.1
SLFROA;20151017;-3.1
SLFROA;20151018;-2.1
SLFROA;20151019;-2.9
SLFROA;20151020;-1.9
SLFROA;20151021;-0.7
SLFROA;20151022;0.3
SLFROA;20151023;7.5
SLFROA;20151024;8.0
SLFROA;20151025;5.2
SLFROA;20151026;5.8
SLFROA;20151027;5.4
SLFROA;20151028;2.9
SLFROA;20151029;-0.3
SLFROA;20151030;5.8
SLFROA;20151031;6.9
SLFROA;20151101;6.5
SLFROA;20151102;5.7
SLFROA;20151103;5.2
SLFROA;20151104;3.5
SLFROA;20151105;3.9
SLFROA;20151106;5.1
SLFROA;20151107;8.5
SLFROA;20151108;10.0
SLFROA;20151109;6.1
SLFROA;20151110;9.5
SLFROA;20151111;6.6
SLFROA;20151112;8.8
SLFROA;20151113;4.8
SLFROA;20151114;0.7
SLFROA;20151115;2.7
SLFROA;20151116;4.2
SLFROA;20151117;4.1
SLFROA;20151118;2.9
SLFROA;20151119;1.7
SLFROA;20151120;0.2
SLFROA;20151121;-9.3
SLFROA;20151122;-11.8
SLFROA;20151123;-12.1
SLFROA;20151124;-10.1
SLFROA;20151125;-7.2
SLFROA;20151126;-10.1
SLFROA;20151127;-6.8
SLFROA;20151128;-7.9
SLFROA;20151129;-6.0
SLFROA;20151130;-3.5
SLFROA;20151201;0.4
SLFROA;20151202;5.3
SLFROA;20151203;6.2
SLFROA;20151204;0.2
SLFROA;20151205;0.4
SLFROA;20151206;0.4
SLFROA;20151207;-0.1
SLFROA;20151208;-1.2
SLFROA;20151209;-4.9
SLFROA;20151210;0.9
SLFROA;20151211;0.9
SLFROA;20151212;2.2
SLFROA;20151213;0.8
SLFROA;20151214;-0.8
SLFROA;20151215;-0.7
SLFROA;20151216;-0.8
SLFROA;20151217;-
SLFROA;20151218;2.1
SLFROA;20151219;3.9
SLFROA;20151220;5.5
SLFROA;20151221;-1.1
SLFROA;20151222;4.5
SLFROA;20151223;0.8
SLFROA;20151224;1.1
SLFROA;20151225;2.0
SLFROA;20151226;4.3
SLFROA;20151227;3.9
SLFROA;20151228;5.7
SLFROA;20151229;0.5
SLFROA;20151230;0.1
SLFROA;20151231;-1.8
SLFROA;20160101;-3.2
SLFROA;20160102;-4.2
SLFROA;20160103;-6.9
SLFROA;20160104;-6.8
SLFROA;20160105;-7.3
SLFROA;20160106;-8.3
SLFROA;20160107;-5.8
SLFROA;20160108;-3.0
SLFROA;20160109;-2.7
SLFROA;20160110;-4.1
SLFROA;20160111;-5.1
SLFROA;20160112;-8.4
SLFROA;20160113;-11.8
SLFROA;20160114;-10.2
SLFROA;20160115;-13.5
SLFROA;20160116;-13.5
SLFROA;20160117;-15.9
SLFROA;20160118;-13.9
SLFROA;20160119;-8.8
SLFROA;20160120;-7.7
SLFROA;20160121;-9.1
SLFROA;20160122;-4.2
SLFROA;20160123;-4.4
