 

stn;time;tre200d0
SLFZNZ;20020918;3.6
SLFZNZ;20020919;1.7
SLFZNZ;20020920;0.7
SLFZNZ;20020921;-0.4
SLFZNZ;20020922;-2.7
SLFZNZ;20020923;-7.0
SLFZNZ;20020924;-6.8
SLFZNZ;20020925;-8.4
SLFZNZ;20020926;-6.9
SLFZNZ;20020927;-5.9
SLFZNZ;20020928;-7.0
SLFZNZ;20020929;-3.4
SLFZNZ;20020930;0.4
SLFZNZ;20021001;2.6
SLFZNZ;20021002;3.3
SLFZNZ;20021003;-0.2
SLFZNZ;20021004;-2.3
SLFZNZ;20021005;-4.4
SLFZNZ;20021006;-5.3
SLFZNZ;20021007;-6.4
SLFZNZ;20021008;-4.2
SLFZNZ;20021009;-3.3
SLFZNZ;20021010;-1.0
SLFZNZ;20021011;-0.7
SLFZNZ;20021012;-4.1
SLFZNZ;20021013;-4.4
SLFZNZ;20021014;-0.2
SLFZNZ;20021015;0.1
SLFZNZ;20021016;-1.3
SLFZNZ;20021017;-3.8
SLFZNZ;20021018;-10.0
SLFZNZ;20021019;-9.9
SLFZNZ;20021020;-1.2
SLFZNZ;20021021;-0.4
SLFZNZ;20021022;-3.0
SLFZNZ;20021023;-5.5
SLFZNZ;20021024;-8.3
SLFZNZ;20021025;-4.3
SLFZNZ;20021026;-3.6
SLFZNZ;20021027;-1.1
SLFZNZ;20021028;-10.0
SLFZNZ;20021029;-1.9
SLFZNZ;20021030;-0.2
SLFZNZ;20021031;-
SLFZNZ;20021101;-1.2
SLFZNZ;20021102;-3.5
SLFZNZ;20021103;-3.1
SLFZNZ;20021104;-
SLFZNZ;20021105;-11.3
SLFZNZ;20021106;-10.5
SLFZNZ;20021107;-12.2
SLFZNZ;20021108;-13.6
SLFZNZ;20021109;-7.8
SLFZNZ;20021110;-8.9
SLFZNZ;20021111;-5.5
SLFZNZ;20021112;-7.8
SLFZNZ;20021113;-7.0
SLFZNZ;20021114;-5.1
SLFZNZ;20021115;-4.1
SLFZNZ;20021116;-3.9
SLFZNZ;20021117;-7.7
SLFZNZ;20021118;-6.8
SLFZNZ;20021119;-6.8
SLFZNZ;20021120;-6.5
SLFZNZ;20021121;-6.6
SLFZNZ;20021122;-9.9
SLFZNZ;20021123;-9.3
SLFZNZ;20021124;-5.1
SLFZNZ;20021125;-4.0
SLFZNZ;20021126;-3.3
SLFZNZ;20021127;-3.7
SLFZNZ;20021128;-5.3
SLFZNZ;20021129;-8.2
SLFZNZ;20021130;-11.5
SLFZNZ;20021201;-11.5
SLFZNZ;20021202;-11.8
SLFZNZ;20021203;-12.3
SLFZNZ;20021204;-9.7
SLFZNZ;20021205;-7.2
SLFZNZ;20021206;-7.3
SLFZNZ;20021207;-9.1
SLFZNZ;20021208;-10.5
SLFZNZ;20021209;-11.2
SLFZNZ;20021210;-12.4
SLFZNZ;20021211;-9.4
SLFZNZ;20021212;-9.9
SLFZNZ;20021213;-9.8
SLFZNZ;20021214;-6.8
SLFZNZ;20021215;-8.3
SLFZNZ;20021216;-10.2
SLFZNZ;20021217;-
SLFZNZ;20021218;-10.4
SLFZNZ;20021219;-3.7
SLFZNZ;20021220;-4.7
SLFZNZ;20021221;-6.8
SLFZNZ;20021222;-5.9
SLFZNZ;20021223;-3.3
SLFZNZ;20021224;-5.2
SLFZNZ;20021225;-6.9
SLFZNZ;20021226;-5.5
SLFZNZ;20021227;-6.0
SLFZNZ;20021228;-7.8
SLFZNZ;20021229;-9.7
SLFZNZ;20021230;-6.2
SLFZNZ;20021231;-9.3
SLFZNZ;20030101;-
SLFZNZ;20030102;-6.0
SLFZNZ;20030103;-10.3
SLFZNZ;20030104;-10.6
SLFZNZ;20030105;-17.3
SLFZNZ;20030106;-13.8
