 

stn;time;tre200dn
DLWIE;19990201;-19.5
DLWIE;19990202;-8.1
DLWIE;19990203;-5.6
DLWIE;19990204;1.7
DLWIE;19990205;-0.3
DLWIE;19990206;-1.3
DLWIE;19990207;-2.2
DLWIE;19990208;-10.5
DLWIE;19990209;-11.0
DLWIE;19990210;-12.0
DLWIE;19990211;-11.4
DLWIE;19990212;-18.3
DLWIE;19990213;-12.2
DLWIE;19990214;-8.7
DLWIE;19990215;-10.9
DLWIE;19990216;-15.3
DLWIE;19990217;-4.4
DLWIE;19990218;-3.1
DLWIE;19990219;-1.2
DLWIE;19990220;3.6
DLWIE;19990221;2.0
DLWIE;19990222;-2.2
DLWIE;19990223;-2.0
DLWIE;19990224;-3.5
DLWIE;19990225;-9.8
DLWIE;19990226;-6.9
DLWIE;19990227;-3.0
DLWIE;19990228;-0.8
DLWIE;19990301;-2.0
DLWIE;19990302;6.3
DLWIE;19990303;4.5
DLWIE;19990304;-0.2
DLWIE;19990305;1.0
DLWIE;19990306;-2.6
DLWIE;19990307;-2.6
DLWIE;19990308;-4.3
DLWIE;19990309;1.6
DLWIE;19990310;-0.7
DLWIE;19990311;2.3
DLWIE;19990312;2.2
DLWIE;19990313;-0.7
DLWIE;19990314;-0.4
DLWIE;19990315;1.8
DLWIE;19990316;0.6
DLWIE;19990317;-2.0
DLWIE;19990318;-6.0
DLWIE;19990319;-5.6
DLWIE;19990320;0.6
DLWIE;19990321;-0.8
DLWIE;19990322;2.4
DLWIE;19990323;1.5
DLWIE;19990324;4.0
DLWIE;19990325;-2.0
DLWIE;19990326;2.0
DLWIE;19990327;1.7
DLWIE;19990328;3.3
DLWIE;19990329;3.8
DLWIE;19990330;4.4
DLWIE;19990331;-0.3
DLWIE;19990401;-2.5
DLWIE;19990402;-1.7
DLWIE;19990403;0.3
DLWIE;19990404;3.0
DLWIE;19990405;6.0
DLWIE;19990406;2.2
DLWIE;19990407;5.5
DLWIE;19990408;5.0
DLWIE;19990409;3.7
DLWIE;19990410;-0.7
DLWIE;19990411;6.5
DLWIE;19990412;3.0
DLWIE;19990413;2.5
DLWIE;19990414;1.2
DLWIE;19990415;0.5
DLWIE;19990416;0.3
DLWIE;19990417;0.2
DLWIE;19990418;0.2
DLWIE;19990419;-0.3
DLWIE;19990420;-1.8
DLWIE;19990421;6.4
DLWIE;19990422;5.0
DLWIE;19990423;2.7
DLWIE;19990424;3.5
DLWIE;19990425;7.7
DLWIE;19990426;3.8
DLWIE;19990427;2.7
DLWIE;19990428;7.8
DLWIE;19990429;3.6
DLWIE;19990430;9.8
DLWIE;19990501;6.6
DLWIE;19990502;5.8
DLWIE;19990503;5.4
DLWIE;19990504;11.7
DLWIE;19990505;10.2
DLWIE;19990506;9.5
DLWIE;19990507;8.5
DLWIE;19990508;9.6
DLWIE;19990509;10.4
DLWIE;19990510;5.2
DLWIE;19990511;11.7
DLWIE;19990512;11.5
DLWIE;19990513;9.8
DLWIE;19990514;10.1
DLWIE;19990515;9.4
DLWIE;19990516;7.0
DLWIE;19990517;3.0
DLWIE;19990518;8.4
DLWIE;19990519;5.3
DLWIE;19990520;10.4
DLWIE;19990521;10.1
DLWIE;19990522;10.0
DLWIE;19990523;8.5
DLWIE;19990524;10.3
DLWIE;19990525;7.9
DLWIE;19990526;8.8
DLWIE;19990527;9.3
DLWIE;19990528;12.1
DLWIE;19990529;11.6
DLWIE;19990530;11.7
DLWIE;19990531;13.5
DLWIE;19990601;13.8
DLWIE;19990602;15.3
DLWIE;19990603;12.1
DLWIE;19990604;11.7
DLWIE;19990605;7.3
DLWIE;19990606;10.2
DLWIE;19990607;9.0
DLWIE;19990608;9.0
DLWIE;19990609;4.3
DLWIE;19990610;7.9
DLWIE;19990611;11.8
DLWIE;19990612;11.0
DLWIE;19990613;8.2
DLWIE;19990614;10.8
DLWIE;19990615;12.5
DLWIE;19990616;12.2
DLWIE;19990617;13.3
DLWIE;19990618;10.3
DLWIE;19990619;8.5
DLWIE;19990620;4.4
DLWIE;19990621;9.5
DLWIE;19990622;6.0
DLWIE;19990623;2.5
DLWIE;19990624;5.6
DLWIE;19990625;6.1
DLWIE;19990626;7.8
DLWIE;19990627;14.4
DLWIE;19990628;12.9
DLWIE;19990629;7.7
DLWIE;19990630;13.5
DLWIE;19990701;10.7
DLWIE;19990702;11.3
DLWIE;19990703;12.3
DLWIE;19990704;13.8
DLWIE;19990705;16.0
DLWIE;19990706;13.8
DLWIE;19990707;12.3
DLWIE;19990708;13.1
DLWIE;19990709;12.0
DLWIE;19990710;14.0
DLWIE;19990711;14.7
DLWIE;19990712;15.8
DLWIE;19990713;14.8
DLWIE;19990714;14.4
DLWIE;19990715;13.5
DLWIE;19990716;11.4
DLWIE;19990717;10.8
DLWIE;19990718;10.2
DLWIE;19990719;11.7
DLWIE;19990720;13.3
DLWIE;19990721;15.9
DLWIE;19990722;11.0
DLWIE;19990723;10.7
DLWIE;19990724;9.5
DLWIE;19990725;6.7
DLWIE;19990726;10.2
DLWIE;19990727;12.0
DLWIE;19990728;16.2
DLWIE;19990729;12.2
DLWIE;19990730;9.0
DLWIE;19990731;8.0
DLWIE;19990801;8.6
DLWIE;19990802;9.0
DLWIE;19990803;9.5
DLWIE;19990804;9.4
DLWIE;19990805;16.9
DLWIE;19990806;14.9
DLWIE;19990807;16.5
DLWIE;19990808;13.2
DLWIE;19990809;14.5
DLWIE;19990810;15.8
DLWIE;19990811;14.5
DLWIE;19990812;11.6
DLWIE;19990813;10.1
DLWIE;19990814;7.2
DLWIE;19990815;14.4
DLWIE;19990816;13.0
DLWIE;19990817;12.8
DLWIE;19990818;11.3
DLWIE;19990819;13.7
DLWIE;19990820;12.2
DLWIE;19990821;8.6
DLWIE;19990822;8.0
DLWIE;19990823;7.7
DLWIE;19990824;11.2
DLWIE;19990825;10.9
DLWIE;19990826;12.1
DLWIE;19990827;16.2
DLWIE;19990828;12.1
DLWIE;19990829;14.5
DLWIE;19990830;12.1
DLWIE;19990831;8.7
DLWIE;19990901;13.7
DLWIE;19990902;6.9
DLWIE;19990903;9.2
DLWIE;19990904;12.0
DLWIE;19990905;8.6
DLWIE;19990906;9.7
DLWIE;19990907;12.0
DLWIE;19990908;9.9
DLWIE;19990909;8.3
DLWIE;19990910;9.4
DLWIE;19990911;8.4
DLWIE;19990912;9.3
DLWIE;19990913;9.4
DLWIE;19990914;7.8
DLWIE;19990915;9.0
DLWIE;19990916;12.5
DLWIE;19990917;13.2
DLWIE;19990918;12.9
DLWIE;19990919;10.0
DLWIE;19990920;12.5
DLWIE;19990921;10.7
DLWIE;19990922;10.0
DLWIE;19990923;9.3
DLWIE;19990924;12.4
DLWIE;19990925;11.9
DLWIE;19990926;12.4
DLWIE;19990927;6.5
DLWIE;19990928;11.3
DLWIE;19990929;10.8
DLWIE;19990930;11.1
DLWIE;19991001;8.0
DLWIE;19991002;7.9
DLWIE;19991003;7.0
DLWIE;19991004;6.0
DLWIE;19991005;6.4
DLWIE;19991006;5.5
DLWIE;19991007;-0.3
DLWIE;19991008;0.2
DLWIE;19991009;9.3
DLWIE;19991010;7.4
DLWIE;19991011;6.8
DLWIE;19991012;5.5
DLWIE;19991013;5.6
DLWIE;19991014;6.1
DLWIE;19991015;4.9
DLWIE;19991016;0.9
DLWIE;19991017;-2.6
DLWIE;19991018;-1.5
DLWIE;19991019;-2.6
DLWIE;19991020;1.5
DLWIE;19991021;1.8
DLWIE;19991022;4.7
DLWIE;19991023;5.4
DLWIE;19991024;1.4
DLWIE;19991025;4.4
DLWIE;19991026;8.5
DLWIE;19991027;3.3
DLWIE;19991028;0.7
DLWIE;19991029;10.6
DLWIE;19991030;8.2
DLWIE;19991031;3.6
DLWIE;19991101;-0.5
DLWIE;19991102;2.8
DLWIE;19991103;7.8
DLWIE;19991104;7.3
DLWIE;19991105;5.0
DLWIE;19991106;0.5
DLWIE;19991107;1.4
DLWIE;19991108;4.0
DLWIE;19991109;2.5
DLWIE;19991110;0.4
DLWIE;19991111;0.4
DLWIE;19991112;0.8
DLWIE;19991113;1.0
DLWIE;19991114;0.3
DLWIE;19991115;-0.8
DLWIE;19991116;-2.2
DLWIE;19991117;-1.7
DLWIE;19991118;-1.1
DLWIE;19991119;-2.8
DLWIE;19991120;-10.0
DLWIE;19991121;-11.5
DLWIE;19991122;-5.6
DLWIE;19991123;-2.9
DLWIE;19991124;-0.5
DLWIE;19991125;-6.3
DLWIE;19991126;-9.5
DLWIE;19991127;-9.1
DLWIE;19991128;-8.6
DLWIE;19991129;-10.6
DLWIE;19991130;-11.3
DLWIE;19991201;-7.6
DLWIE;19991202;4.6
DLWIE;19991203;1.6
DLWIE;19991204;0.4
DLWIE;19991205;-2.1
DLWIE;19991206;-4.5
DLWIE;19991207;-4.5
DLWIE;19991208;1.0
DLWIE;19991209;-2.0
DLWIE;19991210;-1.2
DLWIE;19991211;-1.7
DLWIE;19991212;5.8
DLWIE;19991213;1.5
DLWIE;19991214;-1.8
DLWIE;19991215;-4.2
DLWIE;19991216;-4.5
DLWIE;19991217;-12.3
DLWIE;19991218;-3.2
DLWIE;19991219;-2.2
DLWIE;19991220;-5.5
DLWIE;19991221;-13.2
DLWIE;19991222;-17.4
DLWIE;19991223;-17.4
DLWIE;19991224;-4.5
DLWIE;19991225;-3.5
DLWIE;19991226;0.0
DLWIE;19991227;0.0
DLWIE;19991228;0.0
DLWIE;19991229;-0.7
DLWIE;19991230;-5.5
DLWIE;19991231;-8.8
DLWIE;20000101;-2.1
DLWIE;20000102;-2.6
DLWIE;20000103;-5.4
DLWIE;20000104;-5.2
DLWIE;20000105;2.9
DLWIE;20000106;-3.2
DLWIE;20000107;-2.5
DLWIE;20000108;-3.5
DLWIE;20000109;-3.0
DLWIE;20000110;-0.7
DLWIE;20000111;-2.2
DLWIE;20000112;-3.8
DLWIE;20000113;-6.0
DLWIE;20000114;-8.8
DLWIE;20000115;-7.6
DLWIE;20000116;-5.7
DLWIE;20000117;-3.7
DLWIE;20000118;0.7
DLWIE;20000119;-3.7
DLWIE;20000120;-5.2
DLWIE;20000121;-0.3
DLWIE;20000122;-0.2
DLWIE;20000123;-3.3
DLWIE;20000124;-16.0
DLWIE;20000125;-18.3
DLWIE;20000126;-22.7
DLWIE;20000127;-18.4
DLWIE;20000128;-13.5
DLWIE;20000129;1.0
DLWIE;20000130;6.7
DLWIE;20000131;2.1
DLWIE;20000201;-2.4
DLWIE;20000202;1.2
DLWIE;20000203;3.0
DLWIE;20000204;-2.4
DLWIE;20000205;-1.0
DLWIE;20000206;-1.0
DLWIE;20000207;1.7
DLWIE;20000208;7.0
DLWIE;20000209;0.9
DLWIE;20000210;-0.7
DLWIE;20000211;-1.0
DLWIE;20000212;0.7
DLWIE;20000213;2.1
DLWIE;20000214;0.7
DLWIE;20000215;1.4
DLWIE;20000216;0.5
DLWIE;20000217;-2.5
DLWIE;20000218;-2.2
DLWIE;20000219;2.0
DLWIE;20000220;-0.2
DLWIE;20000221;-5.0
DLWIE;20000222;-6.8
DLWIE;20000223;-3.1
DLWIE;20000224;0.0
DLWIE;20000225;4.5
DLWIE;20000226;0.8
DLWIE;20000227;-1.8
DLWIE;20000228;-3.5
DLWIE;20000229;2.0
DLWIE;20000301;2.0
DLWIE;20000302;-1.0
DLWIE;20000303;-2.2
DLWIE;20000304;-0.5
DLWIE;20000305;-4.0
DLWIE;20000306;-6.3
DLWIE;20000307;-3.8
DLWIE;20000308;4.7
DLWIE;20000309;8.6
DLWIE;20000310;6.4
DLWIE;20000311;6.4
DLWIE;20000312;1.4
DLWIE;20000313;-3.7
DLWIE;20000314;1.5
DLWIE;20000315;-0.8
DLWIE;20000316;0.1
DLWIE;20000317;1.9
DLWIE;20000318;2.4
DLWIE;20000319;1.5
DLWIE;20000320;-2.3
DLWIE;20000321;-2.1
DLWIE;20000322;-2.8
DLWIE;20000323;-1.5
DLWIE;20000324;3.8
DLWIE;20000325;4.1
DLWIE;20000326;0.5
DLWIE;20000327;0.8
DLWIE;20000328;1.5
DLWIE;20000329;3.5
DLWIE;20000330;2.6
DLWIE;20000331;0.6
DLWIE;20000401;-1.0
DLWIE;20000402;-2.8
DLWIE;20000403;-0.8
DLWIE;20000404;2.8
DLWIE;20000405;4.1
DLWIE;20000406;-0.3
DLWIE;20000407;-4.0
DLWIE;20000408;-3.3
DLWIE;20000409;-1.9
DLWIE;20000410;2.5
DLWIE;20000411;2.2
DLWIE;20000412;1.5
DLWIE;20000413;0.5
DLWIE;20000414;1.5
DLWIE;20000415;1.7
DLWIE;20000416;-0.2
DLWIE;20000417;5.4
DLWIE;20000418;4.5
DLWIE;20000419;5.2
DLWIE;20000420;0.7
DLWIE;20000421;3.7
DLWIE;20000422;4.1
DLWIE;20000423;5.1
DLWIE;20000424;6.9
DLWIE;20000425;4.5
DLWIE;20000426;4.0
DLWIE;20000427;5.8
DLWIE;20000428;5.7
DLWIE;20000429;10.6
DLWIE;20000430;10.9
DLWIE;20000501;8.7
DLWIE;20000502;9.6
DLWIE;20000503;7.5
DLWIE;20000504;10.8
DLWIE;20000505;6.5
DLWIE;20000506;6.8
DLWIE;20000507;5.7
DLWIE;20000508;8.0
DLWIE;20000509;10.5
DLWIE;20000510;8.9
DLWIE;20000511;10.0
DLWIE;20000512;13.5
DLWIE;20000513;11.7
DLWIE;20000514;5.9
DLWIE;20000515;5.4
