 

stn;time;tre200dn
GRE;19920515;8.2
GRE;19920516;9.2
GRE;19920517;11.3
GRE;19920518;9.6
GRE;19920519;9.4
GRE;19920520;5.5
GRE;19920521;3.6
GRE;19920522;9.5
GRE;19920523;6.7
GRE;19920524;8.7
GRE;19920525;9.0
GRE;19920526;8.2
GRE;19920527;9.9
GRE;19920528;12.7
GRE;19920529;12.0
GRE;19920530;11.9
GRE;19920531;14.0
GRE;19920601;14.1
GRE;19920602;13.6
GRE;19920603;11.3
GRE;19920604;8.9
GRE;19920605;10.9
GRE;19920606;6.5
GRE;19920607;5.8
GRE;19920608;10.0
GRE;19920609;9.2
GRE;19920610;7.5
GRE;19920611;10.5
GRE;19920612;11.0
GRE;19920613;10.6
GRE;19920614;9.0
GRE;19920615;9.4
GRE;19920616;10.0
GRE;19920617;15.2
GRE;19920618;13.1
GRE;19920619;9.9
GRE;19920620;9.6
GRE;19920621;8.6
GRE;19920622;7.5
GRE;19920623;10.4
GRE;19920624;10.5
GRE;19920625;13.5
GRE;19920626;10.6
GRE;19920627;9.0
GRE;19920628;7.6
GRE;19920629;7.5
GRE;19920630;11.9
GRE;19920701;13.2
GRE;19920702;11.7
GRE;19920703;10.7
GRE;19920704;12.7
GRE;19920705;11.8
GRE;19920706;12.0
GRE;19920707;13.0
GRE;19920708;12.4
GRE;19920709;10.7
GRE;19920710;12.0
GRE;19920711;13.1
GRE;19920712;11.9
GRE;19920713;12.0
GRE;19920714;10.3
GRE;19920715;11.0
GRE;19920716;12.2
GRE;19920717;11.7
GRE;19920718;15.2
GRE;19920719;12.9
GRE;19920720;14.0
GRE;19920721;16.1
GRE;19920722;12.8
GRE;19920723;10.8
GRE;19920724;12.6
GRE;19920725;15.0
GRE;19920726;13.0
GRE;19920727;12.0
GRE;19920728;14.3
GRE;19920729;12.2
GRE;19920730;13.5
GRE;19920731;15.4
GRE;19920801;15.1
GRE;19920802;14.6
GRE;19920803;15.0
GRE;19920804;14.0
GRE;19920805;11.6
GRE;19920806;16.4
GRE;19920807;15.7
GRE;19920808;16.4
GRE;19920809;17.3
GRE;19920810;12.0
GRE;19920811;10.2
GRE;19920812;11.0
GRE;19920813;12.2
GRE;19920814;13.0
GRE;19920815;10.1
GRE;19920816;7.8
GRE;19920817;9.9
GRE;19920818;11.1
GRE;19920819;13.4
GRE;19920820;16.0
GRE;19920821;15.4
GRE;19920822;12.3
GRE;19920823;15.4
GRE;19920824;14.8
GRE;19920825;11.0
GRE;19920826;12.2
GRE;19920827;16.2
GRE;19920828;14.2
GRE;19920829;14.4
GRE;19920830;14.1
GRE;19920831;10.3
GRE;19920901;7.4
GRE;19920902;6.2
GRE;19920903;13.5
GRE;19920904;6.8
GRE;19920905;5.9
GRE;19920906;2.9
GRE;19920907;2.8
GRE;19920908;13.5
GRE;19920909;12.0
GRE;19920910;10.3
GRE;19920911;10.1
GRE;19920912;13.8
GRE;19920913;11.9
GRE;19920914;12.7
GRE;19920915;10.1
GRE;19920916;8.1
GRE;19920917;8.6
GRE;19920918;9.4
GRE;19920919;11.4
GRE;19920920;10.0
GRE;19920921;9.3
GRE;19920922;10.3
GRE;19920923;10.8
GRE;19920924;8.5
GRE;19920925;7.1
GRE;19920926;7.2
GRE;19920927;7.1
GRE;19920928;12.5
GRE;19920929;8.3
GRE;19920930;8.4
GRE;19921001;9.8
GRE;19921002;11.7
GRE;19921003;11.0
GRE;19921004;11.6
GRE;19921005;8.7
GRE;19921006;10.5
GRE;19921007;9.5
GRE;19921008;5.1
GRE;19921009;5.0
GRE;19921010;8.9
GRE;19921011;9.0
GRE;19921012;8.7
GRE;19921013;6.4
GRE;19921014;4.9
GRE;19921015;6.8
GRE;19921016;4.2
GRE;19921017;3.0
GRE;19921018;-1.3
GRE;19921019;-2.8
GRE;19921020;3.9
GRE;19921021;4.7
GRE;19921022;2.7
GRE;19921023;2.9
GRE;19921024;4.3
GRE;19921025;4.9
GRE;19921026;1.6
GRE;19921027;0.5
GRE;19921028;6.4
GRE;19921029;3.1
GRE;19921030;-0.1
GRE;19921031;4.2
GRE;19921101;5.3
GRE;19921102;5.3
GRE;19921103;6.4
GRE;19921104;6.8
GRE;19921105;3.8
GRE;19921106;5.2
GRE;19921107;5.4
GRE;19921108;3.8
GRE;19921109;1.7
GRE;19921110;3.4
GRE;19921111;7.0
GRE;19921112;3.4
GRE;19921113;0.8
GRE;19921114;-3.7
GRE;19921115;2.4
GRE;19921116;5.0
GRE;19921117;1.4
GRE;19921118;0.8
GRE;19921119;0.0
GRE;19921120;0.0
GRE;19921121;4.1
GRE;19921122;7.1
GRE;19921123;5.6
GRE;19921124;2.9
GRE;19921125;3.2
GRE;19921126;5.8
GRE;19921127;-0.7
GRE;19921128;4.2
GRE;19921129;5.3
GRE;19921130;3.4
GRE;19921201;4.3
GRE;19921202;3.8
GRE;19921203;3.3
GRE;19921204;2.0
GRE;19921205;0.5
GRE;19921206;-1.1
GRE;19921207;0.0
GRE;19921208;2.3
GRE;19921209;1.6
GRE;19921210;1.3
GRE;19921211;0.9
GRE;19921212;1.0
GRE;19921213;-2.8
GRE;19921214;-4.1
GRE;19921215;-4.6
GRE;19921216;-3.2
GRE;19921217;-2.0
GRE;19921218;-2.3
GRE;19921219;-1.8
GRE;19921220;-
GRE;19921221;-
GRE;19921222;0.7
GRE;19921223;0.5
GRE;19921224;0.0
GRE;19921225;-0.4
GRE;19921226;-1.4
GRE;19921227;-3.7
GRE;19921228;-4.0
GRE;19921229;-5.5
GRE;19921230;-4.7
GRE;19921231;-5.2
GRE;19930101;-4.8
GRE;19930102;-8.5
GRE;19930103;-11.9
GRE;19930104;-11.3
GRE;19930105;-12.1
GRE;19930106;-3.6
GRE;19930107;-3.5
GRE;19930108;1.0
GRE;19930109;0.6
GRE;19930110;-1.4
GRE;19930111;3.1
GRE;19930112;2.1
GRE;19930113;0.2
GRE;19930114;-0.6
GRE;19930115;-0.4
GRE;19930116;1.0
GRE;19930117;-1.3
GRE;19930118;-1.8
GRE;19930119;-0.4
GRE;19930120;-1.3
GRE;19930121;-2.6
GRE;19930122;-2.5
GRE;19930123;6.3
GRE;19930124;7.5
GRE;19930125;1.7
GRE;19930126;-2.5
GRE;19930127;0.4
GRE;19930128;3.1
GRE;19930129;2.5
GRE;19930130;-0.2
GRE;19930131;0.3
GRE;19930201;-2.1
GRE;19930202;-2.9
GRE;19930203;-1.9
GRE;19930204;-3.0
GRE;19930205;-3.0
GRE;19930206;-3.4
GRE;19930207;-3.2
GRE;19930208;-2.5
GRE;19930209;1.1
GRE;19930210;0.3
GRE;19930211;-0.8
GRE;19930212;-1.2
GRE;19930213;-1.4
GRE;19930214;-1.9
GRE;19930215;-1.8
GRE;19930216;-2.5
GRE;19930217;-0.8
GRE;19930218;-1.2
GRE;19930219;-1.6
GRE;19930220;1.0
GRE;19930221;0.0
GRE;19930222;-11.5
GRE;19930223;-12.9
GRE;19930224;-10.7
GRE;19930225;-9.5
GRE;19930226;-14.8
GRE;19930227;-6.4
GRE;19930228;-2.3
GRE;19930301;-1.5
GRE;19930302;-3.2
GRE;19930303;-3.3
GRE;19930304;-3.7
GRE;19930305;-6.6
GRE;19930306;-2.7
GRE;19930307;-0.1
GRE;19930308;-1.6
GRE;19930309;-7.1
GRE;19930310;-6.8
GRE;19930311;-6.9
GRE;19930312;-5.4
GRE;19930313;-6.4
GRE;19930314;-5.3
GRE;19930315;-4.0
GRE;19930316;-2.8
GRE;19930317;1.8
GRE;19930318;-1.1
GRE;19930319;3.1
GRE;19930320;-1.3
GRE;19930321;2.5
GRE;19930322;8.9
GRE;19930323;5.8
GRE;19930324;3.2
GRE;19930325;0.9
GRE;19930326;-1.9
GRE;19930327;-5.7
GRE;19930328;-4.5
GRE;19930329;-6.5
GRE;19930330;-6.8
GRE;19930331;-3.0
GRE;19930401;-2.3
GRE;19930402;3.0
GRE;19930403;2.9
GRE;19930404;0.3
GRE;19930405;-2.8
GRE;19930406;5.5
GRE;19930407;6.7
GRE;19930408;2.4
GRE;19930409;0.9
GRE;19930410;6.8
GRE;19930411;4.9
GRE;19930412;4.4
GRE;19930413;3.0
GRE;19930414;2.3
GRE;19930415;0.5
GRE;19930416;2.8
GRE;19930417;2.8
GRE;19930418;6.8
GRE;19930419;3.4
GRE;19930420;2.3
GRE;19930421;4.2
GRE;19930422;7.2
