 

stn;time;tre200dn
MMBDK;20140101;1.1
MMBDK;20140102;1.1
MMBDK;20140103;0.9
MMBDK;20140104;4.2
MMBDK;20140105;-
MMBDK;20140106;0.8
MMBDK;20140107;6.7
MMBDK;20140108;6.9
MMBDK;20140109;4.5
MMBDK;20140110;2.7
MMBDK;20140111;1.2
MMBDK;20140112;3.7
MMBDK;20140113;2.9
MMBDK;20140114;1.8
MMBDK;20140115;-0.5
MMBDK;20140116;2.8
MMBDK;20140117;2.8
MMBDK;20140118;1.3
MMBDK;20140119;0.5
MMBDK;20140120;1.2
MMBDK;20140121;2.8
MMBDK;20140122;0.8
MMBDK;20140123;-0.2
MMBDK;20140124;-1.0
MMBDK;20140125;-2.2
MMBDK;20140126;0.6
MMBDK;20140127;1.0
MMBDK;20140128;-1.0
MMBDK;20140129;-2.9
MMBDK;20140130;-2.0
MMBDK;20140131;-2.5
MMBDK;20140201;-2.2
MMBDK;20140202;1.2
MMBDK;20140203;1.6
MMBDK;20140204;1.6
MMBDK;20140205;0.6
MMBDK;20140206;2.1
MMBDK;20140207;2.3
MMBDK;20140208;0.7
MMBDK;20140209;1.3
MMBDK;20140210;1.3
MMBDK;20140211;1.4
MMBDK;20140212;1.5
MMBDK;20140213;1.6
MMBDK;20140214;1.4
MMBDK;20140215;2.4
MMBDK;20140216;2.4
MMBDK;20140217;2.0
MMBDK;20140218;-0.7
MMBDK;20140219;4.5
MMBDK;20140220;3.1
MMBDK;20140221;2.7
MMBDK;20140222;1.6
MMBDK;20140223;2.9
MMBDK;20140224;-0.5
MMBDK;20140225;1.4
MMBDK;20140226;2.8
MMBDK;20140227;2.1
MMBDK;20140228;2.9
MMBDK;20140301;1.4
MMBDK;20140302;1.9
MMBDK;20140303;0.1
MMBDK;20140304;2.2
MMBDK;20140305;2.4
MMBDK;20140306;1.9
MMBDK;20140307;1.2
MMBDK;20140308;3.2
MMBDK;20140309;3.6
MMBDK;20140310;3.5
MMBDK;20140311;4.1
MMBDK;20140312;3.4
MMBDK;20140313;3.7
MMBDK;20140314;4.7
MMBDK;20140315;6.6
MMBDK;20140316;6.6
MMBDK;20140317;6.9
MMBDK;20140318;5.8
MMBDK;20140319;7.5
MMBDK;20140320;4.7
MMBDK;20140321;9.6
MMBDK;20140322;4.7
MMBDK;20140323;1.3
MMBDK;20140324;1.3
MMBDK;20140325;0.0
MMBDK;20140326;0.4
MMBDK;20140327;0.1
MMBDK;20140328;3.6
MMBDK;20140329;5.0
MMBDK;20140330;5.6
MMBDK;20140331;7.3
MMBDK;20140401;8.4
MMBDK;20140402;8.4
MMBDK;20140403;11.1
MMBDK;20140404;8.9
MMBDK;20140405;9.8
MMBDK;20140406;9.8
MMBDK;20140407;8.5
MMBDK;20140408;8.6
MMBDK;20140409;5.7
MMBDK;20140410;4.7
MMBDK;20140411;7.0
MMBDK;20140412;10.1
MMBDK;20140413;10.3
MMBDK;20140414;7.1
MMBDK;20140415;4.2
MMBDK;20140416;1.8
MMBDK;20140417;2.7
MMBDK;20140418;1.3
MMBDK;20140419;1.5
MMBDK;20140420;4.5
MMBDK;20140421;8.5
MMBDK;20140422;8.4
MMBDK;20140423;9.4
MMBDK;20140424;9.9
MMBDK;20140425;11.1
MMBDK;20140426;9.5
MMBDK;20140427;6.6
MMBDK;20140428;6.2
MMBDK;20140429;6.1
MMBDK;20140430;8.3
MMBDK;20140501;8.7
MMBDK;20140502;8.7
MMBDK;20140503;5.5
MMBDK;20140504;5.1
MMBDK;20140505;4.7
MMBDK;20140506;9.1
MMBDK;20140507;9.3
MMBDK;20140508;9.3
MMBDK;20140509;12.1
MMBDK;20140510;11.3
MMBDK;20140511;5.9
MMBDK;20140512;6.2
MMBDK;20140513;6.4
MMBDK;20140514;5.2
MMBDK;20140515;4.9
MMBDK;20140516;-
MMBDK;20140517;-
MMBDK;20140518;-
MMBDK;20140519;-
MMBDK;20140520;12.0
MMBDK;20140521;13.8
