 

stn;time;tre200dn
ROS;19640801;20.0
ROS;19640802;13.5
ROS;19640803;12.9
ROS;19640804;13.4
ROS;19640805;14.2
ROS;19640806;14.3
ROS;19640807;17.2
ROS;19640808;13.6
ROS;19640809;13.8
ROS;19640810;12.2
ROS;19640811;11.0
ROS;19640812;11.1
ROS;19640813;9.5
ROS;19640814;12.0
ROS;19640815;12.4
ROS;19640816;14.5
ROS;19640817;15.0
ROS;19640818;13.9
ROS;19640819;14.0
ROS;19640820;13.4
ROS;19640821;9.3
ROS;19640822;13.9
ROS;19640823;13.8
ROS;19640824;9.8
ROS;19640825;11.0
ROS;19640826;13.0
ROS;19640827;15.6
ROS;19640828;16.6
ROS;19640829;15.0
ROS;19640830;11.0
ROS;19640831;8.1
ROS;19640901;7.7
ROS;19640902;6.7
ROS;19640903;8.2
ROS;19640904;11.7
ROS;19640905;13.6
ROS;19640906;14.0
ROS;19640907;12.2
ROS;19640908;13.1
ROS;19640909;14.6
ROS;19640910;12.5
ROS;19640911;12.5
ROS;19640912;15.0
ROS;19640913;14.1
ROS;19640914;14.0
ROS;19640915;14.0
ROS;19640916;15.6
ROS;19640917;14.6
ROS;19640918;12.2
ROS;19640919;12.6
ROS;19640920;10.0
ROS;19640921;8.0
ROS;19640922;7.0
ROS;19640923;3.4
ROS;19640924;4.6
ROS;19640925;8.7
ROS;19640926;8.8
ROS;19640927;10.4
ROS;19640928;12.4
ROS;19640929;11.0
ROS;19640930;10.8
ROS;19641001;11.5
ROS;19641002;12.3
ROS;19641003;12.3
ROS;19641004;11.0
ROS;19641005;11.4
ROS;19641006;10.4
ROS;19641007;9.2
ROS;19641008;8.2
ROS;19641009;7.2
ROS;19641010;7.2
ROS;19641011;4.5
ROS;19641012;6.2
ROS;19641013;3.4
ROS;19641014;2.6
ROS;19641015;3.1
ROS;19641016;6.5
ROS;19641017;6.8
ROS;19641018;5.6
ROS;19641019;4.8
ROS;19641020;4.3
ROS;19641021;5.3
ROS;19641022;5.9
ROS;19641023;4.3
ROS;19641024;2.8
ROS;19641025;3.6
ROS;19641026;4.2
ROS;19641027;4.0
ROS;19641028;5.5
ROS;19641029;6.4
ROS;19641030;6.2
ROS;19641031;6.0
ROS;19641101;6.2
ROS;19641102;5.0
ROS;19641103;4.2
ROS;19641104;1.7
ROS;19641105;4.0
ROS;19641106;2.0
ROS;19641107;2.3
ROS;19641108;0.2
ROS;19641109;1.3
ROS;19641110;2.6
ROS;19641111;2.5
ROS;19641112;4.4
ROS;19641113;5.6
ROS;19641114;5.5
ROS;19641115;7.1
ROS;19641116;7.6
ROS;19641117;10.4
ROS;19641118;10.6
ROS;19641119;7.4
ROS;19641120;7.6
ROS;19641121;3.8
ROS;19641122;3.6
ROS;19641123;3.0
ROS;19641124;2.8
ROS;19641125;5.6
ROS;19641126;4.8
