 

stn;time;tre200dn
MMRIC;20121126;4.7
MMRIC;20121127;3.3
MMRIC;20121128;0.3
MMRIC;20121129;-3.1
MMRIC;20121130;-3.3
MMRIC;20121201;-5.0
MMRIC;20121202;-7.3
MMRIC;20121203;-8.1
MMRIC;20121204;-1.0
MMRIC;20121205;-4.7
MMRIC;20121206;-8.9
MMRIC;20121207;-10.1
MMRIC;20121208;-5.8
MMRIC;20121209;-9.9
MMRIC;20121210;-2.3
MMRIC;20121211;-5.9
MMRIC;20121212;-13.0
MMRIC;20121213;-12.9
MMRIC;20121214;-2.9
MMRIC;20121215;0.6
MMRIC;20121216;1.2
MMRIC;20121217;0.4
MMRIC;20121218;-0.2
MMRIC;20121219;-5.3
MMRIC;20121220;-8.3
MMRIC;20121221;0.2
MMRIC;20121222;1.0
MMRIC;20121223;3.2
MMRIC;20121224;2.2
MMRIC;20121225;1.8
MMRIC;20121226;0.2
MMRIC;20121227;-0.3
MMRIC;20121228;1.3
MMRIC;20121229;-0.2
MMRIC;20121230;0.9
MMRIC;20121231;-2.1
MMRIC;20130101;-2.5
MMRIC;20130102;-4.2
MMRIC;20130103;-5.1
MMRIC;20130104;1.5
MMRIC;20130105;2.2
MMRIC;20130106;1.7
MMRIC;20130107;-1.3
MMRIC;20130108;-1.7
MMRIC;20130109;-2.6
MMRIC;20130110;-0.7
MMRIC;20130111;-1.7
MMRIC;20130112;-4.8
MMRIC;20130113;-4.2
MMRIC;20130114;-3.3
MMRIC;20130115;-8.7
MMRIC;20130116;-7.3
MMRIC;20130117;-7.3
MMRIC;20130118;-13.4
MMRIC;20130119;-10.3
MMRIC;20130120;-4.8
MMRIC;20130121;-2.8
MMRIC;20130122;-5.4
MMRIC;20130123;-8.2
MMRIC;20130124;-8.4
MMRIC;20130125;-9.0
MMRIC;20130126;-12.1
MMRIC;20130127;-8.3
MMRIC;20130128;-3.1
MMRIC;20130129;-1.8
MMRIC;20130130;2.1
MMRIC;20130131;0.7
