 

stn;time;tre200dn
LYN;19310101;-3.0
LYN;19310102;-1.0
LYN;19310103;2.5
LYN;19310104;-5.0
LYN;19310105;-6.5
LYN;19310106;-8.5
LYN;19310107;-10.0
LYN;19310108;-11.5
LYN;19310109;-13.5
LYN;19310110;-15.0
LYN;19310111;-14.0
LYN;19310112;-10.5
LYN;19310113;-7.0
LYN;19310114;-6.0
LYN;19310115;-8.5
LYN;19310116;-8.0
LYN;19310117;-3.5
LYN;19310118;-6.5
LYN;19310119;-5.0
LYN;19310120;0.0
LYN;19310121;-3.0
LYN;19310122;-2.0
LYN;19310123;-2.5
LYN;19310124;-2.0
LYN;19310125;-3.0
LYN;19310126;-6.0
LYN;19310127;-7.5
LYN;19310128;-6.2
LYN;19310129;-4.5
LYN;19310130;-5.0
LYN;19310131;-7.5
LYN;19310201;-9.5
LYN;19310202;-4.5
LYN;19310203;-6.0
LYN;19310204;-6.5
LYN;19310205;-9.0
LYN;19310206;-14.0
LYN;19310207;-13.0
LYN;19310208;-13.5
LYN;19310209;-11.5
LYN;19310210;-3.0
LYN;19310211;-5.0
LYN;19310212;-4.5
LYN;19310213;-7.0
LYN;19310214;-8.5
LYN;19310215;-10.5
LYN;19310216;-10.5
LYN;19310217;-7.0
LYN;19310218;-9.0
LYN;19310219;-7.0
LYN;19310220;-6.0
LYN;19310221;-7.5
LYN;19310222;-6.0
LYN;19310223;-9.0
LYN;19310224;-11.0
LYN;19310225;-10.0
LYN;19310226;-2.5
LYN;19310227;1.0
LYN;19310228;0.0
LYN;19310301;-9.0
LYN;19310302;-9.5
LYN;19310303;-9.0
LYN;19310304;1.0
LYN;19310305;1.0
LYN;19310306;0.0
LYN;19310307;1.0
LYN;19310308;-1.0
LYN;19310309;-5.0
LYN;19310310;-9.5
LYN;19310311;-13.5
LYN;19310312;-11.5
LYN;19310313;-5.0
LYN;19310314;-4.0
LYN;19310315;-2.5
LYN;19310316;1.0
LYN;19310317;-1.0
LYN;19310318;0.0
LYN;19310319;0.0
LYN;19310320;2.0
LYN;19310321;3.5
LYN;19310322;0.5
LYN;19310323;0.5
LYN;19310324;1.0
LYN;19310325;1.0
LYN;19310326;-0.5
LYN;19310327;-1.0
LYN;19310328;0.0
LYN;19310329;-1.0
LYN;19310330;-3.0
LYN;19310331;-3.0
LYN;19310401;-6.0
LYN;19310402;0.0
LYN;19310403;1.0
LYN;19310404;0.5
LYN;19310405;0.0
LYN;19310406;0.0
LYN;19310407;2.0
LYN;19310408;2.5
LYN;19310409;2.5
LYN;19310410;6.0
LYN;19310411;3.5
LYN;19310412;4.0
LYN;19310413;4.0
LYN;19310414;1.0
LYN;19310415;-1.0
LYN;19310416;-1.0
LYN;19310417;-3.5
LYN;19310418;-3.5
LYN;19310419;-4.0
LYN;19310420;-5.0
LYN;19310421;-2.5
LYN;19310422;-2.0
LYN;19310423;-2.0
LYN;19310424;1.0
LYN;19310425;3.0
LYN;19310426;1.5
LYN;19310427;0.0
LYN;19310428;-1.0
LYN;19310429;0.5
LYN;19310430;-0.5
LYN;19310501;1.0
LYN;19310502;6.0
LYN;19310503;6.0
LYN;19310504;2.5
LYN;19310505;0.0
LYN;19310506;2.5
LYN;19310507;3.5
LYN;19310508;2.0
LYN;19310509;3.0
LYN;19310510;2.0
LYN;19310511;4.5
LYN;19310512;6.5
LYN;19310513;7.5
LYN;19310514;9.0
LYN;19310515;11.5
LYN;19310516;9.5
LYN;19310517;5.0
LYN;19310518;4.0
LYN;19310519;5.0
LYN;19310520;5.0
LYN;19310521;4.0
LYN;19310522;7.0
LYN;19310523;9.5
LYN;19310524;13.0
LYN;19310525;12.5
LYN;19310526;14.5
LYN;19310527;16.0
LYN;19310528;14.0
LYN;19310529;14.0
LYN;19310530;9.0
LYN;19310531;3.5
LYN;19310601;3.5
LYN;19310602;3.5
LYN;19310603;4.0
LYN;19310604;9.0
LYN;19310605;11.0
LYN;19310606;8.5
LYN;19310607;10.8
LYN;19310608;2.5
LYN;19310609;8.5
LYN;19310610;12.5
LYN;19310611;15.0
LYN;19310612;10.0
LYN;19310613;16.0
LYN;19310614;17.0
LYN;19310615;10.0
LYN;19310616;9.5
LYN;19310617;13.0
LYN;19310618;4.0
LYN;19310619;5.0
LYN;19310620;9.5
LYN;19310621;8.0
LYN;19310622;9.0
LYN;19310623;12.0
LYN;19310624;8.0
LYN;19310625;8.5
LYN;19310626;7.5
LYN;19310627;8.0
LYN;19310628;10.0
LYN;19310629;9.0
LYN;19310630;12.0
LYN;19310701;10.0
LYN;19310702;11.0
LYN;19310703;13.0
LYN;19310704;11.5
LYN;19310705;9.5
LYN;19310706;11.0
LYN;19310707;5.0
LYN;19310708;4.5
LYN;19310709;5.0
LYN;19310710;9.5
LYN;19310711;12.5
LYN;19310712;14.0
LYN;19310713;11.0
LYN;19310714;9.0
LYN;19310715;6.0
LYN;19310716;6.0
LYN;19310717;7.0
LYN;19310718;9.0
LYN;19310719;11.0
LYN;19310720;4.5
LYN;19310721;4.0
LYN;19310722;3.5
LYN;19310723;9.5
LYN;19310724;11.0
LYN;19310725;12.0
LYN;19310726;9.0
LYN;19310727;13.0
LYN;19310728;8.0
LYN;19310729;5.5
LYN;19310730;8.5
LYN;19310731;11.5
LYN;19310801;14.0
LYN;19310802;8.5
LYN;19310803;9.0
LYN;19310804;11.5
LYN;19310805;14.5
LYN;19310806;12.0
LYN;19310807;11.5
LYN;19310808;9.5
LYN;19310809;6.0
LYN;19310810;3.5
LYN;19310811;5.0
LYN;19310812;6.0
LYN;19310813;6.0
LYN;19310814;10.0
LYN;19310815;9.0
LYN;19310816;9.0
LYN;19310817;9.5
LYN;19310818;10.0
LYN;19310819;12.0
LYN;19310820;5.5
LYN;19310821;5.0
LYN;19310822;5.5
LYN;19310823;7.5
LYN;19310824;6.5
LYN;19310825;6.5
LYN;19310826;5.5
LYN;19310827;4.5
LYN;19310828;5.5
LYN;19310829;7.0
LYN;19310830;9.0
LYN;19310831;8.0
LYN;19310901;7.5
LYN;19310902;7.0
LYN;19310903;9.0
LYN;19310904;5.0
LYN;19310905;2.5
LYN;19310906;1.5
LYN;19310907;2.0
LYN;19310908;2.5
LYN;19310909;4.5
LYN;19310910;6.0
LYN;19310911;6.5
LYN;19310912;3.0
LYN;19310913;1.0
LYN;19310914;2.5
LYN;19310915;1.0
LYN;19310916;1.5
LYN;19310917;5.5
LYN;19310918;5.0
LYN;19310919;7.0
LYN;19310920;6.5
LYN;19310921;2.0
LYN;19310922;0.0
LYN;19310923;-1.0
LYN;19310924;-3.0
LYN;19310925;-1.5
LYN;19310926;3.3
LYN;19310927;2.0
LYN;19310928;3.0
LYN;19310929;4.0
LYN;19310930;4.0
LYN;19311001;7.5
LYN;19311002;6.0
LYN;19311003;7.0
LYN;19311004;6.0
LYN;19311005;7.5
LYN;19311006;11.0
LYN;19311007;7.5
LYN;19311008;3.5
LYN;19311009;5.5
LYN;19311010;7.5
LYN;19311011;6.5
