 

stn;time;tre200dn
IYJAU;20040804;10.2
IYJAU;20040805;8.6
IYJAU;20040806;8.6
IYJAU;20040807;8.2
IYJAU;20040808;7.3
IYJAU;20040809;7.1
IYJAU;20040810;9.1
IYJAU;20040811;10.7
IYJAU;20040812;7.5
IYJAU;20040813;5.0
IYJAU;20040814;4.0
IYJAU;20040815;4.5
IYJAU;20040816;7.8
IYJAU;20040817;8.5
IYJAU;20040818;8.4
IYJAU;20040819;9.9
IYJAU;20040820;5.4
IYJAU;20040821;0.3
IYJAU;20040822;1.4
IYJAU;20040823;4.5
IYJAU;20040824;7.4
IYJAU;20040825;6.7
IYJAU;20040826;1.5
IYJAU;20040827;1.9
IYJAU;20040828;5.4
IYJAU;20040829;5.4
IYJAU;20040830;5.5
IYJAU;20040831;3.2
IYJAU;20040901;3.4
IYJAU;20040902;6.4
IYJAU;20040903;8.8
IYJAU;20040904;8.1
IYJAU;20040905;7.3
IYJAU;20040906;7.1
IYJAU;20040907;6.3
IYJAU;20040908;6.4
IYJAU;20040909;6.7
IYJAU;20040910;-
IYJAU;20040911;-
IYJAU;20040912;-
IYJAU;20040913;-
IYJAU;20040914;-
IYJAU;20040915;-
IYJAU;20040916;-
IYJAU;20040917;-
IYJAU;20040918;-
IYJAU;20040919;-
IYJAU;20040920;-
IYJAU;20040921;-
IYJAU;20040922;-
IYJAU;20040923;-
IYJAU;20040924;-
IYJAU;20040925;-
IYJAU;20040926;-
IYJAU;20040927;-
IYJAU;20040928;-
IYJAU;20040929;-
IYJAU;20040930;-
IYJAU;20041001;-
IYJAU;20041002;-
IYJAU;20041003;-
IYJAU;20041004;-
IYJAU;20041005;-
IYJAU;20041006;-
IYJAU;20041007;-
IYJAU;20041008;-
IYJAU;20041009;-
IYJAU;20041010;-
IYJAU;20041011;-
IYJAU;20041012;-
IYJAU;20041013;-
IYJAU;20041014;-
IYJAU;20041015;-
IYJAU;20041016;-
IYJAU;20041017;-
IYJAU;20041018;-
IYJAU;20041019;-1.9
IYJAU;20041020;2.5
IYJAU;20041021;4.9
IYJAU;20041022;4.1
IYJAU;20041023;2.9
IYJAU;20041024;1.9
IYJAU;20041025;2.8
IYJAU;20041026;2.2
IYJAU;20041027;2.5
IYJAU;20041028;0.8
IYJAU;20041029;0.3
IYJAU;20041030;0.9
IYJAU;20041031;-0.7
IYJAU;20041101;4.6
IYJAU;20041102;5.5
IYJAU;20041103;6.3
IYJAU;20041104;6.3
IYJAU;20041105;0.7
IYJAU;20041106;-5.9
IYJAU;20041107;-8.7
IYJAU;20041108;-11.1
IYJAU;20041109;-9.9
IYJAU;20041110;-9.7
IYJAU;20041111;-5.8
IYJAU;20041112;-0.2
IYJAU;20041113;-10.4
IYJAU;20041114;-11.3
IYJAU;20041115;-11.0
IYJAU;20041116;-5.2
IYJAU;20041117;-1.4
IYJAU;20041118;-3.2
IYJAU;20041119;-12.3
IYJAU;20041120;-13.4
IYJAU;20041121;-14.1
IYJAU;20041122;-6.0
IYJAU;20041123;-3.3
IYJAU;20041124;-6.1
IYJAU;20041125;-1.9
IYJAU;20041126;-2.2
IYJAU;20041127;-4.4
IYJAU;20041128;-5.3
IYJAU;20041129;-5.9
IYJAU;20041130;-6.2
IYJAU;20041201;-6.9
IYJAU;20041202;-7.0
IYJAU;20041203;-3.8
IYJAU;20041204;-4.7
IYJAU;20041205;-3.9
IYJAU;20041206;-1.6
IYJAU;20041207;0.4
IYJAU;20041208;0.3
IYJAU;20041209;0.9
IYJAU;20041210;0.9
IYJAU;20041211;0.2
IYJAU;20041212;-0.2
IYJAU;20041213;0.0
IYJAU;20041214;-1.4
IYJAU;20041215;-2.6
IYJAU;20041216;-5.6
IYJAU;20041217;-6.2
IYJAU;20041218;-12.1
IYJAU;20041219;-12.2
IYJAU;20041220;-14.0
IYJAU;20041221;-11.0
IYJAU;20041222;-10.7
IYJAU;20041223;-7.3
IYJAU;20041224;-3.0
IYJAU;20041225;-9.0
IYJAU;20041226;-5.0
IYJAU;20041227;-8.1
IYJAU;20041228;-9.2
IYJAU;20041229;-12.3
IYJAU;20041230;-13.0
IYJAU;20041231;-6.0
IYJAU;20050101;-5.6
IYJAU;20050102;-10.0
IYJAU;20050103;-10.7
IYJAU;20050104;-8.5
IYJAU;20050105;-1.2
IYJAU;20050106;-4.7
IYJAU;20050107;-3.3
IYJAU;20050108;0.8
IYJAU;20050109;-0.7
IYJAU;20050110;-0.2
IYJAU;20050111;-1.2
IYJAU;20050112;-2.1
IYJAU;20050113;-9.0
IYJAU;20050114;-9.7
IYJAU;20050115;-6.0
IYJAU;20050116;-2.1
IYJAU;20050117;-3.3
IYJAU;20050118;-9.4
IYJAU;20050119;-11.7
IYJAU;20050120;-11.4
IYJAU;20050121;-9.9
IYJAU;20050122;-12.7
IYJAU;20050123;-14.5
IYJAU;20050124;-16.9
IYJAU;20050125;-18.0
IYJAU;20050126;-18.7
IYJAU;20050127;-19.1
IYJAU;20050128;-20.2
IYJAU;20050129;-21.0
IYJAU;20050130;-15.7
IYJAU;20050131;-13.0
IYJAU;20050201;-13.3
IYJAU;20050202;-14.3
IYJAU;20050203;-10.4
IYJAU;20050204;-11.1
IYJAU;20050205;-12.1
IYJAU;20050206;-13.2
IYJAU;20050207;-11.4
IYJAU;20050208;-11.4
IYJAU;20050209;-8.2
IYJAU;20050210;-7.4
IYJAU;20050211;-5.9
IYJAU;20050212;-5.8
IYJAU;20050213;-11.4
IYJAU;20050214;-14.1
IYJAU;20050215;-16.0
IYJAU;20050216;-16.0
IYJAU;20050217;-16.7
IYJAU;20050218;-15.9
IYJAU;20050219;-12.2
IYJAU;20050220;-13.1
IYJAU;20050221;-14.1
IYJAU;20050222;-14.4
IYJAU;20050223;-14.4
IYJAU;20050224;-17.3
IYJAU;20050225;-13.8
IYJAU;20050226;-15.1
IYJAU;20050227;-20.1
IYJAU;20050228;-23.1
IYJAU;20050301;-22.2
IYJAU;20050302;-15.1
IYJAU;20050303;-14.8
IYJAU;20050304;-12.7
IYJAU;20050305;-14.2
IYJAU;20050306;-18.1
IYJAU;20050307;-19.3
