 

stn;time;tre200dn
IYSUS;20161028;-1.6
IYSUS;20161029;-3.4
IYSUS;20161030;-4.9
IYSUS;20161031;-3.1
IYSUS;20161101;-2.9
IYSUS;20161102;-8.8
IYSUS;20161103;-11.8
IYSUS;20161104;-8.9
IYSUS;20161105;-7.8
IYSUS;20161106;-15.5
IYSUS;20161107;-17.3
IYSUS;20161108;-18.5
IYSUS;20161109;-19.3
IYSUS;20161110;-14.5
IYSUS;20161111;-15.6
IYSUS;20161112;-16.2
IYSUS;20161113;-12.4
IYSUS;20161114;-11.7
IYSUS;20161115;-10.0
IYSUS;20161116;-4.4
IYSUS;20161117;-6.2
IYSUS;20161118;-8.2
IYSUS;20161119;-10.2
IYSUS;20161120;-9.4
IYSUS;20161121;-6.9
IYSUS;20161122;-5.8
IYSUS;20161123;-6.0
IYSUS;20161124;-7.5
IYSUS;20161125;-6.3
IYSUS;20161126;-6.3
IYSUS;20161127;-10.3
IYSUS;20161128;-11.5
IYSUS;20161129;-11.9
IYSUS;20161130;-11.3
IYSUS;20161201;-11.3
IYSUS;20161202;-9.4
IYSUS;20161203;-9.1
IYSUS;20161204;-8.2
IYSUS;20161205;-8.6
IYSUS;20161206;-11.0
IYSUS;20161207;-6.1
IYSUS;20161208;-4.1
IYSUS;20161209;-4.8
IYSUS;20161210;-0.9
IYSUS;20161211;-11.4
IYSUS;20161212;-13.6
IYSUS;20161213;-9.1
IYSUS;20161214;-9.2
IYSUS;20161215;-8.3
IYSUS;20161216;-8.0
IYSUS;20161217;-7.1
IYSUS;20161218;-13.9
IYSUS;20161219;-15.8
IYSUS;20161220;-10.9
IYSUS;20161221;-9.5
IYSUS;20161222;-4.3
IYSUS;20161223;-7.3
IYSUS;20161224;-10.0
IYSUS;20161225;-11.1
IYSUS;20161226;-8.3
IYSUS;20161227;-15.4
IYSUS;20161228;-14.1
IYSUS;20161229;-11.1
IYSUS;20161230;-6.9
IYSUS;20161231;-6.3
IYSUS;20170101;-9.0
IYSUS;20170102;-16.0
IYSUS;20170103;-20.5
IYSUS;20170104;-20.3
IYSUS;20170105;-27.1
IYSUS;20170106;-28.1
IYSUS;20170107;-21.2
IYSUS;20170108;-18.8
IYSUS;20170109;-16.3
IYSUS;20170110;-17.9
IYSUS;20170111;-17.8
IYSUS;20170112;-13.1
IYSUS;20170113;-23.4
IYSUS;20170114;-23.4
IYSUS;20170115;-24.9
IYSUS;20170116;-26.0
IYSUS;20170117;-25.1
IYSUS;20170118;-19.5
IYSUS;20170119;-17.0
IYSUS;20170120;-14.8
IYSUS;20170121;-13.0
IYSUS;20170122;-11.4
IYSUS;20170123;-10.3
IYSUS;20170124;-11.7
IYSUS;20170125;-14.1
IYSUS;20170126;-10.0
IYSUS;20170127;-11.1
IYSUS;20170128;-12.3
IYSUS;20170129;-10.1
IYSUS;20170130;-10.0
IYSUS;20170131;-8.1
IYSUS;20170201;-9.3
IYSUS;20170202;-9.4
IYSUS;20170203;-12.4
IYSUS;20170204;-13.7
IYSUS;20170205;-15.1
IYSUS;20170206;-13.3
IYSUS;20170207;-15.1
IYSUS;20170208;-12.8
IYSUS;20170209;-13.6
IYSUS;20170210;-12.8
IYSUS;20170211;-13.4
IYSUS;20170212;-11.5
IYSUS;20170213;-8.8
IYSUS;20170214;-8.4
IYSUS;20170215;-7.5
IYSUS;20170216;-9.3
IYSUS;20170217;-15.0
IYSUS;20170218;-15.9
IYSUS;20170219;-14.4
IYSUS;20170220;-15.2
IYSUS;20170221;-8.4
IYSUS;20170222;-9.6
IYSUS;20170223;-7.1
IYSUS;20170224;-17.5
IYSUS;20170225;-18.5
IYSUS;20170226;-5.4
IYSUS;20170227;-11.2
IYSUS;20170228;-14.5
IYSUS;20170301;-17.9
IYSUS;20170302;-12.6
