 

stn;time;tre200dn
SLFBD2;20171026;5.7
SLFBD2;20171027;-4.2
SLFBD2;20171028;-4.1
SLFBD2;20171029;-3.4
SLFBD2;20171030;-6.5
SLFBD2;20171031;-0.3
SLFBD2;20171101;1.1
SLFBD2;20171102;-0.9
SLFBD2;20171103;-1.4
SLFBD2;20171104;-3.1
SLFBD2;20171105;-8.1
SLFBD2;20171106;-8.6
SLFBD2;20171107;-8.1
SLFBD2;20171108;-5.3
SLFBD2;20171109;-5.7
SLFBD2;20171110;-5.7
SLFBD2;20171111;-4.6
SLFBD2;20171112;-10.5
SLFBD2;20171113;-11.8
SLFBD2;20171114;-12.2
SLFBD2;20171115;-1.9
SLFBD2;20171116;-1.9
SLFBD2;20171117;-4.1
SLFBD2;20171118;-5.3
SLFBD2;20171119;-9.0
SLFBD2;20171120;-6.2
SLFBD2;20171121;-1.5
SLFBD2;20171122;-5.6
SLFBD2;20171123;-4.8
SLFBD2;20171124;-4.1
SLFBD2;20171125;-9.9
SLFBD2;20171126;-14.0
SLFBD2;20171127;-13.6
SLFBD2;20171128;-10.7
SLFBD2;20171129;-12.3
SLFBD2;20171130;-14.6
SLFBD2;20171201;-13.9
SLFBD2;20171202;-13.5
SLFBD2;20171203;-12.7
SLFBD2;20171204;-10.3
SLFBD2;20171205;-9.2
SLFBD2;20171206;-2.3
SLFBD2;20171207;-9.3
SLFBD2;20171208;-13.9
SLFBD2;20171209;-17.8
SLFBD2;20171210;-16.8
SLFBD2;20171211;-10.1
SLFBD2;20171212;-12.3
SLFBD2;20171213;-11.7
SLFBD2;20171214;-10.9
SLFBD2;20171215;-12.9
SLFBD2;20171216;-13.0
SLFBD2;20171217;-15.9
SLFBD2;20171218;-15.3
SLFBD2;20171219;-9.6
SLFBD2;20171220;-7.9
SLFBD2;20171221;-4.0
SLFBD2;20171222;-4.8
SLFBD2;20171223;-5.2
SLFBD2;20171224;1.6
SLFBD2;20171225;-8.3
SLFBD2;20171226;-7.1
SLFBD2;20171227;-11.4
SLFBD2;20171228;-17.1
SLFBD2;20171229;-17.3
SLFBD2;20171230;-9.2
SLFBD2;20171231;-6.3
SLFBD2;20180101;-8.4
