 

stn;time;tre200dn
SLFES2;19981016;4.0
SLFES2;19981017;3.8
SLFES2;19981018;-0.4
SLFES2;19981019;-4.6
SLFES2;19981020;-6.0
SLFES2;19981021;3.4
SLFES2;19981022;4.6
SLFES2;19981023;4.8
SLFES2;19981024;0.2
SLFES2;19981025;-3.9
SLFES2;19981026;-5.3
SLFES2;19981027;-5.7
SLFES2;19981028;3.1
SLFES2;19981029;-5.2
SLFES2;19981030;-6.6
SLFES2;19981031;-4.1
SLFES2;19981101;-2.9
SLFES2;19981102;-3.8
SLFES2;19981103;-0.3
SLFES2;19981104;-5.8
SLFES2;19981105;-6.6
SLFES2;19981106;-8.2
SLFES2;19981107;-8.3
SLFES2;19981108;3.9
SLFES2;19981109;-
SLFES2;19981110;-3.8
SLFES2;19981111;-12.1
SLFES2;19981112;-6.5
SLFES2;19981113;-8.8
SLFES2;19981114;-7.8
SLFES2;19981115;-7.9
SLFES2;19981116;-10.2
SLFES2;19981117;-15.2
SLFES2;19981118;-14.8
SLFES2;19981119;-12.5
SLFES2;19981120;-15.5
SLFES2;19981121;-18.4
SLFES2;19981122;-12.1
SLFES2;19981123;-10.5
SLFES2;19981124;-7.3
SLFES2;19981125;-6.3
SLFES2;19981126;-6.8
SLFES2;19981127;-11.4
SLFES2;19981128;-12.5
SLFES2;19981129;-5.3
SLFES2;19981130;-9.2
SLFES2;19981201;-5.4
SLFES2;19981202;-6.8
SLFES2;19981203;-6.8
SLFES2;19981204;-11.2
SLFES2;19981205;-13.3
SLFES2;19981206;-14.5
SLFES2;19981207;-14.8
SLFES2;19981208;-16.8
SLFES2;19981209;-5.2
SLFES2;19981210;-4.6
SLFES2;19981211;-7.0
SLFES2;19981212;-7.3
SLFES2;19981213;-1.6
SLFES2;19981214;2.0
SLFES2;19981215;3.9
SLFES2;19981216;-2.1
SLFES2;19981217;0.4
SLFES2;19981218;1.0
SLFES2;19981219;-7.9
SLFES2;19981220;-9.0
SLFES2;19981221;-15.1
SLFES2;19981222;-13.9
SLFES2;19981223;-4.8
SLFES2;19981224;-10.2
SLFES2;19981225;-11.4
SLFES2;19981226;-2.6
SLFES2;19981227;2.3
SLFES2;19981228;-3.5
SLFES2;19981229;-5.6
SLFES2;19981230;-3.8
SLFES2;19981231;-3.5
SLFES2;19990101;-1.5
SLFES2;19990102;-4.7
SLFES2;19990103;-6.2
SLFES2;19990104;-4.7
SLFES2;19990105;0.9
SLFES2;19990106;6.4
SLFES2;19990107;0.0
SLFES2;19990108;-6.6
SLFES2;19990109;-9.3
SLFES2;19990110;-9.2
SLFES2;19990111;-10.4
SLFES2;19990112;-11.9
SLFES2;19990113;-10.6
SLFES2;19990114;-8.3
SLFES2;19990115;-9.0
SLFES2;19990116;0.8
SLFES2;19990117;-1.6
SLFES2;19990118;-3.7
SLFES2;19990119;-3.8
SLFES2;19990120;-3.1
SLFES2;19990121;-3.4
SLFES2;19990122;-4.8
SLFES2;19990123;-2.9
SLFES2;19990124;-2.2
SLFES2;19990125;0.1
SLFES2;19990126;-8.1
SLFES2;19990127;-10.0
SLFES2;19990128;-10.1
SLFES2;19990129;-16.2
SLFES2;19990130;-20.3
SLFES2;19990131;-19.0
SLFES2;19990201;-15.3
SLFES2;19990202;-6.0
SLFES2;19990203;-2.2
SLFES2;19990204;-1.4
SLFES2;19990205;-8.4
SLFES2;19990206;-10.5
SLFES2;19990207;-14.6
SLFES2;19990208;-16.1
SLFES2;19990209;-13.8
SLFES2;19990210;-17.0
SLFES2;19990211;-17.7
SLFES2;19990212;-20.3
SLFES2;19990213;-21.0
SLFES2;19990214;-11.8
SLFES2;19990215;-10.8
SLFES2;19990216;-7.7
