 

stn;time;tre200dn
SLFPU2;19961109;-6.7
SLFPU2;19961110;-3.6
SLFPU2;19961111;-0.9
SLFPU2;19961112;0.2
SLFPU2;19961113;-3.0
SLFPU2;19961114;-7.5
SLFPU2;19961115;-1.5
SLFPU2;19961116;-0.5
SLFPU2;19961117;-1.1
SLFPU2;19961118;-5.8
SLFPU2;19961119;-9.1
SLFPU2;19961120;-7.3
SLFPU2;19961121;-11.4
SLFPU2;19961122;-12.5
SLFPU2;19961123;-9.7
SLFPU2;19961124;-14.7
SLFPU2;19961125;-11.3
SLFPU2;19961126;-8.5
SLFPU2;19961127;-10.8
SLFPU2;19961128;-12.7
SLFPU2;19961129;-14.5
SLFPU2;19961130;-9.1
SLFPU2;19961201;-11.1
SLFPU2;19961202;-9.4
SLFPU2;19961203;-11.3
SLFPU2;19961204;-6.7
SLFPU2;19961205;-4.3
SLFPU2;19961206;-1.0
SLFPU2;19961207;-1.7
SLFPU2;19961208;-1.7
SLFPU2;19961209;-2.3
SLFPU2;19961210;-1.0
SLFPU2;19961211;-2.7
SLFPU2;19961212;-4.7
SLFPU2;19961213;-4.4
SLFPU2;19961214;-6.8
SLFPU2;19961215;-7.4
SLFPU2;19961216;0.3
SLFPU2;19961217;-1.5
SLFPU2;19961218;0.0
SLFPU2;19961219;-2.1
SLFPU2;19961220;-4.7
SLFPU2;19961221;-5.0
SLFPU2;19961222;-2.5
SLFPU2;19961223;-2.5
SLFPU2;19961224;-5.8
SLFPU2;19961225;-12.1
SLFPU2;19961226;-18.4
SLFPU2;19961227;-13.4
SLFPU2;19961228;-15.9
SLFPU2;19961229;-14.7
SLFPU2;19961230;-13.9
SLFPU2;19961231;-14.5
SLFPU2;19970101;-10.7
SLFPU2;19970102;-8.6
SLFPU2;19970103;-3.4
SLFPU2;19970104;-8.2
SLFPU2;19970105;-9.3
SLFPU2;19970106;-8.7
SLFPU2;19970107;-8.0
SLFPU2;19970108;-5.6
SLFPU2;19970109;-7.4
SLFPU2;19970110;-8.3
SLFPU2;19970111;-8.5
SLFPU2;19970112;-7.5
SLFPU2;19970113;-1.8
SLFPU2;19970114;1.3
SLFPU2;19970115;0.9
SLFPU2;19970116;0.9
SLFPU2;19970117;-1.4
SLFPU2;19970118;-5.5
SLFPU2;19970119;-6.2
SLFPU2;19970120;-5.2
SLFPU2;19970121;-3.3
SLFPU2;19970122;-1.6
SLFPU2;19970123;-0.7
SLFPU2;19970124;-2.0
SLFPU2;19970125;-2.4
SLFPU2;19970126;-3.5
SLFPU2;19970127;-6.9
