 

stn;time;tre200dn
SLFTUM;20021028;-10.5
SLFTUM;20021029;-
SLFTUM;20021030;-0.9
SLFTUM;20021031;-
SLFTUM;20021101;-3.3
SLFTUM;20021102;-
SLFTUM;20021103;-
SLFTUM;20021104;-10.8
SLFTUM;20021105;-
SLFTUM;20021106;-
SLFTUM;20021107;-14.2
SLFTUM;20021108;-
SLFTUM;20021109;-
SLFTUM;20021110;-
SLFTUM;20021111;-
SLFTUM;20021112;-9.8
SLFTUM;20021113;-8.5
SLFTUM;20021114;-
SLFTUM;20021115;-4.6
SLFTUM;20021116;-
SLFTUM;20021117;-
SLFTUM;20021118;-
SLFTUM;20021119;-
SLFTUM;20021120;-
SLFTUM;20021121;-
SLFTUM;20021122;-12.4
SLFTUM;20021123;-12.3
SLFTUM;20021124;-
SLFTUM;20021125;-4.6
SLFTUM;20021126;-4.1
SLFTUM;20021127;-4.1
SLFTUM;20021128;-5.2
SLFTUM;20021129;-12.1
SLFTUM;20021130;-12.7
SLFTUM;20021201;-13.9
SLFTUM;20021202;-
SLFTUM;20021203;-
SLFTUM;20021204;-
SLFTUM;20021205;-
SLFTUM;20021206;-8.6
SLFTUM;20021207;-
SLFTUM;20021208;-
SLFTUM;20021209;-
SLFTUM;20021210;-12.6
SLFTUM;20021211;-10.4
SLFTUM;20021212;-
SLFTUM;20021213;-11.4
SLFTUM;20021214;-11.3
SLFTUM;20021215;-10.5
SLFTUM;20021216;-
SLFTUM;20021217;-
SLFTUM;20021218;-
SLFTUM;20021219;-
SLFTUM;20021220;-6.5
SLFTUM;20021221;-7.7
SLFTUM;20021222;-8.0
SLFTUM;20021223;-4.3
SLFTUM;20021224;-6.3
SLFTUM;20021225;-8.5
SLFTUM;20021226;-7.3
SLFTUM;20021227;-
SLFTUM;20021228;-
SLFTUM;20021229;-
SLFTUM;20021230;-6.9
SLFTUM;20021231;-
SLFTUM;20030101;-
SLFTUM;20030102;-10.4
SLFTUM;20030103;-11.9
SLFTUM;20030104;-16.2
SLFTUM;20030105;-
SLFTUM;20030106;-
SLFTUM;20030107;-
SLFTUM;20030108;-
SLFTUM;20030109;-14.3
SLFTUM;20030110;-15.7
SLFTUM;20030111;-16.1
SLFTUM;20030112;-
SLFTUM;20030113;-
SLFTUM;20030114;-
SLFTUM;20030115;-5.4
SLFTUM;20030116;-
SLFTUM;20030117;-10.6
SLFTUM;20030118;-13.3
SLFTUM;20030119;-
SLFTUM;20030120;-9.9
SLFTUM;20030121;-10.7
SLFTUM;20030122;-
SLFTUM;20030123;-
SLFTUM;20030124;-14.7
SLFTUM;20030125;-13.3
SLFTUM;20030126;-14.0
SLFTUM;20030127;-8.1
SLFTUM;20030128;-16.6
SLFTUM;20030129;-18.2
SLFTUM;20030130;-21.8
SLFTUM;20030131;-24.3
SLFTUM;20030201;-23.6
SLFTUM;20030202;-
SLFTUM;20030203;-14.5
SLFTUM;20030204;-
SLFTUM;20030205;-
SLFTUM;20030206;-21.1
SLFTUM;20030207;-18.7
SLFTUM;20030208;-13.7
SLFTUM;20030209;-16.1
SLFTUM;20030210;-11.7
SLFTUM;20030211;-12.9
SLFTUM;20030212;-16.2
SLFTUM;20030213;-
SLFTUM;20030214;-16.0
SLFTUM;20030215;-18.0
SLFTUM;20030216;-22.3
SLFTUM;20030217;-
SLFTUM;20030218;-15.3
SLFTUM;20030219;-10.1
SLFTUM;20030220;-10.4
SLFTUM;20030221;-9.5
SLFTUM;20030222;-9.3
SLFTUM;20030223;-10.2
SLFTUM;20030224;-10.7
SLFTUM;20030225;-11.3
SLFTUM;20030226;-10.8
SLFTUM;20030227;-11.3
SLFTUM;20030228;-10.4
SLFTUM;20030301;-10.1
SLFTUM;20030302;-12.6
SLFTUM;20030303;-15.1
SLFTUM;20030304;-12.2
SLFTUM;20030305;-7.6
SLFTUM;20030306;-11.7
SLFTUM;20030307;-13.4
SLFTUM;20030308;-9.4
SLFTUM;20030309;-8.7
SLFTUM;20030310;-5.8
SLFTUM;20030311;-2.6
SLFTUM;20030312;-11.3
SLFTUM;20030313;-14.7
SLFTUM;20030314;-14.0
SLFTUM;20030315;-15.0
SLFTUM;20030316;-11.6
SLFTUM;20030317;-12.1
SLFTUM;20030318;-13.4
SLFTUM;20030319;-8.3
SLFTUM;20030320;-8.1
SLFTUM;20030321;-9.8
SLFTUM;20030322;-8.9
SLFTUM;20030323;-6.4
SLFTUM;20030324;-3.5
SLFTUM;20030325;-6.4
SLFTUM;20030326;-7.2
SLFTUM;20030327;-7.6
SLFTUM;20030328;-6.6
SLFTUM;20030329;-5.5
SLFTUM;20030330;-5.9
SLFTUM;20030331;-8.2
SLFTUM;20030401;-7.5
SLFTUM;20030402;-15.4
SLFTUM;20030403;-
SLFTUM;20030404;-17.9
SLFTUM;20030405;-9.9
SLFTUM;20030406;-19.6
SLFTUM;20030407;-22.0
SLFTUM;20030408;-18.3
SLFTUM;20030409;-16.8
SLFTUM;20030410;-15.6
SLFTUM;20030411;-16.7
SLFTUM;20030412;-10.2
SLFTUM;20030413;-11.0
SLFTUM;20030414;-6.5
SLFTUM;20030415;-6.3
SLFTUM;20030416;-3.2
SLFTUM;20030417;-5.5
SLFTUM;20030418;-8.2
SLFTUM;20030419;-8.4
SLFTUM;20030420;-9.5
SLFTUM;20030421;-7.8
SLFTUM;20030422;-6.7
SLFTUM;20030423;-7.1
SLFTUM;20030424;-6.8
SLFTUM;20030425;-3.4
SLFTUM;20030426;-5.6
SLFTUM;20030427;-8.0
SLFTUM;20030428;-5.8
SLFTUM;20030429;-3.1
SLFTUM;20030430;-5.2
SLFTUM;20030501;-6.2
SLFTUM;20030502;-3.6
SLFTUM;20030503;-6.8
SLFTUM;20030504;-3.0
SLFTUM;20030505;0.5
SLFTUM;20030506;-0.1
SLFTUM;20030507;1.7
SLFTUM;20030508;0.2
SLFTUM;20030509;-2.3
SLFTUM;20030510;-2.3
SLFTUM;20030511;-2.0
SLFTUM;20030512;-2.2
SLFTUM;20030513;-9.7
SLFTUM;20030514;-12.0
SLFTUM;20030515;-12.2
SLFTUM;20030516;-8.7
SLFTUM;20030517;-6.2
SLFTUM;20030518;-4.6
SLFTUM;20030519;-4.1
SLFTUM;20030520;-9.6
SLFTUM;20030521;-9.4
SLFTUM;20030522;-9.4
SLFTUM;20030523;-2.4
SLFTUM;20030524;-0.9
SLFTUM;20030525;-1.2
SLFTUM;20030526;-1.3
SLFTUM;20030527;0.7
SLFTUM;20030528;0.6
SLFTUM;20030529;0.2
SLFTUM;20030530;0.8
SLFTUM;20030531;1.6
SLFTUM;20030601;2.4
SLFTUM;20030602;1.1
SLFTUM;20030603;1.9
SLFTUM;20030604;2.4
SLFTUM;20030605;3.2
SLFTUM;20030606;2.7
SLFTUM;20030607;-
SLFTUM;20030608;3.3
SLFTUM;20030609;2.6
SLFTUM;20030610;4.9
SLFTUM;20030611;5.6
SLFTUM;20030612;6.2
SLFTUM;20030613;6.2
SLFTUM;20030614;3.7
SLFTUM;20030615;4.2
SLFTUM;20030616;4.4
SLFTUM;20030617;2.9
SLFTUM;20030618;-1.1
SLFTUM;20030619;-0.5
SLFTUM;20030620;3.2
SLFTUM;20030621;3.7
SLFTUM;20030622;5.7
SLFTUM;20030623;6.9
SLFTUM;20030624;5.7
SLFTUM;20030625;6.5
SLFTUM;20030626;3.5
SLFTUM;20030627;2.9
SLFTUM;20030628;2.3
SLFTUM;20030629;2.2
SLFTUM;20030630;5.2
SLFTUM;20030701;-2.8
SLFTUM;20030702;-3.2
SLFTUM;20030703;-1.9
SLFTUM;20030704;-3.3
SLFTUM;20030705;-3.6
SLFTUM;20030706;-1.5
SLFTUM;20030707;1.4
SLFTUM;20030708;0.4
SLFTUM;20030709;2.6
SLFTUM;20030710;3.3
SLFTUM;20030711;2.7
SLFTUM;20030712;3.6
SLFTUM;20030713;5.8
SLFTUM;20030714;6.3
SLFTUM;20030715;5.9
SLFTUM;20030716;5.0
SLFTUM;20030717;0.7
SLFTUM;20030718;-0.1
SLFTUM;20030719;6.2
SLFTUM;20030720;6.6
SLFTUM;20030721;3.4
SLFTUM;20030722;4.1
