 

stn;time;hns000d0
GEA;20121231;0
GEA;20130101;0
GEA;20130102;0
GEA;20130103;0
GEA;20130104;0
GEA;20130105;0
GEA;20130106;0
GEA;20130107;0
GEA;20130108;0
GEA;20130109;0
GEA;20130110;0
GEA;20130111;0
GEA;20130112;0
GEA;20130113;0
GEA;20130114;0
GEA;20130115;0
GEA;20130116;0
GEA;20130117;0
GEA;20130118;4
GEA;20130119;4
GEA;20130120;0
GEA;20130121;0
GEA;20130122;0
GEA;20130123;0
GEA;20130124;0
GEA;20130125;0
GEA;20130126;0
GEA;20130127;0
GEA;20130128;0
GEA;20130129;0
GEA;20130130;0
GEA;20130131;0
GEA;20130201;0
GEA;20130202;0
GEA;20130203;0
GEA;20130204;0
GEA;20130205;0
GEA;20130206;0
GEA;20130207;0
GEA;20130208;0
GEA;20130209;0
GEA;20130210;16
GEA;20130211;7
GEA;20130212;0
GEA;20130213;0
GEA;20130214;1
GEA;20130215;0
GEA;20130216;0
GEA;20130217;0
GEA;20130218;0
GEA;20130219;0
GEA;20130220;0
GEA;20130221;0
GEA;20130222;0
GEA;20130223;0
GEA;20130224;3
GEA;20130225;0
GEA;20130226;0
GEA;20130227;0
GEA;20130228;0
GEA;20130301;0
GEA;20130302;0
GEA;20130303;0
GEA;20130304;0
GEA;20130305;0
GEA;20130306;0
GEA;20130307;0
GEA;20130308;0
GEA;20130309;0
GEA;20130310;0
GEA;20130311;0
GEA;20130312;0
GEA;20130313;0
GEA;20130314;-
GEA;20130315;0
GEA;20130316;0
GEA;20130317;1
GEA;20130318;0
GEA;20130319;0
GEA;20130320;0
GEA;20130321;0
GEA;20130322;0
GEA;20130323;0
GEA;20130324;0
GEA;20130325;0
GEA;20130326;0
GEA;20130327;0
GEA;20130328;0
GEA;20130329;0
GEA;20130330;0
GEA;20130331;0
GEA;20130401;0
GEA;20130402;0
GEA;20130403;0
GEA;20130404;0
GEA;20130405;0
GEA;20130406;0
GEA;20130407;0
GEA;20130408;0
GEA;20130409;0
GEA;20130410;0
GEA;20130411;0
GEA;20130412;0
GEA;20130413;0
GEA;20130414;0
GEA;20130415;0
GEA;20130416;0
GEA;20130417;0
GEA;20130418;0
GEA;20130419;0
GEA;20130420;0
GEA;20130421;0
GEA;20130422;0
GEA;20130423;0
GEA;20130424;0
GEA;20130425;0
GEA;20130426;0
GEA;20130427;0
GEA;20130428;0
GEA;20130429;0
GEA;20130430;-
GEA;20130501;0
GEA;20130502;0
GEA;20130503;0
GEA;20130504;0
GEA;20130505;0
GEA;20130506;0
GEA;20130507;0
GEA;20130508;0
GEA;20130509;0
GEA;20130510;0
GEA;20130511;0
GEA;20130512;0
GEA;20130513;0
GEA;20130514;0
GEA;20130515;0
GEA;20130516;0
GEA;20130517;0
GEA;20130518;0
GEA;20130519;0
GEA;20130520;0
GEA;20130521;-
GEA;20130522;-
GEA;20130523;-
GEA;20130524;0
GEA;20130525;0
GEA;20130526;0
GEA;20130527;0
GEA;20130528;0
GEA;20130529;0
GEA;20130530;-
GEA;20130531;0
GEA;20130601;0
GEA;20130602;0
GEA;20130603;0
GEA;20130604;0
GEA;20130605;0
GEA;20130606;0
GEA;20130607;0
GEA;20130608;0
GEA;20130609;0
GEA;20130610;0
GEA;20130611;0
GEA;20130612;0
GEA;20130613;0
GEA;20130614;0
GEA;20130615;0
GEA;20130616;0
GEA;20130617;0
GEA;20130618;0
GEA;20130619;0
GEA;20130620;0
GEA;20130621;0
GEA;20130622;0
GEA;20130623;0
GEA;20130624;0
GEA;20130625;0
GEA;20130626;0
GEA;20130627;0
GEA;20130628;0
GEA;20130629;0
GEA;20130630;0
GEA;20130701;0
GEA;20130702;0
GEA;20130703;0
GEA;20130704;0
GEA;20130705;0
GEA;20130706;0
GEA;20130707;-
GEA;20130708;0
GEA;20130709;0
GEA;20130710;0
GEA;20130711;-
GEA;20130712;0
GEA;20130713;0
GEA;20130714;0
GEA;20130715;0
GEA;20130716;0
GEA;20130717;0
GEA;20130718;0
GEA;20130719;0
GEA;20130720;0
GEA;20130721;0
GEA;20130722;0
GEA;20130723;0
GEA;20130724;0
GEA;20130725;0
GEA;20130726;0
GEA;20130727;0
GEA;20130728;0
GEA;20130729;0
GEA;20130730;0
GEA;20130731;-
GEA;20130801;0
GEA;20130802;0
GEA;20130803;0
GEA;20130804;0
GEA;20130805;0
GEA;20130806;0
GEA;20130807;0
GEA;20130808;0
GEA;20130809;0
GEA;20130810;0
GEA;20130811;0
