 

stn;time;hns000d0
SLF6BE;19521118;6
SLF6BE;19521119;0
SLF6BE;19521120;-
SLF6BE;19521121;0
SLF6BE;19521122;-
SLF6BE;19521123;-
SLF6BE;19521124;-
SLF6BE;19521125;-
SLF6BE;19521126;-
SLF6BE;19521127;0
SLF6BE;19521128;0
SLF6BE;19521129;-
SLF6BE;19521130;-
SLF6BE;19521201;-
SLF6BE;19521202;-
SLF6BE;19521203;-
SLF6BE;19521204;-
SLF6BE;19521205;-
SLF6BE;19521206;-
SLF6BE;19521207;-
SLF6BE;19521208;-
SLF6BE;19521209;-
SLF6BE;19521210;-
SLF6BE;19521211;-
SLF6BE;19521212;0
SLF6BE;19521213;-
SLF6BE;19521214;1
SLF6BE;19521215;-
SLF6BE;19521216;3
SLF6BE;19521217;5
SLF6BE;19521218;-
SLF6BE;19521219;-
SLF6BE;19521220;-
SLF6BE;19521221;-
SLF6BE;19521222;-
SLF6BE;19521223;-
SLF6BE;19521224;-
SLF6BE;19521225;-
SLF6BE;19521226;-
SLF6BE;19521227;-
SLF6BE;19521228;1
SLF6BE;19521229;-
SLF6BE;19521230;-
SLF6BE;19521231;-
SLF6BE;19530101;-
SLF6BE;19530102;-
SLF6BE;19530103;-
SLF6BE;19530104;-
SLF6BE;19530105;0
SLF6BE;19530106;1
SLF6BE;19530107;-
SLF6BE;19530108;-
SLF6BE;19530109;-
SLF6BE;19530110;-
SLF6BE;19530111;-
SLF6BE;19530112;-
SLF6BE;19530113;-
SLF6BE;19530114;-
SLF6BE;19530115;0
SLF6BE;19530116;0
SLF6BE;19530117;0
SLF6BE;19530118;0
SLF6BE;19530119;0
SLF6BE;19530120;0
SLF6BE;19530121;0
SLF6BE;19530122;0
SLF6BE;19530123;0
SLF6BE;19530124;0
SLF6BE;19530125;0
SLF6BE;19530126;0
SLF6BE;19530127;0
SLF6BE;19530128;0
SLF6BE;19530129;0
SLF6BE;19530130;0
SLF6BE;19530131;-
SLF6BE;19530201;-
SLF6BE;19530202;-
SLF6BE;19530203;-
SLF6BE;19530204;-
SLF6BE;19530205;-
SLF6BE;19530206;-
SLF6BE;19530207;-
SLF6BE;19530208;-
SLF6BE;19530209;11
SLF6BE;19530210;0
SLF6BE;19530211;0
SLF6BE;19530212;0
SLF6BE;19530213;0
SLF6BE;19530214;-
SLF6BE;19530215;0
SLF6BE;19530216;0
SLF6BE;19530217;0
SLF6BE;19530218;0
SLF6BE;19530219;0
SLF6BE;19530220;0
SLF6BE;19530221;0
SLF6BE;19530222;0
SLF6BE;19530223;0
SLF6BE;19530224;0
SLF6BE;19530225;0
SLF6BE;19530226;0
SLF6BE;19530227;0
SLF6BE;19530228;0
SLF6BE;19530301;0
SLF6BE;19530302;0
SLF6BE;19530303;0
SLF6BE;19530304;0
SLF6BE;19530305;0
SLF6BE;19530306;0
SLF6BE;19530307;0
SLF6BE;19530308;0
SLF6BE;19530309;0
SLF6BE;19530310;0
SLF6BE;19530311;0
SLF6BE;19530312;0
SLF6BE;19530313;0
SLF6BE;19530314;0
SLF6BE;19530315;0
SLF6BE;19530316;0
SLF6BE;19530317;0
SLF6BE;19530318;0
SLF6BE;19530319;0
SLF6BE;19530320;0
SLF6BE;19530321;0
SLF6BE;19530322;0
SLF6BE;19530323;0
SLF6BE;19530324;0
SLF6BE;19530325;0
SLF6BE;19530326;0
SLF6BE;19530327;0
SLF6BE;19530328;0
SLF6BE;19530329;0
