 

stn;time;hns000d0
STE;19791103;0
STE;19791104;-
STE;19791105;-
STE;19791106;-
STE;19791107;-
STE;19791108;-
STE;19791109;-
STE;19791110;-
STE;19791111;0
STE;19791112;-
STE;19791113;-
STE;19791114;-
STE;19791115;-
STE;19791116;0
STE;19791117;0
STE;19791118;-
STE;19791119;-
STE;19791120;-
STE;19791121;0
STE;19791122;0
STE;19791123;0
STE;19791124;0
STE;19791125;0
STE;19791126;-
STE;19791127;-
STE;19791128;0
STE;19791129;0
STE;19791130;0
STE;19791201;-
STE;19791202;0
STE;19791203;0
STE;19791204;0
STE;19791205;0
STE;19791206;-
STE;19791207;0
STE;19791208;-
STE;19791209;-
STE;19791210;-
STE;19791211;-
STE;19791212;-
STE;19791213;-
STE;19791214;-
STE;19791215;-
STE;19791216;-
STE;19791217;-
STE;19791218;-
STE;19791219;2
STE;19791220;0
STE;19791221;0
STE;19791222;0
STE;19791223;0
STE;19791224;0
STE;19791225;0
STE;19791226;0
STE;19791227;0
STE;19791228;-
STE;19791229;-
STE;19791230;-
STE;19791231;-
STE;19800101;0
STE;19800102;6
STE;19800103;1
STE;19800104;5
STE;19800105;0
STE;19800106;-
STE;19800107;-
STE;19800108;0
STE;19800109;0
STE;19800110;0
STE;19800111;0
STE;19800112;0
STE;19800113;0
STE;19800114;0
STE;19800115;0
STE;19800116;0
STE;19800117;0
STE;19800118;0
STE;19800119;0
STE;19800120;0
STE;19800121;-
STE;19800122;-
STE;19800123;6
STE;19800124;-
STE;19800125;0
STE;19800126;0
STE;19800127;0
STE;19800128;0
STE;19800129;0
STE;19800130;0
STE;19800131;-
STE;19800201;-
STE;19800202;-
STE;19800203;-
STE;19800204;-
STE;19800205;-
STE;19800206;-
STE;19800207;-
STE;19800208;0
STE;19800209;0
STE;19800210;-
STE;19800211;0
STE;19800212;0
STE;19800213;0
STE;19800214;0
STE;19800215;0
STE;19800216;-
STE;19800217;-
STE;19800218;0
STE;19800219;0
STE;19800220;0
STE;19800221;0
STE;19800222;-
STE;19800223;-
STE;19800224;0
STE;19800225;0
STE;19800226;0
STE;19800227;0
STE;19800228;0
STE;19800229;0
STE;19800301;0
STE;19800302;0
STE;19800303;2
STE;19800304;0
STE;19800305;0
STE;19800306;-
STE;19800307;-
STE;19800308;0
STE;19800309;-
STE;19800310;-
STE;19800311;-
STE;19800312;0
STE;19800313;0
STE;19800314;0
STE;19800315;0
STE;19800316;0
STE;19800317;0
STE;19800318;0
STE;19800319;0
STE;19800320;1
STE;19800321;-
STE;19800322;0
STE;19800323;-
STE;19800324;-
STE;19800325;-
STE;19800326;-
STE;19800327;-
STE;19800328;-
STE;19800329;-
STE;19800330;0
STE;19800331;-
STE;19800401;-
STE;19800402;0
STE;19800403;0
STE;19800404;0
STE;19800405;0
STE;19800406;0
STE;19800407;-
STE;19800408;0
STE;19800409;0
STE;19800410;-
STE;19800411;0
STE;19800412;0
STE;19800413;0
STE;19800414;0
STE;19800415;0
STE;19800416;0
STE;19800417;-
STE;19800418;-
STE;19800419;-
STE;19800420;0
STE;19800421;0
STE;19800422;0
STE;19800423;-
STE;19800424;-
STE;19800425;-
STE;19800426;-
STE;19800427;-
STE;19800428;0
STE;19800429;0
STE;19800430;0
STE;19800501;0
STE;19800502;-
STE;19800503;-
STE;19800504;-
STE;19800505;0
STE;19800506;-
STE;19800507;-
STE;19800508;-
STE;19800509;-
STE;19800510;0
STE;19800511;0
STE;19800512;0
STE;19800513;-
STE;19800514;-
STE;19800515;0
STE;19800516;0
STE;19800517;0
STE;19800518;-
STE;19800519;-
STE;19800520;-
STE;19800521;-
STE;19800522;-
STE;19800523;0
STE;19800524;0
STE;19800525;0
