 

stn;time;hns000d0
PAV;19771105;0
PAV;19771106;-
PAV;19771107;0
PAV;19771108;0
PAV;19771109;0
PAV;19771110;0
PAV;19771111;0
PAV;19771112;-
PAV;19771113;-
PAV;19771114;-
PAV;19771115;-
PAV;19771116;-
PAV;19771117;-
PAV;19771118;-
PAV;19771119;0
PAV;19771120;-
PAV;19771121;-
PAV;19771122;-
PAV;19771123;0
PAV;19771124;-
PAV;19771125;-
PAV;19771126;-
PAV;19771127;0
PAV;19771128;0
PAV;19771129;0
PAV;19771130;0
PAV;19771201;0
PAV;19771202;0
PAV;19771203;0
PAV;19771204;0
PAV;19771205;0
PAV;19771206;3
PAV;19771207;0
PAV;19771208;-
PAV;19771209;-
PAV;19771210;0
PAV;19771211;0
PAV;19771212;-
PAV;19771213;-
PAV;19771214;0
PAV;19771215;0
PAV;19771216;0
PAV;19771217;0
PAV;19771218;0
PAV;19771219;0
PAV;19771220;0
PAV;19771221;-
PAV;19771222;0
PAV;19771223;-
PAV;19771224;-
PAV;19771225;0
PAV;19771226;-
PAV;19771227;-
PAV;19771228;-
PAV;19771229;0
PAV;19771230;-
PAV;19771231;0
PAV;19780101;0
PAV;19780102;-
PAV;19780103;-
PAV;19780104;-
PAV;19780105;0
PAV;19780106;0
PAV;19780107;0
PAV;19780108;0
PAV;19780109;0
PAV;19780110;0
PAV;19780111;0
PAV;19780112;0
PAV;19780113;0
PAV;19780114;0
PAV;19780115;0
PAV;19780116;0
PAV;19780117;0
PAV;19780118;0
PAV;19780119;0
PAV;19780120;-
PAV;19780121;0
PAV;19780122;-
PAV;19780123;-
PAV;19780124;0
PAV;19780125;0
PAV;19780126;-
PAV;19780127;0
PAV;19780128;0
PAV;19780129;0
PAV;19780130;0
PAV;19780131;0
PAV;19780201;0
PAV;19780202;0
PAV;19780203;0
PAV;19780204;0
PAV;19780205;0
PAV;19780206;0
PAV;19780207;0
PAV;19780208;0
PAV;19780209;0
PAV;19780210;0
PAV;19780211;0
PAV;19780212;3
PAV;19780213;0
PAV;19780214;0
PAV;19780215;18
PAV;19780216;0
PAV;19780217;-
PAV;19780218;-
PAV;19780219;-
PAV;19780220;0
PAV;19780221;0
PAV;19780222;0
PAV;19780223;-
PAV;19780224;-
PAV;19780225;-
PAV;19780226;-
PAV;19780227;-
PAV;19780228;0
PAV;19780301;-
PAV;19780302;0
PAV;19780303;0
PAV;19780304;-
PAV;19780305;-
PAV;19780306;0
PAV;19780307;0
PAV;19780308;0
PAV;19780309;0
PAV;19780310;0
PAV;19780311;0
PAV;19780312;-
PAV;19780313;-
PAV;19780314;-
PAV;19780315;-
PAV;19780316;-
PAV;19780317;-
PAV;19780318;0
PAV;19780319;-
PAV;19780320;-
PAV;19780321;-
PAV;19780322;-
PAV;19780323;-
PAV;19780324;-
PAV;19780325;-
PAV;19780326;-
PAV;19780327;-
PAV;19780328;0
PAV;19780329;0
PAV;19780330;0
PAV;19780331;0
PAV;19780401;-
PAV;19780402;0
PAV;19780403;-
PAV;19780404;0
PAV;19780405;0
PAV;19780406;0
PAV;19780407;0
PAV;19780408;0
PAV;19780409;0
PAV;19780410;-
PAV;19780411;0
PAV;19780412;0
PAV;19780413;0
PAV;19780414;0
PAV;19780415;0
PAV;19780416;0
PAV;19780417;0
PAV;19780418;-
PAV;19780419;-
PAV;19780420;-
PAV;19780421;0
PAV;19780422;0
PAV;19780423;0
PAV;19780424;0
PAV;19780425;-
PAV;19780426;-
PAV;19780427;-
PAV;19780428;0
PAV;19780429;-
PAV;19780430;-
PAV;19780501;-
PAV;19780502;0
PAV;19780503;-
PAV;19780504;0
PAV;19780505;-
PAV;19780506;-
PAV;19780507;-
PAV;19780508;-
PAV;19780509;0
PAV;19780510;0
PAV;19780511;0
PAV;19780512;-
PAV;19780513;-
PAV;19780514;-
PAV;19780515;-
PAV;19780516;-
PAV;19780517;-
PAV;19780518;-
PAV;19780519;-
PAV;19780520;0
PAV;19780521;-
PAV;19780522;-
PAV;19780523;-
PAV;19780524;-
PAV;19780525;0
PAV;19780526;0
PAV;19780527;0
PAV;19780528;0
PAV;19780529;0
PAV;19780530;0
