 

stn;time;hns000d0
EFF;19771103;0
EFF;19771104;-
EFF;19771105;0
EFF;19771106;-
EFF;19771107;-
EFF;19771108;0
EFF;19771109;0
EFF;19771110;0
EFF;19771111;0
EFF;19771112;-
EFF;19771113;-
EFF;19771114;-
EFF;19771115;-
EFF;19771116;1
EFF;19771117;1
EFF;19771118;2
EFF;19771119;0
EFF;19771120;0
EFF;19771121;1
EFF;19771122;-
EFF;19771123;0
EFF;19771124;-
EFF;19771125;3
EFF;19771126;2
EFF;19771127;-
EFF;19771128;-
EFF;19771129;0
EFF;19771130;0
EFF;19771201;0
EFF;19771202;-
EFF;19771203;0
EFF;19771204;0
EFF;19771205;0
EFF;19771206;-
EFF;19771207;0
EFF;19771208;-
EFF;19771209;-
EFF;19771210;0
EFF;19771211;0
EFF;19771212;-
EFF;19771213;-
EFF;19771214;0
EFF;19771215;0
EFF;19771216;0
EFF;19771217;0
EFF;19771218;0
EFF;19771219;0
EFF;19771220;0
EFF;19771221;-
EFF;19771222;-
EFF;19771223;-
EFF;19771224;-
EFF;19771225;-
EFF;19771226;-
EFF;19771227;-
EFF;19771228;-
EFF;19771229;0
EFF;19771230;1
EFF;19771231;1
EFF;19780101;0
EFF;19780102;-
EFF;19780103;-
EFF;19780104;3
EFF;19780105;-
EFF;19780106;0
EFF;19780107;0
EFF;19780108;0
EFF;19780109;0
EFF;19780110;-
EFF;19780111;3
EFF;19780112;-
EFF;19780113;0
EFF;19780114;0
EFF;19780115;0
EFF;19780116;0
EFF;19780117;1
EFF;19780118;-
EFF;19780119;0
EFF;19780120;1
EFF;19780121;-
EFF;19780122;-
EFF;19780123;1
EFF;19780124;-
EFF;19780125;-
EFF;19780126;2
EFF;19780127;0
EFF;19780128;2
EFF;19780129;-
EFF;19780130;1
EFF;19780131;1
EFF;19780201;-
EFF;19780202;-
EFF;19780203;1
EFF;19780204;-
EFF;19780205;3
EFF;19780206;1
EFF;19780207;-
EFF;19780208;-
EFF;19780209;0
EFF;19780210;0
EFF;19780211;2
EFF;19780212;0
EFF;19780213;0
EFF;19780214;1
EFF;19780215;2
EFF;19780216;17
EFF;19780217;1
EFF;19780218;6
EFF;19780219;5
EFF;19780220;0
EFF;19780221;-
EFF;19780222;-
EFF;19780223;0
EFF;19780224;0
EFF;19780225;-
EFF;19780226;-
EFF;19780227;-
EFF;19780228;0
EFF;19780301;0
EFF;19780302;0
EFF;19780303;0
EFF;19780304;-
EFF;19780305;-
EFF;19780306;-
EFF;19780307;0
EFF;19780308;0
EFF;19780309;0
EFF;19780310;0
EFF;19780311;0
EFF;19780312;-
EFF;19780313;-
EFF;19780314;-
EFF;19780315;-
EFF;19780316;1
EFF;19780317;2
EFF;19780318;-
EFF;19780319;1
EFF;19780320;-
EFF;19780321;-
EFF;19780322;-
EFF;19780323;1
EFF;19780324;-
EFF;19780325;-
EFF;19780326;1
EFF;19780327;-
EFF;19780328;0
EFF;19780329;0
EFF;19780330;0
EFF;19780331;0
EFF;19780401;-
EFF;19780402;-
EFF;19780403;-
EFF;19780404;0
EFF;19780405;-
EFF;19780406;0
EFF;19780407;0
EFF;19780408;0
EFF;19780409;-
EFF;19780410;-
EFF;19780411;-
EFF;19780412;-
EFF;19780413;0
EFF;19780414;0
EFF;19780415;-
EFF;19780416;-
EFF;19780417;-
EFF;19780418;-
EFF;19780419;-
EFF;19780420;-
EFF;19780421;0
EFF;19780422;0
EFF;19780423;-
EFF;19780424;0
EFF;19780425;0
EFF;19780426;0
EFF;19780427;-
EFF;19780428;0
EFF;19780429;-
EFF;19780430;-
EFF;19780501;-
EFF;19780502;-
EFF;19780503;0
EFF;19780504;0
EFF;19780505;-
EFF;19780506;-
EFF;19780507;-
EFF;19780508;-
EFF;19780509;-
EFF;19780510;-
EFF;19780511;-
EFF;19780512;-
EFF;19780513;-
EFF;19780514;-
EFF;19780515;-
EFF;19780516;-
EFF;19780517;-
EFF;19780518;-
EFF;19780519;-
EFF;19780520;-
EFF;19780521;0
EFF;19780522;-
EFF;19780523;-
EFF;19780524;-
EFF;19780525;0
EFF;19780526;0
EFF;19780527;0
EFF;19780528;0
EFF;19780529;0
