 

stn;time;hns000d0
LAP;19761101;0
LAP;19761102;-
LAP;19761103;-
LAP;19761104;0
LAP;19761105;0
LAP;19761106;-
LAP;19761107;-
LAP;19761108;0
LAP;19761109;-
LAP;19761110;-
LAP;19761111;0
LAP;19761112;0
LAP;19761113;-
LAP;19761114;-
LAP;19761115;0
LAP;19761116;0
LAP;19761117;0
LAP;19761118;0
LAP;19761119;0
LAP;19761120;0
LAP;19761121;0
LAP;19761122;0
LAP;19761123;0
LAP;19761124;0
LAP;19761125;0
LAP;19761126;0
LAP;19761127;0
LAP;19761128;-
LAP;19761129;-
LAP;19761130;-
LAP;19761201;-
LAP;19761202;0
LAP;19761203;0
LAP;19761204;0
LAP;19761205;0
LAP;19761206;0
LAP;19761207;-
LAP;19761208;-
LAP;19761209;-
LAP;19761210;0
LAP;19761211;3
LAP;19761212;1
LAP;19761213;0
LAP;19761214;0
LAP;19761215;0
LAP;19761216;0
LAP;19761217;0
LAP;19761218;0
LAP;19761219;0
LAP;19761220;0
LAP;19761221;0
LAP;19761222;0
LAP;19761223;0
LAP;19761224;0
LAP;19761225;0
LAP;19761226;0
LAP;19761227;0
LAP;19761228;15
LAP;19761229;0
LAP;19761230;0
LAP;19761231;0
LAP;19770101;0
LAP;19770102;0
LAP;19770103;0
LAP;19770104;0
LAP;19770105;0
LAP;19770106;0
LAP;19770107;0
LAP;19770108;0
LAP;19770109;2
LAP;19770110;7
LAP;19770111;17
LAP;19770112;5
LAP;19770113;0
LAP;19770114;5
LAP;19770115;1
LAP;19770116;1
LAP;19770117;4
LAP;19770118;0
LAP;19770119;4
LAP;19770120;0
LAP;19770121;0
LAP;19770122;0
LAP;19770123;0
LAP;19770124;0
LAP;19770125;0
LAP;19770126;0
LAP;19770127;0
LAP;19770128;0
LAP;19770129;0
LAP;19770130;0
LAP;19770131;0
LAP;19770201;0
LAP;19770202;0
LAP;19770203;0
LAP;19770204;0
LAP;19770205;0
LAP;19770206;0
LAP;19770207;0
LAP;19770208;0
LAP;19770209;0
LAP;19770210;0
LAP;19770211;0
LAP;19770212;0
LAP;19770213;0
LAP;19770214;0
LAP;19770215;2
LAP;19770216;0
LAP;19770217;0
LAP;19770218;0
LAP;19770219;0
LAP;19770220;0
LAP;19770221;0
LAP;19770222;0
LAP;19770223;0
LAP;19770224;0
LAP;19770225;0
LAP;19770226;0
LAP;19770227;0
LAP;19770228;0
LAP;19770301;-
LAP;19770302;-
LAP;19770303;-
LAP;19770304;0
LAP;19770305;0
LAP;19770306;0
LAP;19770307;-
LAP;19770308;0
LAP;19770309;-
LAP;19770310;0
LAP;19770311;0
LAP;19770312;-
LAP;19770313;-
LAP;19770314;-
LAP;19770315;-
LAP;19770316;0
LAP;19770317;-
LAP;19770318;-
LAP;19770319;0
LAP;19770320;-
LAP;19770321;0
LAP;19770322;0
LAP;19770323;-
LAP;19770324;0
LAP;19770325;0
LAP;19770326;-
LAP;19770327;-
LAP;19770328;0
LAP;19770329;0
LAP;19770330;0
LAP;19770331;-
LAP;19770401;-
LAP;19770402;-
LAP;19770403;-
LAP;19770404;-
LAP;19770405;0
LAP;19770406;0
LAP;19770407;0
LAP;19770408;0
LAP;19770409;0
LAP;19770410;0
LAP;19770411;-
LAP;19770412;-
LAP;19770413;-
LAP;19770414;-
LAP;19770415;-
LAP;19770416;0
LAP;19770417;0
LAP;19770418;-
LAP;19770419;-
LAP;19770420;0
LAP;19770421;0
LAP;19770422;0
LAP;19770423;-
LAP;19770424;-
LAP;19770425;-
LAP;19770426;-
LAP;19770427;-
LAP;19770428;-
LAP;19770429;-
LAP;19770430;-
LAP;19770501;-
LAP;19770502;0
LAP;19770503;0
LAP;19770504;-
LAP;19770505;0
LAP;19770506;0
LAP;19770507;-
LAP;19770508;-
LAP;19770509;-
LAP;19770510;-
LAP;19770511;0
LAP;19770512;-
LAP;19770513;0
LAP;19770514;-
LAP;19770515;0
LAP;19770516;0
LAP;19770517;0
LAP;19770518;0
LAP;19770519;0
LAP;19770520;-
LAP;19770521;0
LAP;19770522;-
LAP;19770523;0
LAP;19770524;-
LAP;19770525;-
LAP;19770526;-
LAP;19770527;0
LAP;19770528;0
LAP;19770529;0
LAP;19770530;-
