 

stn;time;hns000d0
SCH;19751102;0
SCH;19751103;0
SCH;19751104;0
SCH;19751105;0
SCH;19751106;0
SCH;19751107;-
SCH;19751108;0
SCH;19751109;-
SCH;19751110;0
SCH;19751111;0
SCH;19751112;-
SCH;19751113;-
SCH;19751114;-
SCH;19751115;-
SCH;19751116;-
SCH;19751117;-
SCH;19751118;7
SCH;19751119;-
SCH;19751120;-
SCH;19751121;-
SCH;19751122;-
SCH;19751123;0
SCH;19751124;0
SCH;19751125;0
SCH;19751126;-
SCH;19751127;-
SCH;19751128;-
SCH;19751129;-
SCH;19751130;-
SCH;19751201;-
SCH;19751202;-
SCH;19751203;-
SCH;19751204;0
SCH;19751205;0
SCH;19751206;-
SCH;19751207;0
SCH;19751208;0
SCH;19751209;0
SCH;19751210;0
SCH;19751211;0
SCH;19751212;0
SCH;19751213;-
SCH;19751214;0
SCH;19751215;0
SCH;19751216;0
SCH;19751217;3
SCH;19751218;-
SCH;19751219;0
SCH;19751220;0
SCH;19751221;0
SCH;19751222;0
SCH;19751223;0
SCH;19751224;0
SCH;19751225;-
SCH;19751226;0
SCH;19751227;0
SCH;19751228;0
SCH;19751229;0
SCH;19751230;0
SCH;19751231;0
SCH;19760101;-
SCH;19760102;-
SCH;19760103;-
SCH;19760104;0
SCH;19760105;0
SCH;19760106;-
SCH;19760107;0
SCH;19760108;-
SCH;19760109;0
SCH;19760110;-
SCH;19760111;-
SCH;19760112;-
SCH;19760113;0
SCH;19760114;0
SCH;19760115;-
SCH;19760116;-
SCH;19760117;-
SCH;19760118;0
SCH;19760119;-
SCH;19760120;-
SCH;19760121;-
SCH;19760122;-
SCH;19760123;7
SCH;19760124;0
SCH;19760125;1
SCH;19760126;2
SCH;19760127;4
SCH;19760128;0
SCH;19760129;0
SCH;19760130;0
SCH;19760131;0
SCH;19760201;0
SCH;19760202;0
SCH;19760203;0
SCH;19760204;0
SCH;19760205;0
SCH;19760206;0
SCH;19760207;0
SCH;19760208;-
SCH;19760209;-
SCH;19760210;-
SCH;19760211;-
SCH;19760212;15
SCH;19760213;-
SCH;19760214;-
SCH;19760215;0
SCH;19760216;0
SCH;19760217;0
SCH;19760218;0
SCH;19760219;0
SCH;19760220;0
SCH;19760221;0
SCH;19760222;0
SCH;19760223;0
SCH;19760224;0
SCH;19760225;0
SCH;19760226;0
SCH;19760227;0
SCH;19760228;0
SCH;19760229;0
SCH;19760301;0
SCH;19760302;0
SCH;19760303;0
SCH;19760304;0
SCH;19760305;0
SCH;19760306;0
SCH;19760307;0
SCH;19760308;0
SCH;19760309;0
SCH;19760310;0
SCH;19760311;0
SCH;19760312;-
SCH;19760313;-
SCH;19760314;0
SCH;19760315;0
SCH;19760316;-
SCH;19760317;-
SCH;19760318;-
SCH;19760319;0
SCH;19760320;0
SCH;19760321;0
SCH;19760322;2
SCH;19760323;0
SCH;19760324;0
SCH;19760325;-
SCH;19760326;0
SCH;19760327;0
SCH;19760328;0
SCH;19760329;0
SCH;19760330;0
SCH;19760331;0
SCH;19760401;0
SCH;19760402;0
SCH;19760403;0
SCH;19760404;0
SCH;19760405;0
SCH;19760406;-
SCH;19760407;-
SCH;19760408;0
SCH;19760409;0
SCH;19760410;0
SCH;19760411;0
SCH;19760412;0
SCH;19760413;0
SCH;19760414;-
SCH;19760415;0
SCH;19760416;0
SCH;19760417;0
SCH;19760418;0
SCH;19760419;0
SCH;19760420;0
SCH;19760421;0
SCH;19760422;-
SCH;19760423;-
SCH;19760424;-
SCH;19760425;-
SCH;19760426;-
SCH;19760427;0
SCH;19760428;0
SCH;19760429;0
SCH;19760430;0
SCH;19760501;0
SCH;19760502;0
SCH;19760503;-
SCH;19760504;-
SCH;19760505;0
SCH;19760506;0
SCH;19760507;0
SCH;19760508;0
SCH;19760509;0
SCH;19760510;-
SCH;19760511;-
SCH;19760512;-
SCH;19760513;-
SCH;19760514;0
SCH;19760515;0
SCH;19760516;0
SCH;19760517;0
SCH;19760518;-
SCH;19760519;-
SCH;19760520;-
SCH;19760521;-
SCH;19760522;-
SCH;19760523;0
SCH;19760524;0
SCH;19760525;-
SCH;19760526;0
SCH;19760527;0
SCH;19760528;0
SCH;19760529;-
SCH;19760530;-
