 

stn;time;hns000d0
BIZ;19781102;0
BIZ;19781103;0
BIZ;19781104;0
BIZ;19781105;0
BIZ;19781106;0
BIZ;19781107;0
BIZ;19781108;-
BIZ;19781109;-
BIZ;19781110;-
BIZ;19781111;-
BIZ;19781112;-
BIZ;19781113;-
BIZ;19781114;-
BIZ;19781115;-
BIZ;19781116;-
BIZ;19781117;-
BIZ;19781118;-
BIZ;19781119;-
BIZ;19781120;0
BIZ;19781121;-
BIZ;19781122;-
BIZ;19781123;0
BIZ;19781124;0
BIZ;19781125;-
BIZ;19781126;-
BIZ;19781127;7
BIZ;19781128;2
BIZ;19781129;4
BIZ;19781130;1
BIZ;19781201;0
BIZ;19781202;0
BIZ;19781203;0
BIZ;19781204;0
BIZ;19781205;0
BIZ;19781206;0
BIZ;19781207;0
BIZ;19781208;-
BIZ;19781209;-
BIZ;19781210;0
BIZ;19781211;0
BIZ;19781212;-
BIZ;19781213;-
BIZ;19781214;-
BIZ;19781215;-
BIZ;19781216;-
BIZ;19781217;-
BIZ;19781218;-
BIZ;19781219;0
BIZ;19781220;0
BIZ;19781221;0
BIZ;19781222;0
BIZ;19781223;-
BIZ;19781224;-
BIZ;19781225;-
BIZ;19781226;-
BIZ;19781227;-
BIZ;19781228;-
BIZ;19781229;-
BIZ;19781230;-
BIZ;19781231;-
BIZ;19790101;3
BIZ;19790102;-
BIZ;19790103;5
BIZ;19790104;-
BIZ;19790105;-
BIZ;19790106;1
BIZ;19790107;-
BIZ;19790108;-
BIZ;19790109;-
BIZ;19790110;-
BIZ;19790111;3
BIZ;19790112;5
BIZ;19790113;4
BIZ;19790114;2
BIZ;19790115;1
BIZ;19790116;-
BIZ;19790117;5
BIZ;19790118;-
BIZ;19790119;0
BIZ;19790120;-
BIZ;19790121;-
BIZ;19790122;-
BIZ;19790123;-
BIZ;19790124;3
BIZ;19790125;-
BIZ;19790126;9
BIZ;19790127;-
BIZ;19790128;3
BIZ;19790129;1
BIZ;19790130;2
BIZ;19790131;-
BIZ;19790201;-
BIZ;19790202;-
BIZ;19790203;-
BIZ;19790204;-
BIZ;19790205;1
BIZ;19790206;-
BIZ;19790207;-
BIZ;19790208;-
BIZ;19790209;-
BIZ;19790210;-
BIZ;19790211;-
BIZ;19790212;-
BIZ;19790213;-
BIZ;19790214;0
BIZ;19790215;-
BIZ;19790216;-
BIZ;19790217;-
BIZ;19790218;2
BIZ;19790219;-
BIZ;19790220;0
BIZ;19790221;0
BIZ;19790222;-
BIZ;19790223;4
BIZ;19790224;-
BIZ;19790225;0
BIZ;19790226;0
BIZ;19790227;0
BIZ;19790228;-
BIZ;19790301;-
BIZ;19790302;0
BIZ;19790303;0
BIZ;19790304;-
BIZ;19790305;-
BIZ;19790306;-
BIZ;19790307;-
BIZ;19790308;-
BIZ;19790309;-
BIZ;19790310;-
BIZ;19790311;-
BIZ;19790312;-
BIZ;19790313;-
BIZ;19790314;0
BIZ;19790315;-
BIZ;19790316;-
BIZ;19790317;-
BIZ;19790318;-
BIZ;19790319;0
BIZ;19790320;-
BIZ;19790321;-
BIZ;19790322;-
BIZ;19790323;-
BIZ;19790324;-
BIZ;19790325;-
BIZ;19790326;-
BIZ;19790327;0
BIZ;19790328;-
BIZ;19790329;-
BIZ;19790330;-
BIZ;19790331;-
BIZ;19790401;-
BIZ;19790402;-
BIZ;19790403;-
BIZ;19790404;-
BIZ;19790405;-
BIZ;19790406;-
BIZ;19790407;-
BIZ;19790408;0
BIZ;19790409;0
BIZ;19790410;0
BIZ;19790411;-
BIZ;19790412;-
BIZ;19790413;0
BIZ;19790414;0
BIZ;19790415;0
BIZ;19790416;-
BIZ;19790417;-
BIZ;19790418;-
BIZ;19790419;0
BIZ;19790420;-
BIZ;19790421;-
BIZ;19790422;-
BIZ;19790423;-
BIZ;19790424;-
BIZ;19790425;-
BIZ;19790426;-
BIZ;19790427;-
BIZ;19790428;-
BIZ;19790429;0
BIZ;19790430;-
BIZ;19790501;-
BIZ;19790502;-
BIZ;19790503;-
BIZ;19790504;-
BIZ;19790505;-
BIZ;19790506;-
BIZ;19790507;0
BIZ;19790508;0
BIZ;19790509;-
BIZ;19790510;-
BIZ;19790511;-
BIZ;19790512;-
BIZ;19790513;0
BIZ;19790514;0
BIZ;19790515;0
BIZ;19790516;0
BIZ;19790517;-
BIZ;19790518;0
BIZ;19790519;0
BIZ;19790520;-
BIZ;19790521;0
BIZ;19790522;0
BIZ;19790523;0
BIZ;19790524;-
BIZ;19790525;0
BIZ;19790526;0
BIZ;19790527;-
BIZ;19790528;-
BIZ;19790529;0
BIZ;19790530;-
