 

stn;time;hns000d0
MEV;19761101;0
MEV;19761102;-
MEV;19761103;-
MEV;19761104;-
MEV;19761105;0
MEV;19761106;-
MEV;19761107;-
MEV;19761108;0
MEV;19761109;-
MEV;19761110;-
MEV;19761111;0
MEV;19761112;-
MEV;19761113;-
MEV;19761114;-
MEV;19761115;-
MEV;19761116;0
MEV;19761117;0
MEV;19761118;0
MEV;19761119;0
MEV;19761120;0
MEV;19761121;0
MEV;19761122;-
MEV;19761123;-
MEV;19761124;-
MEV;19761125;-
MEV;19761126;0
MEV;19761127;0
MEV;19761128;-
MEV;19761129;-
MEV;19761130;-
MEV;19761201;-
MEV;19761202;-
MEV;19761203;-
MEV;19761204;-
MEV;19761205;-
MEV;19761206;-
MEV;19761207;-
MEV;19761208;-
MEV;19761209;-
MEV;19761210;-
MEV;19761211;15
MEV;19761212;6
MEV;19761213;0
MEV;19761214;0
MEV;19761215;0
MEV;19761216;0
MEV;19761217;-
MEV;19761218;-
MEV;19761219;0
MEV;19761220;0
MEV;19761221;0
MEV;19761222;0
MEV;19761223;0
MEV;19761224;0
MEV;19761225;0
MEV;19761226;0
MEV;19761227;0
MEV;19761228;5
MEV;19761229;0
MEV;19761230;0
MEV;19761231;0
MEV;19770101;-
MEV;19770102;0
MEV;19770103;0
MEV;19770104;0
MEV;19770105;0
MEV;19770106;0
MEV;19770107;0
MEV;19770108;0
MEV;19770109;0
MEV;19770110;-
MEV;19770111;25
MEV;19770112;3
MEV;19770113;0
MEV;19770114;-
MEV;19770115;9
MEV;19770116;6
MEV;19770117;-
MEV;19770118;0
MEV;19770119;0
MEV;19770120;0
MEV;19770121;0
MEV;19770122;-
MEV;19770123;0
MEV;19770124;0
MEV;19770125;-
MEV;19770126;-
MEV;19770127;0
MEV;19770128;-
MEV;19770129;-
MEV;19770130;8
MEV;19770131;-
MEV;19770201;0
MEV;19770202;0
MEV;19770203;-
MEV;19770204;-
MEV;19770205;-
MEV;19770206;-
MEV;19770207;0
MEV;19770208;-
MEV;19770209;-
MEV;19770210;-
MEV;19770211;-
MEV;19770212;0
MEV;19770213;0
MEV;19770214;0
MEV;19770215;-
MEV;19770216;-
MEV;19770217;-
MEV;19770218;-
MEV;19770219;-
MEV;19770220;0
MEV;19770221;0
MEV;19770222;-
MEV;19770223;-
MEV;19770224;-
MEV;19770225;-
MEV;19770226;-
MEV;19770227;-
MEV;19770228;0
MEV;19770301;0
MEV;19770302;-
MEV;19770303;0
MEV;19770304;-
MEV;19770305;0
MEV;19770306;0
MEV;19770307;0
MEV;19770308;-
MEV;19770309;0
MEV;19770310;0
MEV;19770311;-
MEV;19770312;-
MEV;19770313;-
MEV;19770314;-
MEV;19770315;0
MEV;19770316;0
MEV;19770317;-
MEV;19770318;-
MEV;19770319;-
MEV;19770320;-
MEV;19770321;0
MEV;19770322;-
MEV;19770323;0
MEV;19770324;0
MEV;19770325;0
MEV;19770326;-
MEV;19770327;-
MEV;19770328;15
MEV;19770329;-
MEV;19770330;0
MEV;19770331;0
MEV;19770401;-
MEV;19770402;-
MEV;19770403;-
MEV;19770404;-
MEV;19770405;0
MEV;19770406;0
MEV;19770407;5
MEV;19770408;10
MEV;19770409;-
MEV;19770410;-
MEV;19770411;-
MEV;19770412;-
MEV;19770413;-
MEV;19770414;-
MEV;19770415;-
MEV;19770416;0
MEV;19770417;0
MEV;19770418;-
MEV;19770419;-
MEV;19770420;0
MEV;19770421;0
MEV;19770422;0
MEV;19770423;-
MEV;19770424;-
MEV;19770425;-
MEV;19770426;0
MEV;19770427;-
MEV;19770428;-
MEV;19770429;-
MEV;19770430;-
MEV;19770501;-
MEV;19770502;0
MEV;19770503;-
MEV;19770504;-
MEV;19770505;0
MEV;19770506;0
MEV;19770507;-
MEV;19770508;-
MEV;19770509;-
MEV;19770510;-
MEV;19770511;0
MEV;19770512;-
MEV;19770513;0
MEV;19770514;-
MEV;19770515;-
MEV;19770516;0
MEV;19770517;0
MEV;19770518;0
MEV;19770519;0
MEV;19770520;-
MEV;19770521;-
MEV;19770522;0
MEV;19770523;0
MEV;19770524;0
MEV;19770525;-
MEV;19770526;0
MEV;19770527;0
MEV;19770528;0
MEV;19770529;0
MEV;19770530;0
