 

stn;time;hns000d0
WAG;19771103;0
WAG;19771104;-
WAG;19771105;0
WAG;19771106;-
WAG;19771107;0
WAG;19771108;0
WAG;19771109;0
WAG;19771110;0
WAG;19771111;0
WAG;19771112;-
WAG;19771113;-
WAG;19771114;0
WAG;19771115;-
WAG;19771116;3
WAG;19771117;7
WAG;19771118;4
WAG;19771119;0
WAG;19771120;0
WAG;19771121;3
WAG;19771122;2
WAG;19771123;0
WAG;19771124;0
WAG;19771125;3
WAG;19771126;1
WAG;19771127;0
WAG;19771128;0
WAG;19771129;0
WAG;19771130;0
WAG;19771201;0
WAG;19771202;0
WAG;19771203;0
WAG;19771204;0
WAG;19771205;0
WAG;19771206;-
WAG;19771207;0
WAG;19771208;-
WAG;19771209;-
WAG;19771210;0
WAG;19771211;0
WAG;19771212;-
WAG;19771213;-
WAG;19771214;0
WAG;19771215;0
WAG;19771216;0
WAG;19771217;0
WAG;19771218;-
WAG;19771219;-
WAG;19771220;0
WAG;19771221;-
WAG;19771222;-
WAG;19771223;-
WAG;19771224;-
WAG;19771225;-
WAG;19771226;-
WAG;19771227;-
WAG;19771228;1
WAG;19771229;-
WAG;19771230;1
WAG;19771231;0
WAG;19780101;0
WAG;19780102;0
WAG;19780103;3
WAG;19780104;6
WAG;19780105;0
WAG;19780106;0
WAG;19780107;0
WAG;19780108;0
WAG;19780109;0
WAG;19780110;0
WAG;19780111;2
WAG;19780112;1
WAG;19780113;0
WAG;19780114;0
WAG;19780115;0
WAG;19780116;0
WAG;19780117;1
WAG;19780118;0
WAG;19780119;0
WAG;19780120;3
WAG;19780121;1
WAG;19780122;0
WAG;19780123;0
WAG;19780124;0
WAG;19780125;0
WAG;19780126;4
WAG;19780127;0
WAG;19780128;6
WAG;19780129;0
WAG;19780130;4
WAG;19780131;2
WAG;19780201;0
WAG;19780202;2
WAG;19780203;1
WAG;19780204;0
WAG;19780205;4
WAG;19780206;3
WAG;19780207;2
WAG;19780208;0
WAG;19780209;0
WAG;19780210;0
WAG;19780211;3
WAG;19780212;0
WAG;19780213;0
WAG;19780214;0
WAG;19780215;5
WAG;19780216;8
WAG;19780217;1
WAG;19780218;4
WAG;19780219;2
WAG;19780220;0
WAG;19780221;0
WAG;19780222;0
WAG;19780223;0
WAG;19780224;0
WAG;19780225;0
WAG;19780226;0
WAG;19780227;0
WAG;19780228;0
WAG;19780301;0
WAG;19780302;0
WAG;19780303;0
WAG;19780304;-
WAG;19780305;-
WAG;19780306;0
WAG;19780307;0
WAG;19780308;0
WAG;19780309;0
WAG;19780310;0
WAG;19780311;0
WAG;19780312;-
WAG;19780313;-
WAG;19780314;-
WAG;19780315;-
WAG;19780316;2
WAG;19780317;5
WAG;19780318;0
WAG;19780319;3
WAG;19780320;0
WAG;19780321;2
WAG;19780322;1
WAG;19780323;4
WAG;19780324;6
WAG;19780325;0
WAG;19780326;4
WAG;19780327;0
WAG;19780328;0
WAG;19780329;0
WAG;19780330;0
WAG;19780331;0
WAG;19780401;0
WAG;19780402;0
WAG;19780403;-
WAG;19780404;0
WAG;19780405;-
WAG;19780406;-
WAG;19780407;0
WAG;19780408;0
WAG;19780409;0
WAG;19780410;-
WAG;19780411;0
WAG;19780412;0
WAG;19780413;0
WAG;19780414;0
WAG;19780415;-
WAG;19780416;1
WAG;19780417;0
WAG;19780418;-
WAG;19780419;-
WAG;19780420;-
WAG;19780421;-
WAG;19780422;0
WAG;19780423;0
WAG;19780424;0
WAG;19780425;0
WAG;19780426;0
WAG;19780427;-
WAG;19780428;0
WAG;19780429;0
WAG;19780430;-
WAG;19780501;-
WAG;19780502;-
WAG;19780503;0
WAG;19780504;0
WAG;19780505;-
WAG;19780506;-
WAG;19780507;-
WAG;19780508;-
WAG;19780509;-
WAG;19780510;0
WAG;19780511;-
WAG;19780512;-
WAG;19780513;-
WAG;19780514;-
WAG;19780515;-
WAG;19780516;0
WAG;19780517;-
WAG;19780518;-
WAG;19780519;-
WAG;19780520;-
WAG;19780521;0
WAG;19780522;-
WAG;19780523;-
WAG;19780524;-
WAG;19780525;0
WAG;19780526;0
WAG;19780527;0
WAG;19780528;0
WAG;19780529;0
WAG;19780530;0
