 

stn;time;hns000d0
BRZ;19711101;0
BRZ;19711102;0
BRZ;19711103;0
BRZ;19711104;0
BRZ;19711105;0
BRZ;19711106;0
BRZ;19711107;-
BRZ;19711108;-
BRZ;19711109;-
BRZ;19711110;0
BRZ;19711111;0
BRZ;19711112;0
BRZ;19711113;0
BRZ;19711114;0
BRZ;19711115;0
BRZ;19711116;0
BRZ;19711117;-
BRZ;19711118;-
BRZ;19711119;-
BRZ;19711120;10
BRZ;19711121;1
BRZ;19711122;13
BRZ;19711123;8
BRZ;19711124;0
BRZ;19711125;0
BRZ;19711126;0
BRZ;19711127;0
BRZ;19711128;-
BRZ;19711129;-
BRZ;19711130;-
BRZ;19711201;-
BRZ;19711202;-
BRZ;19711203;0
BRZ;19711204;0
BRZ;19711205;0
BRZ;19711206;0
BRZ;19711207;0
BRZ;19711208;-
BRZ;19711209;-
BRZ;19711210;11
BRZ;19711211;15
BRZ;19711212;0
BRZ;19711213;0
BRZ;19711214;0
BRZ;19711215;0
BRZ;19711216;0
BRZ;19711217;0
BRZ;19711218;0
BRZ;19711219;-
BRZ;19711220;-
BRZ;19711221;0
BRZ;19711222;0
BRZ;19711223;0
BRZ;19711224;0
BRZ;19711225;0
BRZ;19711226;0
BRZ;19711227;0
BRZ;19711228;0
BRZ;19711229;0
BRZ;19711230;0
BRZ;19711231;0
BRZ;19720101;0
BRZ;19720102;-
BRZ;19720103;-
BRZ;19720104;0
BRZ;19720105;0
BRZ;19720106;0
BRZ;19720107;0
BRZ;19720108;0
BRZ;19720109;0
BRZ;19720110;0
BRZ;19720111;0
BRZ;19720112;0
BRZ;19720113;0
BRZ;19720114;0
BRZ;19720115;0
BRZ;19720116;0
BRZ;19720117;0
BRZ;19720118;0
BRZ;19720119;0
BRZ;19720120;0
BRZ;19720121;-
BRZ;19720122;1
BRZ;19720123;0
BRZ;19720124;-
BRZ;19720125;4
BRZ;19720126;-
BRZ;19720127;4
BRZ;19720128;1
BRZ;19720129;0
BRZ;19720130;0
BRZ;19720131;0
BRZ;19720201;0
BRZ;19720202;0
BRZ;19720203;0
BRZ;19720204;0
BRZ;19720205;0
BRZ;19720206;0
BRZ;19720207;0
BRZ;19720208;0
BRZ;19720209;-
BRZ;19720210;0
BRZ;19720211;-
BRZ;19720212;0
BRZ;19720213;-
BRZ;19720214;4
BRZ;19720215;0
BRZ;19720216;0
BRZ;19720217;0
BRZ;19720218;0
BRZ;19720219;0
BRZ;19720220;0
BRZ;19720221;0
BRZ;19720222;0
BRZ;19720223;0
BRZ;19720224;0
BRZ;19720225;0
BRZ;19720226;-
BRZ;19720227;-
BRZ;19720228;0
BRZ;19720229;0
BRZ;19720301;-
BRZ;19720302;0
BRZ;19720303;0
BRZ;19720304;0
BRZ;19720305;-
BRZ;19720306;-
BRZ;19720307;-
BRZ;19720308;0
BRZ;19720309;-
BRZ;19720310;-
BRZ;19720311;0
BRZ;19720312;0
BRZ;19720313;0
BRZ;19720314;0
BRZ;19720315;0
BRZ;19720316;0
BRZ;19720317;0
BRZ;19720318;0
BRZ;19720319;0
BRZ;19720320;0
BRZ;19720321;0
BRZ;19720322;0
BRZ;19720323;0
BRZ;19720324;0
BRZ;19720325;0
BRZ;19720326;-
BRZ;19720327;0
BRZ;19720328;-
BRZ;19720329;0
BRZ;19720330;0
BRZ;19720331;-
BRZ;19720401;-
BRZ;19720402;-
BRZ;19720403;0
BRZ;19720404;-
BRZ;19720405;0
BRZ;19720406;-
BRZ;19720407;-
BRZ;19720408;-
BRZ;19720409;-
BRZ;19720410;-
BRZ;19720411;-
BRZ;19720412;-
BRZ;19720413;0
BRZ;19720414;0
BRZ;19720415;-
BRZ;19720416;3
BRZ;19720417;0
BRZ;19720418;0
BRZ;19720419;-
BRZ;19720420;0
BRZ;19720421;-
BRZ;19720422;0
BRZ;19720423;0
BRZ;19720424;-
BRZ;19720425;0
BRZ;19720426;0
BRZ;19720427;-
BRZ;19720428;-
BRZ;19720429;0
BRZ;19720430;0
BRZ;19720501;0
BRZ;19720502;0
BRZ;19720503;-
BRZ;19720504;-
BRZ;19720505;-
BRZ;19720506;-
BRZ;19720507;-
BRZ;19720508;-
BRZ;19720509;-
BRZ;19720510;-
BRZ;19720511;0
BRZ;19720512;-
BRZ;19720513;-
BRZ;19720514;-
BRZ;19720515;-
BRZ;19720516;-
BRZ;19720517;-
BRZ;19720518;-
BRZ;19720519;-
BRZ;19720520;-
BRZ;19720521;0
BRZ;19720522;0
BRZ;19720523;-
BRZ;19720524;-
BRZ;19720525;0
BRZ;19720526;-
BRZ;19720527;-
