 

stn;time;hns000d0
ROT;19801101;0
ROT;19801102;0
ROT;19801103;0
ROT;19801104;0
ROT;19801105;0
ROT;19801106;0
ROT;19801107;0
ROT;19801108;0
ROT;19801109;0
ROT;19801110;0
ROT;19801111;0
ROT;19801112;-
ROT;19801113;0
ROT;19801114;0
ROT;19801115;0
ROT;19801116;0
ROT;19801117;0
ROT;19801118;-
ROT;19801119;0
ROT;19801120;0
ROT;19801121;0
ROT;19801122;0
ROT;19801123;0
ROT;19801124;0
ROT;19801125;0
ROT;19801126;-
ROT;19801127;-
ROT;19801128;-
ROT;19801129;2
ROT;19801130;0
ROT;19801201;0
ROT;19801202;1
ROT;19801203;0
ROT;19801204;13
ROT;19801205;2
ROT;19801206;12
ROT;19801207;0
ROT;19801208;0
ROT;19801209;0
ROT;19801210;0
ROT;19801211;0
ROT;19801212;0
ROT;19801213;0
ROT;19801214;0
ROT;19801215;-
ROT;19801216;0
ROT;19801217;0
ROT;19801218;0
ROT;19801219;0
ROT;19801220;0
ROT;19801221;2
ROT;19801222;1
ROT;19801223;0
ROT;19801224;0
ROT;19801225;0
ROT;19801226;1
ROT;19801227;0
ROT;19801228;0
ROT;19801229;0
ROT;19801230;0
