 

stn;time;hns000d0
SPZ;19771103;0
SPZ;19771104;-
SPZ;19771105;0
SPZ;19771106;0
SPZ;19771107;0
SPZ;19771108;0
SPZ;19771109;0
SPZ;19771110;0
SPZ;19771111;0
SPZ;19771112;-
SPZ;19771113;1
SPZ;19771114;0
SPZ;19771115;5
SPZ;19771116;3
SPZ;19771117;19
SPZ;19771118;5
SPZ;19771119;0
SPZ;19771120;0
SPZ;19771121;3
SPZ;19771122;7
SPZ;19771123;7
SPZ;19771124;7
SPZ;19771125;5
SPZ;19771126;-
SPZ;19771127;-
SPZ;19771128;0
SPZ;19771129;0
SPZ;19771130;0
SPZ;19771201;0
SPZ;19771202;0
SPZ;19771203;0
SPZ;19771204;0
SPZ;19771205;0
SPZ;19771206;-
SPZ;19771207;0
SPZ;19771208;-
SPZ;19771209;-
SPZ;19771210;0
SPZ;19771211;0
SPZ;19771212;-
SPZ;19771213;-
SPZ;19771214;0
SPZ;19771215;0
SPZ;19771216;0
SPZ;19771217;0
SPZ;19771218;0
SPZ;19771219;0
SPZ;19771220;0
SPZ;19771221;0
SPZ;19771222;-
SPZ;19771223;-
SPZ;19771224;-
SPZ;19771225;-
SPZ;19771226;-
SPZ;19771227;-
SPZ;19771228;5
SPZ;19771229;1
SPZ;19771230;2
SPZ;19771231;1
SPZ;19780101;0
SPZ;19780102;-
SPZ;19780103;1
SPZ;19780104;15
SPZ;19780105;4
SPZ;19780106;0
SPZ;19780107;0
SPZ;19780108;0
SPZ;19780109;0
SPZ;19780110;-
SPZ;19780111;7
SPZ;19780112;4
SPZ;19780113;2
SPZ;19780114;0
SPZ;19780115;0
SPZ;19780116;0
SPZ;19780117;1
SPZ;19780118;0
SPZ;19780119;0
SPZ;19780120;4
SPZ;19780121;1
SPZ;19780122;-
SPZ;19780123;-
SPZ;19780124;-
SPZ;19780125;1
SPZ;19780126;8
SPZ;19780127;-
SPZ;19780128;10
SPZ;19780129;2
SPZ;19780130;18
SPZ;19780131;5
SPZ;19780201;5
SPZ;19780202;14
SPZ;19780203;7
SPZ;19780204;0
SPZ;19780205;4
SPZ;19780206;5
SPZ;19780207;5
SPZ;19780208;1
SPZ;19780209;1
SPZ;19780210;0
SPZ;19780211;-
SPZ;19780212;1
SPZ;19780213;-
SPZ;19780214;1
SPZ;19780215;3
SPZ;19780216;21
SPZ;19780217;3
SPZ;19780218;3
SPZ;19780219;6
SPZ;19780220;0
SPZ;19780221;-
SPZ;19780222;0
SPZ;19780223;0
SPZ;19780224;0
SPZ;19780225;0
SPZ;19780226;0
SPZ;19780227;-
SPZ;19780228;0
SPZ;19780301;0
SPZ;19780302;0
SPZ;19780303;0
SPZ;19780304;-
SPZ;19780305;-
SPZ;19780306;-
SPZ;19780307;0
SPZ;19780308;0
SPZ;19780309;0
SPZ;19780310;0
SPZ;19780311;0
SPZ;19780312;-
SPZ;19780313;-
SPZ;19780314;-
SPZ;19780315;-
SPZ;19780316;17
SPZ;19780317;2
SPZ;19780318;2
SPZ;19780319;2
SPZ;19780320;0
SPZ;19780321;1
SPZ;19780322;-
SPZ;19780323;8
SPZ;19780324;8
SPZ;19780325;2
SPZ;19780326;10
SPZ;19780327;-
SPZ;19780328;0
SPZ;19780329;0
SPZ;19780330;0
SPZ;19780331;0
SPZ;19780401;0
SPZ;19780402;0
SPZ;19780403;0
SPZ;19780404;0
SPZ;19780405;-
SPZ;19780406;-
SPZ;19780407;0
SPZ;19780408;0
SPZ;19780409;-
SPZ;19780410;-
SPZ;19780411;4
SPZ;19780412;0
SPZ;19780413;0
SPZ;19780414;0
SPZ;19780415;-
SPZ;19780416;20
SPZ;19780417;-
SPZ;19780418;-
SPZ;19780419;-
SPZ;19780420;-
SPZ;19780421;-
SPZ;19780422;0
SPZ;19780423;0
SPZ;19780424;0
SPZ;19780425;0
SPZ;19780426;0
SPZ;19780427;-
SPZ;19780428;0
SPZ;19780429;0
SPZ;19780430;0
SPZ;19780501;-
SPZ;19780502;-
SPZ;19780503;0
SPZ;19780504;0
SPZ;19780505;-
SPZ;19780506;-
SPZ;19780507;-
SPZ;19780508;-
SPZ;19780509;-
SPZ;19780510;-
SPZ;19780511;-
SPZ;19780512;-
SPZ;19780513;-
SPZ;19780514;-
SPZ;19780515;-
SPZ;19780516;-
SPZ;19780517;-
SPZ;19780518;-
SPZ;19780519;-
SPZ;19780520;-
SPZ;19780521;-
SPZ;19780522;-
SPZ;19780523;-
SPZ;19780524;-
SPZ;19780525;-
SPZ;19780526;0
SPZ;19780527;0
SPZ;19780528;0
SPZ;19780529;0
