 

stn;time;hns000d0
BOV;19661203;5
BOV;19661204;-
BOV;19661205;0
BOV;19661206;0
BOV;19661207;0
BOV;19661208;-
BOV;19661209;-
BOV;19661210;-
BOV;19661211;-
BOV;19661212;-
BOV;19661213;-
BOV;19661214;-
BOV;19661215;-
BOV;19661216;0
BOV;19661217;0
BOV;19661218;0
BOV;19661219;0
BOV;19661220;-
BOV;19661221;-
BOV;19661222;13
BOV;19661223;-
BOV;19661224;-
BOV;19661225;-
BOV;19661226;0
BOV;19661227;5
BOV;19661228;-
BOV;19661229;-
BOV;19661230;-
BOV;19661231;-
BOV;19670101;-
BOV;19670102;-
BOV;19670103;0
BOV;19670104;2
BOV;19670105;-
BOV;19670106;-
BOV;19670107;0
BOV;19670108;0
BOV;19670109;0
BOV;19670110;0
BOV;19670111;0
BOV;19670112;-
BOV;19670113;0
BOV;19670114;-
BOV;19670115;0
BOV;19670116;0
BOV;19670117;0
BOV;19670118;0
BOV;19670119;0
BOV;19670120;-
BOV;19670121;-
BOV;19670122;-
BOV;19670123;6
BOV;19670124;-
BOV;19670125;-
BOV;19670126;-
BOV;19670127;0
BOV;19670128;0
BOV;19670129;0
BOV;19670130;0
BOV;19670131;0
BOV;19670201;0
BOV;19670202;0
BOV;19670203;0
BOV;19670204;0
BOV;19670205;0
BOV;19670206;0
BOV;19670207;0
BOV;19670208;0
BOV;19670209;0
BOV;19670210;0
BOV;19670211;0
BOV;19670212;0
BOV;19670213;0
BOV;19670214;0
BOV;19670215;0
BOV;19670216;0
BOV;19670217;-
BOV;19670218;-
BOV;19670219;-
BOV;19670220;-
BOV;19670221;-
BOV;19670222;0
BOV;19670223;-
BOV;19670224;0
BOV;19670225;0
BOV;19670226;-
BOV;19670227;-
BOV;19670228;-
BOV;19670301;-
BOV;19670302;0
BOV;19670303;0
BOV;19670304;0
BOV;19670305;-
BOV;19670306;0
BOV;19670307;-
BOV;19670308;0
BOV;19670309;-
BOV;19670310;-
BOV;19670311;-
BOV;19670312;-
BOV;19670313;-
BOV;19670314;0
BOV;19670315;0
BOV;19670316;-
BOV;19670317;-
BOV;19670318;-
BOV;19670319;-
BOV;19670320;-
BOV;19670321;0
BOV;19670322;0
BOV;19670323;-
BOV;19670324;0
BOV;19670325;0
BOV;19670326;-
BOV;19670327;0
BOV;19670328;-
BOV;19670329;0
BOV;19670330;0
BOV;19670331;0
BOV;19670401;0
BOV;19670402;0
BOV;19670403;-
BOV;19670404;-
BOV;19670405;-
BOV;19670406;-
BOV;19670407;0
BOV;19670408;0
BOV;19670409;-
BOV;19670410;-
BOV;19670411;0
BOV;19670412;0
BOV;19670413;0
BOV;19670414;0
BOV;19670415;0
BOV;19670416;0
BOV;19670417;0
BOV;19670418;-
BOV;19670419;0
BOV;19670420;0
BOV;19670421;-
BOV;19670422;-
BOV;19670423;-
BOV;19670424;0
BOV;19670425;0
BOV;19670426;0
BOV;19670427;0
BOV;19670428;0
BOV;19670429;0
BOV;19670430;0
BOV;19670501;-
BOV;19670502;-
BOV;19670503;-
BOV;19670504;0
BOV;19670505;0
BOV;19670506;-
BOV;19670507;-
BOV;19670508;0
BOV;19670509;0
BOV;19670510;0
BOV;19670511;0
BOV;19670512;-
BOV;19670513;-
BOV;19670514;-
BOV;19670515;-
BOV;19670516;-
BOV;19670517;-
BOV;19670518;0
BOV;19670519;0
BOV;19670520;0
BOV;19670521;0
BOV;19670522;-
BOV;19670523;-
BOV;19670524;-
BOV;19670525;-
BOV;19670526;0
BOV;19670527;0
BOV;19670528;-
