 

stn;time;hns000d0
SLF5TH;20001031;0
SLF5TH;20001101;0
SLF5TH;20001102;0
SLF5TH;20001103;0
SLF5TH;20001104;0
SLF5TH;20001105;0
SLF5TH;20001106;0
SLF5TH;20001107;0
SLF5TH;20001108;0
SLF5TH;20001109;0
SLF5TH;20001110;0
SLF5TH;20001111;0
SLF5TH;20001112;0
SLF5TH;20001113;0
SLF5TH;20001114;0
SLF5TH;20001115;0
SLF5TH;20001116;5
SLF5TH;20001117;1
SLF5TH;20001118;0
SLF5TH;20001119;1
SLF5TH;20001120;0
SLF5TH;20001121;0
SLF5TH;20001122;0
SLF5TH;20001123;0
SLF5TH;20001124;1
SLF5TH;20001125;0
SLF5TH;20001126;0
SLF5TH;20001127;0
SLF5TH;20001128;0
SLF5TH;20001129;0
SLF5TH;20001130;0
SLF5TH;20001201;0
SLF5TH;20001202;0
SLF5TH;20001203;0
SLF5TH;20001204;0
SLF5TH;20001205;0
SLF5TH;20001206;0
SLF5TH;20001207;0
SLF5TH;20001208;0
SLF5TH;20001209;0
SLF5TH;20001210;0
SLF5TH;20001211;0
SLF5TH;20001212;0
SLF5TH;20001213;0
SLF5TH;20001214;0
SLF5TH;20001215;1
SLF5TH;20001216;0
SLF5TH;20001217;0
SLF5TH;20001218;0
SLF5TH;20001219;0
SLF5TH;20001220;0
SLF5TH;20001221;0
SLF5TH;20001222;0
SLF5TH;20001223;0
SLF5TH;20001224;0
SLF5TH;20001225;1
SLF5TH;20001226;0
SLF5TH;20001227;0
SLF5TH;20001228;0
SLF5TH;20001229;0
SLF5TH;20001230;0
SLF5TH;20001231;0
SLF5TH;20010101;0
SLF5TH;20010102;0
SLF5TH;20010103;0
SLF5TH;20010104;0
SLF5TH;20010105;0
SLF5TH;20010106;0
SLF5TH;20010107;0
SLF5TH;20010108;0
SLF5TH;20010109;0
SLF5TH;20010110;0
SLF5TH;20010111;0
SLF5TH;20010112;0
SLF5TH;20010113;0
SLF5TH;20010114;0
SLF5TH;20010115;1
SLF5TH;20010116;0
SLF5TH;20010117;0
SLF5TH;20010118;0
SLF5TH;20010119;0
SLF5TH;20010120;0
SLF5TH;20010121;0
SLF5TH;20010122;0
SLF5TH;20010123;0
SLF5TH;20010124;0
SLF5TH;20010125;1
SLF5TH;20010126;0
SLF5TH;20010127;0
SLF5TH;20010128;0
SLF5TH;20010129;0
SLF5TH;20010130;0
SLF5TH;20010131;1
SLF5TH;20010201;0
SLF5TH;20010202;2
SLF5TH;20010203;2
SLF5TH;20010204;0
SLF5TH;20010205;0
SLF5TH;20010206;0
SLF5TH;20010207;0
SLF5TH;20010208;0
SLF5TH;20010209;0
SLF5TH;20010210;0
SLF5TH;20010211;0
SLF5TH;20010212;0
SLF5TH;20010213;0
SLF5TH;20010214;0
SLF5TH;20010215;0
SLF5TH;20010216;0
SLF5TH;20010217;0
SLF5TH;20010218;0
SLF5TH;20010219;0
SLF5TH;20010220;0
SLF5TH;20010221;3
SLF5TH;20010222;7
SLF5TH;20010223;0
SLF5TH;20010224;0
SLF5TH;20010225;0
SLF5TH;20010226;0
SLF5TH;20010227;0
SLF5TH;20010228;0
SLF5TH;20010301;0
SLF5TH;20010302;0
SLF5TH;20010303;0
SLF5TH;20010304;0
SLF5TH;20010305;0
SLF5TH;20010306;0
SLF5TH;20010307;0
SLF5TH;20010308;0
SLF5TH;20010309;0
SLF5TH;20010310;0
SLF5TH;20010311;0
SLF5TH;20010312;0
SLF5TH;20010313;1
SLF5TH;20010314;0
SLF5TH;20010315;0
SLF5TH;20010316;0
SLF5TH;20010317;0
SLF5TH;20010318;0
SLF5TH;20010319;0
SLF5TH;20010320;0
SLF5TH;20010321;0
SLF5TH;20010322;0
SLF5TH;20010323;0
SLF5TH;20010324;0
SLF5TH;20010325;0
SLF5TH;20010326;0
SLF5TH;20010327;0
SLF5TH;20010328;0
SLF5TH;20010329;3
SLF5TH;20010330;0
SLF5TH;20010331;0
SLF5TH;20010401;0
SLF5TH;20010402;0
SLF5TH;20010403;0
SLF5TH;20010404;1
SLF5TH;20010405;0
SLF5TH;20010406;0
SLF5TH;20010407;0
SLF5TH;20010408;0
SLF5TH;20010409;0
SLF5TH;20010410;0
SLF5TH;20010411;0
SLF5TH;20010412;0
SLF5TH;20010413;0
SLF5TH;20010414;0
SLF5TH;20010415;0
SLF5TH;20010416;0
SLF5TH;20010417;0
SLF5TH;20010418;0
SLF5TH;20010419;0
SLF5TH;20010420;0
SLF5TH;20010421;2
SLF5TH;20010422;0
SLF5TH;20010423;0
SLF5TH;20010424;0
SLF5TH;20010425;0
SLF5TH;20010426;0
SLF5TH;20010427;0
SLF5TH;20010428;0
