 

stn;time;hns000d0
UAG;19761101;0
UAG;19761102;-
UAG;19761103;-
UAG;19761104;-
UAG;19761105;0
UAG;19761106;0
UAG;19761107;-
UAG;19761108;0
UAG;19761109;0
UAG;19761110;-
UAG;19761111;-
UAG;19761112;0
UAG;19761113;-
UAG;19761114;-
UAG;19761115;-
UAG;19761116;0
UAG;19761117;0
UAG;19761118;0
UAG;19761119;0
UAG;19761120;0
UAG;19761121;0
UAG;19761122;1
UAG;19761123;3
UAG;19761124;5
UAG;19761125;0
UAG;19761126;0
UAG;19761127;0
UAG;19761128;0
UAG;19761129;0
UAG;19761130;-
UAG;19761201;-
UAG;19761202;0
UAG;19761203;6
UAG;19761204;2
UAG;19761205;0
UAG;19761206;-
UAG;19761207;-
UAG;19761208;0
UAG;19761209;0
UAG;19761210;16
UAG;19761211;28
UAG;19761212;15
UAG;19761213;0
UAG;19761214;0
UAG;19761215;0
UAG;19761216;0
UAG;19761217;0
UAG;19761218;0
UAG;19761219;0
UAG;19761220;0
UAG;19761221;0
UAG;19761222;0
UAG;19761223;0
UAG;19761224;0
UAG;19761225;0
UAG;19761226;0
UAG;19761227;0
UAG;19761228;8
UAG;19761229;0
UAG;19761230;0
UAG;19761231;0
UAG;19770101;-
UAG;19770102;0
UAG;19770103;2
UAG;19770104;0
UAG;19770105;0
UAG;19770106;0
UAG;19770107;0
UAG;19770108;0
UAG;19770109;2
UAG;19770110;0
UAG;19770111;12
UAG;19770112;12
UAG;19770113;0
UAG;19770114;15
UAG;19770115;0
UAG;19770116;15
UAG;19770117;1
UAG;19770118;0
UAG;19770119;0
UAG;19770120;0
UAG;19770121;0
UAG;19770122;0
UAG;19770123;0
UAG;19770124;0
UAG;19770125;-
UAG;19770126;-
UAG;19770127;0
UAG;19770128;0
UAG;19770129;1
UAG;19770130;0
UAG;19770131;0
UAG;19770201;0
UAG;19770202;0
UAG;19770203;0
UAG;19770204;-
UAG;19770205;-
UAG;19770206;-
UAG;19770207;0
UAG;19770208;-
UAG;19770209;-
UAG;19770210;-
UAG;19770211;0
UAG;19770212;-
UAG;19770213;0
UAG;19770214;0
UAG;19770215;0
UAG;19770216;0
UAG;19770217;0
UAG;19770218;0
UAG;19770219;0
UAG;19770220;-
UAG;19770221;-
UAG;19770222;-
UAG;19770223;0
UAG;19770224;-
UAG;19770225;-
UAG;19770226;1
UAG;19770227;0
UAG;19770228;0
UAG;19770301;-
UAG;19770302;0
UAG;19770303;-
UAG;19770304;-
UAG;19770305;0
UAG;19770306;0
UAG;19770307;-
UAG;19770308;0
UAG;19770309;0
UAG;19770310;0
UAG;19770311;-
UAG;19770312;-
UAG;19770313;-
UAG;19770314;-
UAG;19770315;0
UAG;19770316;0
UAG;19770317;0
UAG;19770318;-
UAG;19770319;-
UAG;19770320;-
UAG;19770321;0
UAG;19770322;0
UAG;19770323;0
UAG;19770324;0
UAG;19770325;0
UAG;19770326;-
UAG;19770327;-
UAG;19770328;21
UAG;19770329;4
UAG;19770330;0
UAG;19770331;0
UAG;19770401;-
UAG;19770402;-
UAG;19770403;-
UAG;19770404;4
UAG;19770405;0
UAG;19770406;-
UAG;19770407;0
UAG;19770408;23
UAG;19770409;8
UAG;19770410;15
UAG;19770411;4
UAG;19770412;2
UAG;19770413;0
UAG;19770414;5
UAG;19770415;7
UAG;19770416;-
UAG;19770417;0
UAG;19770418;-
UAG;19770419;-
UAG;19770420;0
UAG;19770421;0
UAG;19770422;0
UAG;19770423;-
UAG;19770424;-
UAG;19770425;-
UAG;19770426;0
UAG;19770427;-
UAG;19770428;-
UAG;19770429;-
UAG;19770430;-
UAG;19770501;-
UAG;19770502;0
UAG;19770503;0
UAG;19770504;-
UAG;19770505;-
UAG;19770506;0
UAG;19770507;-
UAG;19770508;-
UAG;19770509;0
UAG;19770510;-
UAG;19770511;0
UAG;19770512;-
UAG;19770513;-
UAG;19770514;-
UAG;19770515;0
UAG;19770516;-
UAG;19770517;0
UAG;19770518;-
UAG;19770519;-
UAG;19770520;0
UAG;19770521;-
UAG;19770522;0
UAG;19770523;0
UAG;19770524;0
UAG;19770525;0
UAG;19770526;-
UAG;19770527;0
UAG;19770528;0
UAG;19770529;0
UAG;19770530;-
