 

stn;time;hns000d0
DEH;19671107;0
DEH;19671108;0
DEH;19671109;-
DEH;19671110;-
DEH;19671111;-
DEH;19671112;0
DEH;19671113;0
DEH;19671114;0
DEH;19671115;-
DEH;19671116;-
DEH;19671117;-
DEH;19671118;-
DEH;19671119;-
DEH;19671120;-
DEH;19671121;-
DEH;19671122;-
DEH;19671123;-
DEH;19671124;-
DEH;19671125;0
DEH;19671126;-
DEH;19671127;7
DEH;19671128;-
DEH;19671129;-
DEH;19671130;0
DEH;19671201;-
DEH;19671202;-
DEH;19671203;-
DEH;19671204;-
DEH;19671205;-
DEH;19671206;-
DEH;19671207;-
DEH;19671208;-
DEH;19671209;-
DEH;19671210;-
DEH;19671211;-
DEH;19671212;-
DEH;19671213;-
DEH;19671214;-
DEH;19671215;-
DEH;19671216;-
DEH;19671217;-
DEH;19671218;-
DEH;19671219;-
DEH;19671220;-
DEH;19671221;-
DEH;19671222;-
DEH;19671223;-
DEH;19671224;-
DEH;19671225;-
DEH;19671226;-
DEH;19671227;-
DEH;19671228;-
DEH;19671229;-
DEH;19671230;-
DEH;19671231;-
DEH;19680101;-
DEH;19680102;-
DEH;19680103;-
DEH;19680104;-
DEH;19680105;-
DEH;19680106;-
DEH;19680107;-
DEH;19680108;-
DEH;19680109;-
DEH;19680110;-
DEH;19680111;-
DEH;19680112;-
DEH;19680113;0
DEH;19680114;-
DEH;19680115;0
DEH;19680116;0
DEH;19680117;-
DEH;19680118;-
DEH;19680119;-
DEH;19680120;0
DEH;19680121;0
DEH;19680122;0
DEH;19680123;0
DEH;19680124;-
DEH;19680125;-
DEH;19680126;-
DEH;19680127;-
DEH;19680128;-
DEH;19680129;0
DEH;19680130;0
DEH;19680131;0
DEH;19680201;-
DEH;19680202;-
DEH;19680203;-
DEH;19680204;0
DEH;19680205;-
DEH;19680206;-
DEH;19680207;0
DEH;19680208;0
DEH;19680209;-
DEH;19680210;0
DEH;19680211;0
DEH;19680212;-
DEH;19680213;-
DEH;19680214;-
DEH;19680215;-
DEH;19680216;-
DEH;19680217;0
DEH;19680218;0
DEH;19680219;-
DEH;19680220;-
DEH;19680221;0
DEH;19680222;0
DEH;19680223;0
DEH;19680224;-
DEH;19680225;0
DEH;19680226;0
DEH;19680227;0
DEH;19680228;0
DEH;19680229;0
DEH;19680301;0
DEH;19680302;0
DEH;19680303;-
DEH;19680304;0
DEH;19680305;-
DEH;19680306;-
DEH;19680307;0
DEH;19680308;0
DEH;19680309;0
DEH;19680310;-
DEH;19680311;-
DEH;19680312;0
DEH;19680313;0
DEH;19680314;0
DEH;19680315;-
DEH;19680316;-
DEH;19680317;0
DEH;19680318;-
DEH;19680319;-
DEH;19680320;0
DEH;19680321;-
DEH;19680322;-
DEH;19680323;0
DEH;19680324;0
DEH;19680325;0
DEH;19680326;0
DEH;19680327;0
DEH;19680328;0
DEH;19680329;0
DEH;19680330;0
DEH;19680331;0
DEH;19680401;0
DEH;19680402;-
DEH;19680403;-
DEH;19680404;0
DEH;19680405;0
DEH;19680406;0
DEH;19680407;-
DEH;19680408;20
DEH;19680409;0
DEH;19680410;0
DEH;19680411;0
DEH;19680412;-
DEH;19680413;0
DEH;19680414;0
DEH;19680415;0
DEH;19680416;0
DEH;19680417;0
DEH;19680418;0
DEH;19680419;0
DEH;19680420;0
DEH;19680421;0
DEH;19680422;0
DEH;19680423;0
DEH;19680424;-
DEH;19680425;-
DEH;19680426;-
DEH;19680427;-
DEH;19680428;-
DEH;19680429;-
DEH;19680430;-
DEH;19680501;0
DEH;19680502;-
DEH;19680503;0
DEH;19680504;0
DEH;19680505;0
DEH;19680506;-
DEH;19680507;-
DEH;19680508;0
DEH;19680509;0
DEH;19680510;0
DEH;19680511;-
DEH;19680512;-
DEH;19680513;0
DEH;19680514;0
DEH;19680515;0
DEH;19680516;-
DEH;19680517;-
DEH;19680518;0
DEH;19680519;0
DEH;19680520;0
DEH;19680521;-
DEH;19680522;0
DEH;19680523;0
DEH;19680524;0
DEH;19680525;-
DEH;19680526;0
DEH;19680527;0
DEH;19680528;0
DEH;19680529;-
DEH;19680530;0
