 

stn;time;hns000d0
SLF5KU;20170930;0
SLF5KU;20171001;0
SLF5KU;20171002;0
SLF5KU;20171003;0
SLF5KU;20171004;0
SLF5KU;20171005;0
SLF5KU;20171006;0
SLF5KU;20171007;0
SLF5KU;20171008;0
SLF5KU;20171009;0
SLF5KU;20171010;0
SLF5KU;20171011;0
SLF5KU;20171012;0
SLF5KU;20171013;0
SLF5KU;20171014;0
SLF5KU;20171015;0
SLF5KU;20171016;0
SLF5KU;20171017;0
SLF5KU;20171018;0
SLF5KU;20171019;0
SLF5KU;20171020;0
SLF5KU;20171021;0
SLF5KU;20171022;0
SLF5KU;20171023;0
SLF5KU;20171024;0
SLF5KU;20171025;0
SLF5KU;20171026;0
SLF5KU;20171027;0
SLF5KU;20171028;0
SLF5KU;20171029;0
SLF5KU;20171030;0
SLF5KU;20171031;0
SLF5KU;20171101;0
SLF5KU;20171102;0
SLF5KU;20171103;0
SLF5KU;20171104;0
SLF5KU;20171105;0
SLF5KU;20171106;0
SLF5KU;20171107;0
SLF5KU;20171108;0
SLF5KU;20171109;0
SLF5KU;20171110;0
SLF5KU;20171111;0
SLF5KU;20171112;11
SLF5KU;20171113;0
SLF5KU;20171114;0
SLF5KU;20171115;0
SLF5KU;20171116;0
SLF5KU;20171117;0
SLF5KU;20171118;20
SLF5KU;20171119;0
SLF5KU;20171120;0
SLF5KU;20171121;0
SLF5KU;20171122;0
SLF5KU;20171123;0
SLF5KU;20171124;0
SLF5KU;20171125;1
SLF5KU;20171126;2
SLF5KU;20171127;0
SLF5KU;20171128;2
SLF5KU;20171129;5
SLF5KU;20171130;0
SLF5KU;20171201;0
SLF5KU;20171202;0
SLF5KU;20171203;5
SLF5KU;20171204;4
SLF5KU;20171205;0
SLF5KU;20171206;0
SLF5KU;20171207;0
SLF5KU;20171208;4
SLF5KU;20171209;0
SLF5KU;20171210;1
SLF5KU;20171211;20
SLF5KU;20171212;6
SLF5KU;20171213;33
SLF5KU;20171214;6
SLF5KU;20171215;3
SLF5KU;20171216;8
SLF5KU;20171217;1
SLF5KU;20171218;0
SLF5KU;20171219;0
SLF5KU;20171220;3
SLF5KU;20171221;0
SLF5KU;20171222;0
SLF5KU;20171223;0
SLF5KU;20171224;0
SLF5KU;20171225;0
SLF5KU;20171226;0
SLF5KU;20171227;6
SLF5KU;20171228;0
SLF5KU;20171229;22
SLF5KU;20171230;0
SLF5KU;20171231;0
SLF5KU;20180101;4
SLF5KU;20180102;8
SLF5KU;20180103;22
SLF5KU;20180104;0
SLF5KU;20180105;0
SLF5KU;20180106;0
SLF5KU;20180107;0
SLF5KU;20180108;0
SLF5KU;20180109;0
SLF5KU;20180110;0
SLF5KU;20180111;0
SLF5KU;20180112;0
SLF5KU;20180113;0
SLF5KU;20180114;0
SLF5KU;20180115;8
SLF5KU;20180116;13
SLF5KU;20180117;8
SLF5KU;20180118;0
SLF5KU;20180119;8
SLF5KU;20180120;38
SLF5KU;20180121;36
SLF5KU;20180122;0
SLF5KU;20180123;0
SLF5KU;20180124;0
SLF5KU;20180125;0
SLF5KU;20180126;0
SLF5KU;20180127;0
SLF5KU;20180128;0
SLF5KU;20180129;0
SLF5KU;20180130;0
SLF5KU;20180131;8
SLF5KU;20180201;1
SLF5KU;20180202;0
SLF5KU;20180203;0
SLF5KU;20180204;0
SLF5KU;20180205;0
SLF5KU;20180206;0
SLF5KU;20180207;1
SLF5KU;20180208;0
SLF5KU;20180209;1
SLF5KU;20180210;0
SLF5KU;20180211;6
SLF5KU;20180212;0
SLF5KU;20180213;0
SLF5KU;20180214;15
SLF5KU;20180215;0
SLF5KU;20180216;0
SLF5KU;20180217;0
SLF5KU;20180218;0
SLF5KU;20180219;0
SLF5KU;20180220;1
SLF5KU;20180221;0
SLF5KU;20180222;0
SLF5KU;20180223;0
SLF5KU;20180224;0
SLF5KU;20180225;0
SLF5KU;20180226;0
SLF5KU;20180227;0
SLF5KU;20180228;1
SLF5KU;20180301;2
SLF5KU;20180302;1
SLF5KU;20180303;0
SLF5KU;20180304;0
SLF5KU;20180305;0
SLF5KU;20180306;0
SLF5KU;20180307;3
SLF5KU;20180308;0
SLF5KU;20180309;0
SLF5KU;20180310;0
SLF5KU;20180311;0
SLF5KU;20180312;0
SLF5KU;20180313;0
SLF5KU;20180314;0
SLF5KU;20180315;0
SLF5KU;20180316;0
SLF5KU;20180317;4
SLF5KU;20180318;12
SLF5KU;20180319;3
SLF5KU;20180320;2
SLF5KU;20180321;0
SLF5KU;20180322;3
SLF5KU;20180323;0
SLF5KU;20180324;0
SLF5KU;20180325;0
SLF5KU;20180326;0
SLF5KU;20180327;0
SLF5KU;20180328;0
SLF5KU;20180329;0
SLF5KU;20180330;5
SLF5KU;20180331;0
SLF5KU;20180401;0
SLF5KU;20180402;0
SLF5KU;20180403;0
SLF5KU;20180404;0
SLF5KU;20180405;0
SLF5KU;20180406;0
SLF5KU;20180407;0
SLF5KU;20180408;0
SLF5KU;20180409;0
SLF5KU;20180410;0
SLF5KU;20180411;0
SLF5KU;20180412;0
SLF5KU;20180413;0
SLF5KU;20180414;0
SLF5KU;20180415;0
SLF5KU;20180416;0
SLF5KU;20180417;0
SLF5KU;20180418;0
SLF5KU;20180419;0
SLF5KU;20180420;0
SLF5KU;20180421;0
SLF5KU;20180422;0
SLF5KU;20180423;0
SLF5KU;20180424;0
SLF5KU;20180425;0
SLF5KU;20180426;0
SLF5KU;20180427;0
SLF5KU;20180428;0
SLF5KU;20180429;0
SLF5KU;20180430;0
SLF5KU;20180501;0
SLF5KU;20180502;0
SLF5KU;20180503;0
SLF5KU;20180504;0
SLF5KU;20180505;0
SLF5KU;20180506;0
SLF5KU;20180507;0
SLF5KU;20180508;0
SLF5KU;20180509;0
SLF5KU;20180510;0
SLF5KU;20180511;0
SLF5KU;20180512;0
SLF5KU;20180513;0
SLF5KU;20180514;0
SLF5KU;20180515;0
SLF5KU;20180516;0
SLF5KU;20180517;0
SLF5KU;20180518;0
SLF5KU;20180519;0
SLF5KU;20180520;0
SLF5KU;20180521;0
SLF5KU;20180522;0
SLF5KU;20180523;0
SLF5KU;20180524;0
SLF5KU;20180525;0
SLF5KU;20180526;0
SLF5KU;20180527;0
