 

stn;time;hns000d0
SZB;19761101;0
SZB;19761102;-
SZB;19761103;-
SZB;19761104;0
SZB;19761105;0
SZB;19761106;-
SZB;19761107;-
SZB;19761108;0
SZB;19761109;0
SZB;19761110;-
SZB;19761111;-
SZB;19761112;-
SZB;19761113;-
SZB;19761114;-
SZB;19761115;-
SZB;19761116;0
SZB;19761117;0
SZB;19761118;0
SZB;19761119;0
SZB;19761120;-
SZB;19761121;0
SZB;19761122;-
SZB;19761123;-
SZB;19761124;-
SZB;19761125;0
SZB;19761126;0
SZB;19761127;0
SZB;19761128;-
SZB;19761129;-
SZB;19761130;-
SZB;19761201;-
SZB;19761202;4
SZB;19761203;6
SZB;19761204;1
SZB;19761205;-
SZB;19761206;-
SZB;19761207;-
SZB;19761208;-
SZB;19761209;16
SZB;19761210;3
SZB;19761211;5
SZB;19761212;4
SZB;19761213;0
SZB;19761214;0
SZB;19761215;0
SZB;19761216;0
SZB;19761217;0
SZB;19761218;0
SZB;19761219;0
SZB;19761220;0
SZB;19761221;0
SZB;19761222;0
SZB;19761223;0
SZB;19761224;0
SZB;19761225;0
SZB;19761226;0
SZB;19761227;2
SZB;19761228;24
SZB;19761229;0
SZB;19761230;0
SZB;19761231;0
SZB;19770101;-
SZB;19770102;0
SZB;19770103;2
SZB;19770104;0
SZB;19770105;0
SZB;19770106;0
SZB;19770107;0
SZB;19770108;0
SZB;19770109;1
SZB;19770110;4
SZB;19770111;27
SZB;19770112;5
SZB;19770113;0
SZB;19770114;10
SZB;19770115;-
SZB;19770116;8
SZB;19770117;0
SZB;19770118;0
SZB;19770119;-
SZB;19770120;0
SZB;19770121;0
SZB;19770122;-
SZB;19770123;-
SZB;19770124;0
SZB;19770125;-
SZB;19770126;-
SZB;19770127;0
SZB;19770128;-
SZB;19770129;-
SZB;19770130;-
SZB;19770131;-
SZB;19770201;0
SZB;19770202;0
SZB;19770203;-
SZB;19770204;-
SZB;19770205;-
SZB;19770206;-
SZB;19770207;-
SZB;19770208;-
SZB;19770209;-
SZB;19770210;-
SZB;19770211;-
SZB;19770212;-
SZB;19770213;0
SZB;19770214;0
SZB;19770215;1
SZB;19770216;-
SZB;19770217;-
SZB;19770218;0
SZB;19770219;0
SZB;19770220;-
SZB;19770221;-
SZB;19770222;-
SZB;19770223;0
SZB;19770224;-
SZB;19770225;-
SZB;19770226;5
SZB;19770227;0
SZB;19770228;0
SZB;19770301;-
SZB;19770302;-
SZB;19770303;-
SZB;19770304;-
SZB;19770305;0
SZB;19770306;0
SZB;19770307;-
SZB;19770308;0
SZB;19770309;0
SZB;19770310;0
SZB;19770311;-
SZB;19770312;-
SZB;19770313;-
SZB;19770314;-
SZB;19770315;0
SZB;19770316;0
SZB;19770317;0
SZB;19770318;-
SZB;19770319;0
SZB;19770320;-
SZB;19770321;-
SZB;19770322;0
SZB;19770323;-
SZB;19770324;-
SZB;19770325;0
SZB;19770326;-
SZB;19770327;-
SZB;19770328;-
SZB;19770329;-
SZB;19770330;-
SZB;19770331;0
SZB;19770401;-
SZB;19770402;-
SZB;19770403;0
SZB;19770404;-
SZB;19770405;0
SZB;19770406;-
SZB;19770407;10
SZB;19770408;-
SZB;19770409;5
SZB;19770410;-
SZB;19770411;-
SZB;19770412;-
SZB;19770413;-
SZB;19770414;-
SZB;19770415;-
SZB;19770416;0
SZB;19770417;0
SZB;19770418;-
SZB;19770419;-
SZB;19770420;0
SZB;19770421;0
SZB;19770422;-
SZB;19770423;-
SZB;19770424;-
SZB;19770425;-
SZB;19770426;0
SZB;19770427;-
SZB;19770428;-
SZB;19770429;-
SZB;19770430;-
SZB;19770501;-
SZB;19770502;0
SZB;19770503;0
SZB;19770504;-
SZB;19770505;0
SZB;19770506;0
SZB;19770507;-
SZB;19770508;-
SZB;19770509;-
SZB;19770510;-
SZB;19770511;0
SZB;19770512;-
SZB;19770513;-
SZB;19770514;-
SZB;19770515;-
SZB;19770516;-
SZB;19770517;-
SZB;19770518;-
SZB;19770519;0
SZB;19770520;-
SZB;19770521;-
SZB;19770522;-
SZB;19770523;-
SZB;19770524;0
SZB;19770525;-
SZB;19770526;-
SZB;19770527;0
SZB;19770528;0
SZB;19770529;0
SZB;19770530;-
