 

stn;time;hns000d0
TAV;19791101;0
TAV;19791102;-
TAV;19791103;0
TAV;19791104;-
TAV;19791105;4
TAV;19791106;9
TAV;19791107;1
TAV;19791108;-
TAV;19791109;-
TAV;19791110;-
TAV;19791111;0
TAV;19791112;0
TAV;19791113;0
TAV;19791114;1
TAV;19791115;9
TAV;19791116;0
TAV;19791117;0
TAV;19791118;2
TAV;19791119;2
TAV;19791120;0
TAV;19791121;0
TAV;19791122;0
TAV;19791123;0
TAV;19791124;0
TAV;19791125;0
TAV;19791126;-
TAV;19791127;-
TAV;19791128;0
TAV;19791129;0
TAV;19791130;0
TAV;19791201;0
TAV;19791202;0
TAV;19791203;0
TAV;19791204;0
TAV;19791205;0
TAV;19791206;0
TAV;19791207;0
TAV;19791208;0
TAV;19791209;0
TAV;19791210;0
TAV;19791211;2
TAV;19791212;8
TAV;19791213;0
TAV;19791214;15
TAV;19791215;5
TAV;19791216;11
TAV;19791217;2
TAV;19791218;0
TAV;19791219;7
TAV;19791220;2
TAV;19791221;15
TAV;19791222;0
TAV;19791223;0
TAV;19791224;0
TAV;19791225;0
TAV;19791226;0
TAV;19791227;0
TAV;19791228;1
TAV;19791229;17
TAV;19791230;7
TAV;19791231;10
TAV;19800101;1
TAV;19800102;19
TAV;19800103;7
TAV;19800104;12
TAV;19800105;14
TAV;19800106;13
TAV;19800107;9
TAV;19800108;0
TAV;19800109;0
TAV;19800110;6
TAV;19800111;1
TAV;19800112;0
TAV;19800113;0
TAV;19800114;0
TAV;19800115;0
TAV;19800116;1
TAV;19800117;0
TAV;19800118;0
TAV;19800119;0
TAV;19800120;0
TAV;19800121;0
TAV;19800122;0
TAV;19800123;10
TAV;19800124;1
TAV;19800125;1
TAV;19800126;1
TAV;19800127;0
TAV;19800128;0
TAV;19800129;0
TAV;19800130;0
TAV;19800131;0
TAV;19800201;0
TAV;19800202;9
TAV;19800203;61
TAV;19800204;4
TAV;19800205;0
TAV;19800206;0
TAV;19800207;0
TAV;19800208;0
TAV;19800209;0
TAV;19800210;0
TAV;19800211;0
TAV;19800212;0
TAV;19800213;0
TAV;19800214;0
TAV;19800215;0
TAV;19800216;0
TAV;19800217;0
TAV;19800218;0
TAV;19800219;0
TAV;19800220;0
TAV;19800221;0
TAV;19800222;6
TAV;19800223;0
TAV;19800224;0
TAV;19800225;0
TAV;19800226;0
TAV;19800227;0
TAV;19800228;-
TAV;19800229;-
TAV;19800301;-
TAV;19800302;-
TAV;19800303;-
TAV;19800304;0
TAV;19800305;0
TAV;19800306;0
TAV;19800307;0
TAV;19800308;5
TAV;19800309;1
TAV;19800310;1
TAV;19800311;0
TAV;19800312;0
TAV;19800313;0
TAV;19800314;0
TAV;19800315;0
TAV;19800316;0
TAV;19800317;0
TAV;19800318;0
TAV;19800319;0
TAV;19800320;4
TAV;19800321;0
TAV;19800322;0
TAV;19800323;0
TAV;19800324;0
TAV;19800325;1
TAV;19800326;0
TAV;19800327;0
TAV;19800328;0
TAV;19800329;-
TAV;19800330;0
TAV;19800331;1
TAV;19800401;-
TAV;19800402;6
TAV;19800403;8
TAV;19800404;0
TAV;19800405;0
TAV;19800406;0
TAV;19800407;0
TAV;19800408;0
TAV;19800409;2
TAV;19800410;0
TAV;19800411;0
TAV;19800412;0
TAV;19800413;0
TAV;19800414;0
TAV;19800415;0
TAV;19800416;0
TAV;19800417;0
TAV;19800418;0
TAV;19800419;0
TAV;19800420;0
TAV;19800421;0
TAV;19800422;3
TAV;19800423;0
TAV;19800424;1
TAV;19800425;0
TAV;19800426;-
TAV;19800427;-
TAV;19800428;0
TAV;19800429;0
TAV;19800430;0
TAV;19800501;0
TAV;19800502;0
TAV;19800503;0
TAV;19800504;-
TAV;19800505;-
TAV;19800506;-
TAV;19800507;-
TAV;19800508;-
TAV;19800509;-
TAV;19800510;0
TAV;19800511;0
TAV;19800512;0
TAV;19800513;-
TAV;19800514;-
TAV;19800515;0
TAV;19800516;-
TAV;19800517;0
TAV;19800518;-
TAV;19800519;-
TAV;19800520;0
TAV;19800521;0
TAV;19800522;-
TAV;19800523;0
TAV;19800524;0
TAV;19800525;0
TAV;19800526;0
TAV;19800527;-
