 

stn;time;hns000d0
TFD;19651102;0
TFD;19651103;-
TFD;19651104;-
TFD;19651105;0
TFD;19651106;0
TFD;19651107;-
TFD;19651108;0
TFD;19651109;-
TFD;19651110;-
TFD;19651111;-
TFD;19651112;-
TFD;19651113;-
TFD;19651114;5
TFD;19651115;24
TFD;19651116;0
TFD;19651117;0
TFD;19651118;0
TFD;19651119;0
TFD;19651120;0
TFD;19651121;0
TFD;19651122;10
TFD;19651123;3
TFD;19651124;20
TFD;19651125;25
TFD;19651126;-
TFD;19651127;13
TFD;19651128;10
TFD;19651129;-
TFD;19651130;-
TFD;19651201;5
TFD;19651202;3
TFD;19651203;1
TFD;19651204;17
TFD;19651205;0
TFD;19651206;-
TFD;19651207;21
TFD;19651208;5
TFD;19651209;0
TFD;19651210;15
TFD;19651211;0
TFD;19651212;14
TFD;19651213;-
TFD;19651214;-
TFD;19651215;0
TFD;19651216;0
TFD;19651217;-
TFD;19651218;0
TFD;19651219;0
TFD;19651220;0
TFD;19651221;3
TFD;19651222;0
TFD;19651223;5
TFD;19651224;0
TFD;19651225;-
TFD;19651226;2
TFD;19651227;-
TFD;19651228;5
TFD;19651229;-
TFD;19651230;12
TFD;19651231;-
TFD;19660101;-
TFD;19660102;5
TFD;19660103;15
TFD;19660104;0
TFD;19660105;0
TFD;19660106;0
TFD;19660107;0
TFD;19660108;0
TFD;19660109;0
TFD;19660110;0
TFD;19660111;10
TFD;19660112;11
TFD;19660113;0
TFD;19660114;0
TFD;19660115;0
TFD;19660116;0
TFD;19660117;0
TFD;19660118;0
TFD;19660119;0
TFD;19660120;0
TFD;19660121;0
TFD;19660122;0
TFD;19660123;3
TFD;19660124;0
TFD;19660125;0
TFD;19660126;0
TFD;19660127;0
TFD;19660128;0
TFD;19660129;0
TFD;19660130;0
TFD;19660131;-
TFD;19660201;0
TFD;19660202;0
TFD;19660203;0
TFD;19660204;0
TFD;19660205;0
TFD;19660206;0
TFD;19660207;-
TFD;19660208;-
TFD;19660209;-
TFD;19660210;0
TFD;19660211;-
TFD;19660212;-
TFD;19660213;2
TFD;19660214;0
TFD;19660215;0
TFD;19660216;0
TFD;19660217;0
TFD;19660218;0
TFD;19660219;0
TFD;19660220;0
TFD;19660221;-
TFD;19660222;-
TFD;19660223;-
TFD;19660224;0
TFD;19660225;0
TFD;19660226;-
TFD;19660227;0
TFD;19660228;-
TFD;19660301;-
TFD;19660302;0
TFD;19660303;0
TFD;19660304;-
TFD;19660305;-
TFD;19660306;0
TFD;19660307;0
TFD;19660308;0
TFD;19660309;-
TFD;19660310;-
TFD;19660311;-
TFD;19660312;-
TFD;19660313;-
TFD;19660314;-
TFD;19660315;-
TFD;19660316;-
TFD;19660317;0
TFD;19660318;-
TFD;19660319;0
TFD;19660320;0
TFD;19660321;0
TFD;19660322;0
TFD;19660323;-
TFD;19660324;-
TFD;19660325;-
TFD;19660326;-
TFD;19660327;-
TFD;19660328;-
TFD;19660329;-
TFD;19660330;-
TFD;19660331;0
TFD;19660401;0
TFD;19660402;0
TFD;19660403;0
TFD;19660404;0
TFD;19660405;0
TFD;19660406;0
TFD;19660407;0
TFD;19660408;0
TFD;19660409;-
TFD;19660410;-
TFD;19660411;-
TFD;19660412;0
TFD;19660413;0
TFD;19660414;-
TFD;19660415;-
TFD;19660416;-
TFD;19660417;-
TFD;19660418;0
TFD;19660419;-
TFD;19660420;-
TFD;19660421;-
TFD;19660422;0
TFD;19660423;0
TFD;19660424;-
TFD;19660425;-
TFD;19660426;0
TFD;19660427;-
TFD;19660428;-
TFD;19660429;0
TFD;19660430;0
TFD;19660501;0
TFD;19660502;0
TFD;19660503;0
TFD;19660504;0
TFD;19660505;-
TFD;19660506;10
TFD;19660507;1
TFD;19660508;0
TFD;19660509;-
TFD;19660510;-
TFD;19660511;0
TFD;19660512;0
TFD;19660513;0
TFD;19660514;0
TFD;19660515;0
TFD;19660516;0
TFD;19660517;-
TFD;19660518;-
TFD;19660519;-
TFD;19660520;-
TFD;19660521;-
TFD;19660522;0
TFD;19660523;-
TFD;19660524;0
TFD;19660525;-
TFD;19660526;-
TFD;19660527;-
TFD;19660528;-
TFD;19660529;0
TFD;19660530;0
